Rnk,Rider,Age,Team,GC,GC-Time,Time,Time won/lost,year,stage
1,Leipheimer Levi,32.0,Gerolsteiner,1,+0:00,4:53 4:53,+0:00,2006,0
2,Julich Bobby,34.0,CSC ProTeam,2,+0:05,0:05 0:05,+0:05,2006,0
3,Hincapie George,32.0,Discovery Channel,3,+0:06,0:06 0:06,+0:06,2006,0
4,Landis Floyd,30.0,Phonak Hearing Systems,4,+0:06,",, 0:06",+0:06,2006,0
5,Zabriskie David,27.0,CSC ProTeam,5,+0:09,0:09 0:09,+0:09,2006,0
6,Cancellara Fabian,24.0,CSC ProTeam,6,+0:10,0:10 0:10,+0:10,2006,0
7,McCartney Jason,32.0,Discovery Channel,7,+0:10,",, 0:10",+0:10,2006,0
8,Roulston Hayden,25.0,Health Net Presented By Maxxis,8,+0:11,0:11 0:11,+0:11,2006,0
9,Gusev Vladimir,23.0,Discovery Channel,9,+0:11,",, 0:11",+0:11,2006,0
10,Savoldelli Paolo,32.0,Discovery Channel,10,+0:11,",, 0:11",+0:11,2006,0
11,Danielson Thomas,27.0,Discovery Channel,11,+0:12,0:12 0:12,+0:12,2006,0
12,Evans Cadel,29.0,Davitamon - Lotto,12,+0:12,",, 0:12",+0:12,2006,0
13,Hunter Robert,28.0,Phonak Hearing Systems,13,+0:14,0:14 0:14,+0:14,2006,0
14,Blackgrove Heath,25.0,,14,+0:14,",, 0:14",+0:14,2006,0
15,Rodriguez Fred,32.0,Davitamon - Lotto,15,+0:14,",, 0:14",+0:14,2006,0
16,Jacques-Maynes Benjamin,27.0,,16,+0:15,0:15 0:15,+0:15,2006,0
17,Fraser Gordon,37.0,Health Net Presented By Maxxis,17,+0:16,0:16 0:16,+0:16,2006,0
18,O'Grady Stuart,32.0,CSC ProTeam,18,+0:16,",, 0:16",+0:16,2006,0
19,Haselbacher Rene,28.0,Gerolsteiner,19,+0:17,0:17 0:17,+0:17,2006,0
20,Pauriol R\xe9mi,23.0,Cr\xe9dit Agricole,20,+0:17,",, 0:17",+0:17,2006,0
21,Ricco Riccardo,22.0,,21,+0:17,",, 0:17",+0:17,2006,0
22,Vande Velde Christian,29.0,CSC ProTeam,22,+0:17,",, 0:17",+0:17,2006,0
23,Baldwin Christopher,30.0,,23,+0:17,",, 0:17",+0:17,2006,0
