Rnk,Rider,Age,Team,UCI,Pnt,GC,GC-Time,Time,Time won/lost,year,stage
1,Leipheimer Levi,35,Astana,200.0,150.0,1,+0:00,31:28:21 31:28:21,+0:00,2009,8
2,Zabriskie David,30,Team Garmin - Slipstream,150.0,110.0,2,+0:36,0:36 0:36,+0:36,2009,8
3,Rogers Michael,29,Team Columbia - HTC,125.0,90.0,3,+0:45,0:45 0:45,+0:45,2009,8
4,Voigt Jens,37,Saxo Bank,100.0,80.0,4,+1:10,1:10 1:10,+1:10,2009,8
5,L\xf6fkvist Thomas,24,Team Columbia - HTC,85.0,70.0,5,+1:29,1:29 1:29,+1:29,2009,8
6,Nibali Vincenzo,24,Liquigas,70.0,60.0,6,+1:37,1:37 1:37,+1:37,2009,8
7,Armstrong Lance,37,Astana,60.0,55.0,7,+1:46,1:46 1:46,+1:46,2009,8
8,Gesink Robert,22,Rabobank ProTeam,50.0,50.0,8,+1:54,1:54 1:54,+1:54,2009,8
9,Danielson Thomas,30,Team Garmin - Slipstream,40.0,45.0,9,+2:24,2:24 2:24,+2:24,2009,8
10,Rubiera Jos\xe9 Luis,36,Astana,35.0,40.0,10,+2:48,2:48 2:48,+2:48,2009,8
11,Seeldraeyers Kevin,22,Quickstep - Innergetic,30.0,36.0,11,+2:57,2:57 2:57,+2:57,2009,8
12,Schleck Fr\xe4nk,28,Saxo Bank,25.0,32.0,12,+3:19,3:19 3:19,+3:19,2009,8
13,Sevilla Oscar,32,,20.0,28.0,13,+3:37,3:37 3:37,+3:37,2009,8
14,van de Walle Jurgen,32,Quickstep - Innergetic,15.0,24.0,14,+4:15,4:15 4:15,+4:15,2009,8
15,Hincapie George,35,Team Columbia - HTC,10.0,20.0,15,+4:19,4:19 4:19,+4:19,2009,8
16,Mollema Bauke,22,Rabobank ProTeam,5.0,16.0,16,+5:44,5:44 5:44,+5:44,2009,8
17,Niermann Grischa,33,Rabobank ProTeam,5.0,14.0,17,+6:08,6:08 6:08,+6:08,2009,8
18,Larsson Gustav,28,Saxo Bank,5.0,12.0,18,+6:25,6:25 6:25,+6:25,2009,8
19,Cuesta \xcd\xf1igo,39,Cervelo Test Team,5.0,10.0,19,+6:56,6:56 6:56,+6:56,2009,8
20,Gutierrez Jose Enrique,34,,5.0,8.0,20,+7:55,7:55 7:55,+7:55,2009,8
21,Popovych Yaroslav,29,Astana,5.0,6.0,21,+8:16,8:16 8:16,+8:16,2009,8
22,Horner Chris,37,Astana,5.0,4.0,22,+10:14,10:14 10:14,+10:14,2009,8
23,Landis Floyd,33,Ouch,5.0,3.0,23,+10:26,10:26 10:26,+10:26,2009,8
24,Dupont Hubert,28,AG2R La Mondiale,5.0,2.0,24,+10:47,10:47 10:47,+10:47,2009,8
25,Weening Pieter,27,Rabobank ProTeam,5.0,1.0,25,+11:09,11:09 11:09,+11:09,2009,8
26,Vennell Jeremy,28,Bissell Pro Cycling,5.0,,26,+12:22,12:22 12:22,+12:22,2009,8
27,Vande Velde Christian,32,Team Garmin - Slipstream,5.0,,27,+13:02,13:02 13:02,+13:02,2009,8
28,Brajkovi\u010d Janez,25,Astana,5.0,,28,+16:30,16:30 16:30,+16:30,2009,8
29,Elmiger Martin,30,AG2R La Mondiale,5.0,,29,+17:18,17:18 17:18,+17:18,2009,8
30,De Weert Kevin,26,Quickstep - Innergetic,5.0,,30,+17:57,17:57 17:57,+17:57,2009,8
31,Chadwick Glen,32,,3.0,,31,+18:44,18:44 18:44,+18:44,2009,8
32,Schleck Andy,23,Saxo Bank,3.0,,32,+19:12,19:12 19:12,+19:12,2009,8
33,Rollin Dominique,26,Cervelo Test Team,3.0,,33,+19:15,19:15 19:15,+19:15,2009,8
34,Sutherland Rory,27,Ouch,3.0,,34,+20:11,20:11 20:11,+20:11,2009,8
35,Roulston Hayden,28,Cervelo Test Team,3.0,,35,+20:51,20:51 20:51,+20:51,2009,8
36,Zirbel Tom,30,Bissell Pro Cycling,3.0,,36,+21:23,21:23 21:23,+21:23,2009,8
37*,Barredo Carlos,27,Quickstep - Innergetic,,,37*,+21:46,21:46 21:46,+21:46,2009,8
37,Peterson Tom,22,Team Garmin - Slipstream,3.0,,37,+23:23,23:23 23:23,+23:23,2009,8
38,Kobzarenko Valery,32,Team Type 1,3.0,,38,+23:46,23:46 23:46,+23:46,2009,8
39,O'Grady Stuart,35,Saxo Bank,3.0,,39,+23:56,23:56 23:56,+23:56,2009,8
40,McCartney Jason,35,Saxo Bank,3.0,,40,+24:18,24:18 24:18,+24:18,2009,8
41,Engels Addy,31,Quickstep - Innergetic,,,41,+26:48,26:48 26:48,+26:48,2009,8
42,Pipp Frank Kevin,31,Bissell Pro Cycling,,,42,+26:56,26:56 26:56,+26:56,2009,8
43,Cozza Steven,23,Team Garmin - Slipstream,,,43,+27:35,27:35 27:35,+27:35,2009,8
44,Frank Mathias,22,BMC Racing Team,,,44,+28:53,28:53 28:53,+28:53,2009,8
45,Nocentini Rinaldo,31,AG2R La Mondiale,,,45,+59:53,59:53 59:53,+59:53,2009,8
46,Mckissick Ian,28,BMC Racing Team,,,46,+30:20,30:20 30:20,+30:20,2009,8
47,Zberg Markus,34,BMC Racing Team,,,47,+30:57,30:57 30:57,+30:57,2009,8
48,Moos Alexandre,36,BMC Racing Team,,,48,+35:02,35:02 35:02,+35:02,2009,8
49,Routley Will,25,Jelly Belly Cycling Team,,,49,+35:13,35:13 35:13,+35:13,2009,8
50,Morabito Steve,26,Astana,,,50,+36:53,36:53 36:53,+36:53,2009,8
51,Vandborg Brian,27,Liquigas,,,51,+37:33,37:33 37:33,+37:33,2009,8
52,Lowe Trent,24,Team Garmin - Slipstream,,,52,+37:42,37:42 37:42,+37:42,2009,8
53,Clement Stef,26,Rabobank ProTeam,,,53,+38:42,38:42 38:42,+38:42,2009,8
54,Pauwels Serge,25,Cervelo Test Team,,,54,+39:22,39:22 39:22,+39:22,2009,8
55,Baldwin Christopher,33,,,,55,+40:15,40:15 40:15,+40:15,2009,8
56,Johnson Tim,31,Ouch,,,56,+40:36,40:36 40:36,+40:36,2009,8
