Rnk,BIB,Rider,Age,Team,UCI,Pnt,GC,GC-Time,Time,Time won/lost,year,stage
1,6.0,Horner Chris,39,RadioShack,100.0,150.0,1,+0:00,23:46:41 23:46:41,+0:00,2011,8
2,8.0,Leipheimer Levi,37,RadioShack,70.0,110.0,2,+0:38,0:38 0:38,+0:38,2011,8
3,12.0,Danielson Thomas,33,Team Garmin - Cerv\xe9lo,40.0,90.0,3,+2:45,2:45 2:45,+2:45,2011,8
4,17.0,Vande Velde Christian,35,Team Garmin - Cerv\xe9lo,30.0,80.0,4,+3:18,3:18 3:18,+3:18,2011,8
5,21.0,van Garderen Tejay,22,HTC - High Road,25.0,70.0,5,+3:23,3:23 3:23,+3:23,2011,8
6,87.0,ten Dam Laurens,30,Rabobank Cycling Team,20.0,60.0,6,+3:26,3:26 3:26,+3:26,2011,8
7,91.0,Sutherland Rory,29,UnitedHealthcare Presented by Maxxis,15.0,55.0,7,+4:12,4:12 4:12,+4:12,2011,8
8,51.0,Schleck Andy,25,Leopard Trek,10.0,50.0,8,+4:33,4:33 4:33,+4:33,2011,8
9,44.0,Morabito Steve,28,BMC Racing Team,9.0,45.0,9,+4:50,4:50 4:50,+4:50,2011,8
10,13.0,Hesjedal Ryder,30,Team Garmin - Cerv\xe9lo,8.0,40.0,10,+6:16,6:16 6:16,+6:16,2011,8
11,55.0,Gerdemann Linus,28,Leopard Trek,7.0,36.0,11,+6:22,6:22 6:22,+6:22,2011,8
12,62.0,Caruso Damiano,23,Liquigas - Cannondale,6.0,32.0,12,+6:39,6:39 6:39,+6:39,2011,8
13,104.0,Efimkin Alexander,29,Team Type 1 - SANOFI,5.0,28.0,13,+8:37,8:37 8:37,+8:37,2011,8
14,18.0,Martin Daniel,24,Team Garmin - Cerv\xe9lo,4.0,24.0,14,+8:39,8:39 8:39,+8:39,2011,8
15,42.0,Bookwalter Brent,27,BMC Racing Team,3.0,20.0,15,+8:50,8:50 8:50,+8:50,2011,8
16,141.0,Romero Amaran Luis,32,Jamis - Sutter Home presented by Colavita,,16.0,16,+9:07,9:07 9:07,+9:07,2011,8
17,15.0,Talansky Andrew,22,Team Garmin - Cerv\xe9lo,,14.0,17,+9:21,9:21 9:21,+9:21,2011,8
18,66.0,Bellotti Francesco,31,Liquigas - Cannondale,,12.0,18,+9:44,9:44 9:44,+9:44,2011,8
19,78.0,Vandborg Brian,29,Saxo Bank - Sungard,,10.0,19,+9:46,9:46 9:46,+9:46,2011,8
20,94.0,Meier Christian,26,UnitedHealthcare Presented by Maxxis,,8.0,20,+9:58,9:58 9:58,+9:58,2011,8
21,86.0,Niermann Grischa,35,Rabobank Cycling Team,,6.0,21,+10:12,10:12 10:12,+10:12,2011,8
22,46.0,Hincapie George,37,BMC Racing Team,,4.0,22,+10:43,10:43 10:43,+10:43,2011,8
23,133.0,Britton Rob,26,Bissell Pro Cycling,,3.0,23,+10:51,10:51 10:51,+10:51,2011,8
24,84.0,Martens Paul,27,Rabobank Cycling Team,,2.0,24,+11:38,11:38 11:38,+11:38,2011,8
25,47.0,Moinard Ama\xebl,29,BMC Racing Team,,1.0,25,+11:48,11:48 11:48,+11:48,2011,8
26,7.0,Busche Matthew,26,RadioShack,,,26,+12:03,12:03 12:03,+12:03,2011,8
27,132.0,Baldwin Christopher,35,Bissell Pro Cycling,,,27,+12:22,12:22 12:22,+12:22,2011,8
28,26.0,Pate Danny,32,HTC - High Road,,,28,+12:25,12:25 12:25,+12:25,2011,8
29,28.0,Velits Peter,26,HTC - High Road,,,29,+13:52,13:52 13:52,+13:52,2011,8
30,79.0,Majka Rafa\u0142,21,Saxo Bank - Sungard,,,30,+17:43,17:43 17:43,+17:43,2011,8
31,145.0,Zirbel Tom,32,Jamis - Sutter Home presented by Colavita,,,31,+19:06,19:06 19:06,+19:06,2011,8
32,93.0,Jones Chris,31,UnitedHealthcare Presented by Maxxis,,,32,+19:10,19:10 19:10,+19:10,2011,8
33,11.0,Zabriskie David,32,Team Garmin - Cerv\xe9lo,,,33,+19:12,19:12 19:12,+19:12,2011,8
34,54.0,Fuglsang Jakob,26,Leopard Trek,,,34,+20:00,20:00 20:00,+20:00,2011,8
35,61.0,Sagan Peter,21,Liquigas - Cannondale,,,35,+20:09,20:09 20:09,+20:09,2011,8
36,116.0,Huzarski Bartosz,30,Team Netapp,,,36,+21:06,21:06 21:06,+21:06,2011,8
37,127.0,Mccarty Jonathan Patrick,29,Spidertech Powered by C10,,,37,+22:03,22:03 22:03,+22:03,2011,8
38,2.0,Zubeldia Haimar,34,RadioShack,,,38,+22:42,22:42 22:42,+22:42,2011,8
39,124.0,Euser Lucas,27,Spidertech Powered by C10,,,39,+24:39,24:39 24:39,+24:39,2011,8
40,148.0,Wren Tyler,30,Jamis - Sutter Home presented by Colavita,,,40,+24:56,24:56 24:56,+24:56,2011,8
41,102.0,Bodrogi Laszlo,34,Team Type 1 - SANOFI,,,41,+26:23,26:23 26:23,+26:23,2011,8
42,135.0,Mach Paul,29,Bissell Pro Cycling,,,42,+26:37,26:37 26:37,+26:37,2011,8
43,43.0,Louder Jeff,33,BMC Racing Team,,,43,+26:59,26:59 26:59,+26:59,2011,8
44,101.0,Bertogliati Rubens,32,Team Type 1 - SANOFI,,,44,+27:14,27:14 27:14,+27:14,2011,8
45,97.0,Wegelius Charles,33,UnitedHealthcare Presented by Maxxis,,,45,+27:20,27:20 27:20,+27:20,2011,8
46,35.0,Henderson Gregory,34,Sky Procycling,,,46,+28:13,28:13 28:13,+28:13,2011,8
47,88.0,Tjallingii Maarten,33,Rabobank Cycling Team,,,47,+28:14,28:14 28:14,+28:14,2011,8
48,45.0,Roe Timothy,21,BMC Racing Team,,,48,+28:52,28:52 28:52,+28:52,2011,8
49,106.0,Kobzarenko Valery,34,Team Type 1 - SANOFI,,,49,+31:19,31:19 31:19,+31:19,2011,8
50,155.0,Hernandez Sergio,26,Jelly Belly presented by Kenda,,,50,+32:04,32:04 32:04,+32:04,2011,8
51,137.0,Thomson Jay Robert,25,Bissell Pro Cycling,,,51,+32:17,32:17 32:17,+32:17,2011,8
52,3.0,Muravyev Dmitriy,31,RadioShack,,,52,+32:48,32:48 32:48,+32:48,2011,8
53,138.0,Vennell Jeremy,30,Bissell Pro Cycling,,,53,+32:50,32:50 32:50,+32:50,2011,8
54,37.0,Stannard Ian,23,Sky Procycling,,,54,+33:32,33:32 33:32,+33:32,2011,8
55,164.0,Candelario Alex,36,Kelly Benefit Strategies - OptumHealth,,,55,+34:27,34:27 34:27,+34:27,2011,8
56,81.0,Freire Oscar,35,Rabobank Cycling Team,,,56,+34:59,34:59 34:59,+34:59,2011,8
57,1.0,King Benjamin,22,RadioShack,,,57,+35:15,35:15 35:15,+35:15,2011,8
58,108.0,Megias Javier,27,Team Type 1 - SANOFI,,,58,+37:35,37:35 37:35,+37:35,2011,8
59,161.0,Bajadali Andrew,38,Kelly Benefit Strategies - OptumHealth,,,59,+37:48,37:48 37:48,+37:48,2011,8
