Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
26,1,1,+0:00,,,Sagan Peter,1,Tinkoff,4:20:31 4:20:31,+0:00,5.0,,1,2016
25,78,2,+0:04,,,Wippert Wouter,2,Cannondale Pro Cycling Team,0:04 0:04,+0:04,,,1,2016
24,146,3,+0:04,,,Sheehan Michael,3,Jelly Belly p/b Maxxis,",, 0:04",+0:04,,,1,2016
22,111,4,+0:06,,,Groenewegen Dylan,4,Team LottoNL-Jumbo,0:06 0:06,+0:06,,,1,2016
22,124,5,+0:07,,,Eaton Daniel,5,UnitedHealthcare Pro Cycling Team,0:07 0:07,+0:07,,,1,2016
24,162,6,+0:08,,,Henttala Joonas,6,Team Novo Nordisk,0:08 0:08,+0:08,,,1,2016
24,91,7,+0:10,,,Coquard Bryan,7,Direct Energie,0:10 0:10,+0:10,,,1,2016
31,167,8,+0:10,,,Verschoor Martijn,8,Team Novo Nordisk,",, 0:10",+0:10,,,1,2016
22,84,9,+0:10,,,Bonifazio Niccolo,9,Trek - Segafredo,",, 0:10",+0:10,,,1,2016
21,135,10,+0:10,,,Guerreiro Ruben,10,Axeon Hagens Berman,",, 0:10",+0:10,,,1,2016
35,12,11,+0:10,,,Boonen Tom,11,Etixx - Quick Step,",, 0:10",+0:10,,,1,2016
29,53,12,+0:10,,,Drucker Jean-Pierre,12,BMC Racing Team,",, 0:10",+0:10,,,1,2016
31,127,13,+0:10,,,Murphy John,13,UnitedHealthcare Pro Cycling Team,",, 0:10",+0:10,,,1,2016
25,22,14,+0:10,,,Fenn Andrew,14,Team Sky,",, 0:10",+0:10,,,1,2016
22,27,15,+0:10,,,van Poppel Danny,15,Team Sky,",, 0:10",+0:10,,,1,2016
19,138,16,+0:10,,,Powless Neilson,16,Axeon Hagens Berman,",, 0:10",+0:10,,,1,2016
24,128,17,+0:10,,,Putt Tanner,17,UnitedHealthcare Pro Cycling Team,",, 0:10",+0:10,,,1,2016
23,63,18,+0:10,,,Doull Owain,18,Team Wiggins,",, 0:10",+0:10,,,1,2016
28,41,19,+0:10,,,Kristoff Alexander,19,Team Katusha,",, 0:10",+0:10,,,1,2016
27,122,20,+0:10,,,Canola Marco,20,UnitedHealthcare Pro Cycling Team,",, 0:10",+0:10,,,1,2016
29,67,21,+0:10,,,Tennant Andrew,21,Team Wiggins,",, 0:10",+0:10,,,1,2016
30,171,22,+0:10,,,Anthony Jesse,22,Rally Cycling,",, 0:10",+0:10,,,1,2016
27,165,23,+0:10,,,Peron Andrea,23,Team Novo Nordisk,",, 0:10",+0:10,,,1,2016
27,157,24,+0:10,,,McCabe Travis,24,Holowesko-Citadel Racing Team,",, 0:10",+0:10,,,1,2016
