Rnk,Rider,Age,Team,year,stage
1,Sagan Peter,22,Liquigas - Cannondale,2012,8
2,Haussler Heinrich,28,Team Garmin - Barracuda,2012,8
3,Boonen Tom,31,Omega Pharma - Quick-Step,2012,8
4,Howard Leigh,22,Orica GreenEDGE,2012,8
5,Georges Sylvain,28,AG2R La Mondiale,2012,8
6,Rodriguez Fred,38,Team Exergy,2012,8
7,Van Avermaet Greg,27,BMC Racing Team,2012,8
8,Matthews Michael,21,Rabobank Cycling Team,2012,8
9,Mondory Lloyd,30,AG2R La Mondiale,2012,8
10,Velits Peter,27,Omega Pharma - Quick-Step,2012,8
11,Candelario Alex,37,Optum p/b Kelly Benefit Strategies,2012,8
12,de Kort Koen,29,Argos - Shimano,2012,8
13,Ciolek Gerald,25,Omega Pharma - Quick-Step,2012,8
14,de Maar Marc,28,UnitedHealthcare Presented by Maxxis,2012,8
15,Howes Alex,24,Team Garmin - Barracuda,2012,8
16,Dumoulin Tom,21,Argos - Shimano,2012,8
17,Kluge Roger,26,Argos - Shimano,2012,8
18,Damuseau Thomas,23,Argos - Shimano,2012,8
19,Irizar Markel,32,RadioShack - Nissan,2012,8
20,White Bradley,30,UnitedHealthcare Presented by Maxxis,2012,8
21,Craddock Lawson,20,Bontrager Livestrong Team,2012,8
22,Vennell Jeremy,31,Bissell Pro Cycling,2012,8
23,Louder Jeff,34,UnitedHealthcare Presented by Maxxis,2012,8
24,Sutherland Rory,30,UnitedHealthcare Presented by Maxxis,2012,8
25,Bennett George,22,RadioShack - Nissan,2012,8
26,Rast Gregory,32,RadioShack - Nissan,2012,8
27,Marentes Wilson Alexander,26,Colombia - Coldeportes,2012,8
28,Hincapie George,38,BMC Racing Team,2012,8
29,Stuyven Jasper,20,Bontrager Livestrong Team,2012,8
30,Boivin Guillaume,22,Spidertech Powered by C10,2012,8
31,Horner Chris,40,RadioShack - Nissan,2012,8
32,Bardet Romain,21,AG2R La Mondiale,2012,8
33,Houle Hugo,21,Spidertech Powered by C10,2012,8
34,Hanson Ken,30,Optum p/b Kelly Benefit Strategies,2012,8
35,Kelderman Wilco,21,Rabobank Cycling Team,2012,8
36,Weening Pieter,31,Orica GreenEDGE,2012,8
37,Tankink Bram,33,Rabobank Cycling Team,2012,8
38,Voigt Jens,40,RadioShack - Nissan,2012,8
39,King Benjamin,23,RadioShack - Nissan,2012,8
40,Oss Daniel,25,Liquigas - Cannondale,2012,8
41,Vandenbergh Stijn,28,Omega Pharma - Quick-Step,2012,8
42,Tjallingii Maarten,34,Rabobank Cycling Team,2012,8
43,Schmitt Morgan,27,Team Exergy,2012,8
44,van Garderen Tejay,23,BMC Racing Team,2012,8
45,Jacques-Maynes Benjamin,33,Bissell Pro Cycling,2012,8
46,Salas Sebastian,24,Optum p/b Kelly Benefit Strategies,2012,8
47,Gesink Robert,25,Rabobank Cycling Team,2012,8
48,Sanchez Luis Leon,28,Rabobank Cycling Team,2012,8
49,Bouet Maxime,25,AG2R La Mondiale,2012,8
50,Atkins Joshua,19,Bontrager Livestrong Team,2012,8
51,Sulzberger Wesley,25,Orica GreenEDGE,2012,8
52,Rodriguez Michael,22,Colombia - Coldeportes,2012,8
53,Geniez Alexandre,24,Argos - Shimano,2012,8
54,Jones Chris,32,UnitedHealthcare Presented by Maxxis,2012,8
55,Zirbel Tom,33,Optum p/b Kelly Benefit Strategies,2012,8
56,Diaz Andr\xe8s Miguel,28,Team Exergy,2012,8
