Age,BIB,Pnt,Prev,Rider,Rnk,Team,\u25bc\u25b2,stage,year
29,1,15,,Kittel Marcel,1,Quick-Step Floors,,1,2017
27,21,12,,Sagan Peter,2,BORA - hansgrohe,,1,2017
28,91,9,,Viviani Elia,3,Team Sky,,1,2017
28,51,7,,Degenkolb John,4,Trek - Segafredo,,1,2017
30,13,6,,Drucker Jean-Pierre,5,BMC Racing Team,,1,2017
25,15,5,,Gerts Floris,6,BMC Racing Team,,1,2017
32,143,5,,Clarke Jonathan,7,UnitedHealthcare Pro Cycling Team,,1,2017
28,135,5,,Janse van Rensburg Reinardt,8,Team Dimension Data,,1,2017
30,78,4,,van Genechten Jonas,9,"Cofidis, Solutions Cr\xe9dits",,1,2017
28,105,3,,Kump Marko,10,UAE Team Emirates,,1,2017
26,38,2,,Wippert Wouter,11,Cannondale-Drapac Pro Cycling Team,,1,2017
28,147,1,,McCabe Travis,12,UnitedHealthcare Pro Cycling Team,,1,2017
23,168,1,,Wolfe Ben,13,Jelly Belly p/b Maxxis,,1,2017
23,156,1,,Planet Charles,14,Team Novo Nordisk,,1,2017
27,25,16,,Majka Rafa\u0142,1,BORA - hansgrohe,-,2,2017
29,1,15,1.0,Kittel Marcel,2,Quick-Step Floors,\u25bc1,2,2017
27,62,15,,Bennett George,3,Team LottoNL-Jumbo,-,2,2017
27,21,12,2.0,Sagan Peter,4,BORA - hansgrohe,\u25bc2,2,2017
26,92,9,,Boswell Ian,5,Team Sky,-,2,2017
25,136,9,,Morton Lachlan,6,Team Dimension Data,-,2,2017
28,91,9,3.0,Viviani Elia,7,Team Sky,\u25bc4,2,2017
28,51,7,4.0,Degenkolb John,8,Trek - Segafredo,\u25bc4,2,2017
30,61,6,,Gesink Robert,9,Team LottoNL-Jumbo,-,2,2017
30,13,6,5.0,Drucker Jean-Pierre,10,BMC Racing Team,\u25bc5,2,2017
25,15,5,6.0,Gerts Floris,11,BMC Racing Team,\u25bc5,2,2017
32,143,5,7.0,Clarke Jonathan,12,UnitedHealthcare Pro Cycling Team,\u25bc5,2,2017
33,11,5,,Bookwalter Brent,13,BMC Racing Team,-,2,2017
28,135,5,8.0,Janse van Rensburg Reinardt,14,Team Dimension Data,\u25bc6,2,2017
22,95,4,,Geoghegan Hart Tao,15,Team Sky,-,2,2017
30,78,4,9.0,van Genechten Jonas,16,"Cofidis, Solutions Cr\xe9dits",\u25bc7,2,2017
31,6,3,,Stybar Zdenek,17,Quick-Step Floors,-,2,2017
21,116,3,,Oomen Sam,18,Team Sunweb,-,2,2017
28,105,3,10.0,Kump Marko,19,UAE Team Emirates,\u25bc9,2,2017
22,3,2,,Mas Enric,20,Quick-Step Floors,-,2,2017
28,131,2,,King Benjamin,21,Team Dimension Data,-,2,2017
26,38,2,11.0,Wippert Wouter,22,Cannondale-Drapac Pro Cycling Team,\u25bc11,2,2017
28,31,1,,Talansky Andrew,23,Cannondale-Drapac Pro Cycling Team,-,2,2017
28,147,1,12.0,McCabe Travis,24,UnitedHealthcare Pro Cycling Team,\u25bc12,2,2017
25,148,1,,Putt Tanner,25,UnitedHealthcare Pro Cycling Team,-,2,2017
23,156,1,14.0,Planet Charles,26,Team Novo Nordisk,\u25bc12,2,2017
23,168,1,13.0,Wolfe Ben,27,Jelly Belly p/b Maxxis,\u25bc14,2,2017
27,21,27,4.0,Sagan Peter,1,BORA - hansgrohe,\u25b23,3,2017
27,25,16,1.0,Majka Rafa\u0142,2,BORA - hansgrohe,\u25bc1,3,2017
29,1,15,2.0,Kittel Marcel,3,Quick-Step Floors,\u25bc1,3,2017
27,62,15,3.0,Bennett George,4,Team LottoNL-Jumbo,\u25bc1,3,2017
23,48,12,,Zabel Rick,5,Team Katusha - Alpecin,-,3,2017
30,13,12,10.0,Drucker Jean-Pierre,6,BMC Racing Team,\u25b24,3,2017
28,135,10,14.0,Janse van Rensburg Reinardt,7,Team Dimension Data,\u25b27,3,2017
26,92,9,5.0,Boswell Ian,8,Team Sky,\u25bc3,3,2017
25,136,9,6.0,Morton Lachlan,9,Team Dimension Data,\u25bc3,3,2017
22,102,9,,Consonni Simone,10,UAE Team Emirates,-,3,2017
28,91,9,7.0,Viviani Elia,11,Team Sky,\u25bc4,3,2017
29,41,7,,Kristoff Alexander,12,Team Katusha - Alpecin,-,3,2017
28,51,7,8.0,Degenkolb John,13,Trek - Segafredo,\u25bc5,3,2017
23,108,6,,Zurlo Federico,14,UAE Team Emirates,-,3,2017
30,61,6,9.0,Gesink Robert,15,Team LottoNL-Jumbo,\u25bc6,3,2017
25,15,5,11.0,Gerts Floris,16,BMC Racing Team,\u25bc5,3,2017
32,143,5,12.0,Clarke Jonathan,17,UnitedHealthcare Pro Cycling Team,\u25bc5,3,2017
33,11,5,13.0,Bookwalter Brent,18,BMC Racing Team,\u25bc5,3,2017
22,95,4,15.0,Geoghegan Hart Tao,19,Team Sky,\u25bc4,3,2017
21,162,4,,Bennett Sean,20,Jelly Belly p/b Maxxis,-,3,2017
26,36,4,,Phinney Taylor,21,Cannondale-Drapac Pro Cycling Team,-,3,2017
30,78,4,16.0,van Genechten Jonas,22,"Cofidis, Solutions Cr\xe9dits",\u25bc6,3,2017
31,6,3,17.0,Stybar Zdenek,23,Quick-Step Floors,\u25bc6,3,2017
21,116,3,18.0,Oomen Sam,24,Team Sunweb,\u25bc6,3,2017
28,147,3,24.0,McCabe Travis,25,UnitedHealthcare Pro Cycling Team,\u25bc1,3,2017
28,117,3,,Sinkeldam Ramon,26,Team Sunweb,-,3,2017
28,105,3,19.0,Kump Marko,27,UAE Team Emirates,\u25bc8,3,2017
22,3,2,20.0,Mas Enric,28,Quick-Step Floors,\u25bc8,3,2017
28,131,2,21.0,King Benjamin,29,Team Dimension Data,\u25bc8,3,2017
28,153,2,,Lozano David,30,Team Novo Nordisk,-,3,2017
26,38,2,22.0,Wippert Wouter,31,Cannondale-Drapac Pro Cycling Team,\u25bc9,3,2017
28,31,1,23.0,Talansky Andrew,32,Cannondale-Drapac Pro Cycling Team,\u25bc9,3,2017
25,148,1,25.0,Putt Tanner,33,UnitedHealthcare Pro Cycling Team,\u25bc8,3,2017
24,118,1,,Teunissen Mike,34,Team Sunweb,-,3,2017
23,156,1,26.0,Planet Charles,35,Team Novo Nordisk,\u25bc9,3,2017
23,168,1,27.0,Wolfe Ben,36,Jelly Belly p/b Maxxis,\u25bc9,3,2017
27,21,32,1.0,Sagan Peter,1,BORA - hansgrohe,-,4,2017
29,1,18,3.0,Kittel Marcel,2,Quick-Step Floors,\u25b21,4,2017
27,84,17,,Huffman Evan,3,Rally Cycling,-,4,2017
27,25,16,2.0,Majka Rafa\u0142,4,BORA - hansgrohe,\u25bc2,4,2017
27,62,15,4.0,Bennett George,5,Team LottoNL-Jumbo,\u25bc1,4,2017
32,81,14,,Britton Rob,6,Rally Cycling,-,4,2017
