Age,BIB,Pnt,Prev,Rider,Rnk,Team,\u25bc\u25b2,stage,year
26,145,24,,Jaramillo Daniel Alexander,1,UnitedHealthcare Pro Cycling Team,,2,2017
27,138,16,,Thwaites Scott,2,Team Dimension Data,,2,2017
27,25,12,,Majka Rafa\u0142,3,BORA - hansgrohe,,2,2017
27,62,9,,Bennett George,4,Team LottoNL-Jumbo,,2,2017
26,92,9,,Boswell Ian,5,Team Sky,,2,2017
25,136,9,,Morton Lachlan,6,Team Dimension Data,,2,2017
25,33,5,,Brown Nathan,7,Cannondale-Drapac Pro Cycling Team,,2,2017
25,148,4,,Putt Tanner,8,UnitedHealthcare Pro Cycling Team,,2,2017
26,145,24,1.0,Jaramillo Daniel Alexander,1,UnitedHealthcare Pro Cycling Team,-,3,2017
27,138,16,2.0,Thwaites Scott,2,Team Dimension Data,-,3,2017
27,25,12,3.0,Majka Rafa\u0142,3,BORA - hansgrohe,-,3,2017
27,62,9,4.0,Bennett George,4,Team LottoNL-Jumbo,-,3,2017
26,92,9,5.0,Boswell Ian,5,Team Sky,-,3,2017
25,136,9,6.0,Morton Lachlan,6,Team Dimension Data,-,3,2017
25,33,5,7.0,Brown Nathan,7,Cannondale-Drapac Pro Cycling Team,-,3,2017
25,148,4,8.0,Putt Tanner,8,UnitedHealthcare Pro Cycling Team,-,3,2017
28,153,3,,Lozano David,9,Team Novo Nordisk,-,3,2017
23,168,2,,Wolfe Ben,10,Jelly Belly p/b Maxxis,-,3,2017
21,162,1,,Bennett Sean,11,Jelly Belly p/b Maxxis,-,3,2017
26,145,24,1.0,Jaramillo Daniel Alexander,1,UnitedHealthcare Pro Cycling Team,-,4,2017
27,138,16,2.0,Thwaites Scott,2,Team Dimension Data,-,4,2017
25,146,14,,Mannion Gavin,3,UnitedHealthcare Pro Cycling Team,-,4,2017
27,84,13,,Huffman Evan,4,Rally Cycling,-,4,2017
27,25,12,3.0,Majka Rafa\u0142,5,BORA - hansgrohe,\u25bc2,4,2017
27,62,9,4.0,Bennett George,6,Team LottoNL-Jumbo,\u25bc2,4,2017
26,92,9,5.0,Boswell Ian,7,Team Sky,\u25bc2,4,2017
25,136,9,6.0,Morton Lachlan,8,Team Dimension Data,\u25bc2,4,2017
22,115,6,,Hofstede Lennard,9,Team Sunweb,-,4,2017
25,33,5,7.0,Brown Nathan,10,Cannondale-Drapac Pro Cycling Team,\u25bc3,4,2017
32,81,5,,Britton Rob,11,Rally Cycling,-,4,2017
25,148,4,8.0,Putt Tanner,12,UnitedHealthcare Pro Cycling Team,\u25bc4,4,2017
28,153,3,9.0,Lozano David,13,Team Novo Nordisk,\u25bc4,4,2017
23,168,2,10.0,Wolfe Ben,14,Jelly Belly p/b Maxxis,\u25bc4,4,2017
21,162,1,11.0,Bennett Sean,15,Jelly Belly p/b Maxxis,\u25bc4,4,2017
26,145,38,1.0,Jaramillo Daniel Alexander,1,UnitedHealthcare Pro Cycling Team,-,5,2017
27,25,25,5.0,Majka Rafa\u0142,2,BORA - hansgrohe,\u25b23,5,2017
27,84,25,4.0,Huffman Evan,3,Rally Cycling,\u25b21,5,2017
