Age,Avg,GC,GC-Time,Rider,Rnk,Team,Time,stage,year
32.0,38.089,1.0,+0:00,Leipheimer Levi,1,Gerolsteiner,4:53 4:53,0,2006
34.0,37.576,2.0,+0:05,Julich Bobby,2,CSC ProTeam,0:04 0:04,0,2006
32.0,37.45,3.0,+0:06,Hincapie George,3,Discovery Channel,0:05 0:05,0,2006
30.0,37.324,4.0,+0:06,Landis Floyd,4,Phonak Hearing Systems,0:06 0:06,0,2006
27.0,36.954,5.0,+0:09,Zabriskie David,5,CSC ProTeam,0:09 0:09,0,2006
24.0,36.954,6.0,+0:10,Cancellara Fabian,6,CSC ProTeam,",, 0:09",0,2006
32.0,36.832,7.0,+0:10,McCartney Jason,7,Discovery Channel,0:10 0:10,0,2006
25.0,36.832,8.0,+0:11,Roulston Hayden,8,Health Net Presented By Maxxis,",, 0:10",0,2006
23.0,36.832,9.0,+0:11,Gusev Vladimir,9,Discovery Channel,",, 0:10",0,2006
32.0,36.711,10.0,+0:11,Savoldelli Paolo,10,Discovery Channel,0:11 0:11,0,2006
27.0,36.711,11.0,+0:12,Danielson Thomas,11,Discovery Channel,",, 0:11",0,2006
29.0,36.59,12.0,+0:12,Evans Cadel,12,Davitamon - Lotto,0:12 0:12,0,2006
28.0,36.471,13.0,+0:14,Hunter Robert,13,Phonak Hearing Systems,0:13 0:13,0,2006
25.0,36.471,14.0,+0:14,Blackgrove Heath,14,,",, 0:13",0,2006
32.0,36.352,15.0,+0:14,Rodriguez Fred,15,Davitamon - Lotto,0:14 0:14,0,2006
27.0,36.352,16.0,+0:15,Jacques-Maynes Benjamin,16,,",, 0:14",0,2006
37.0,36.117,17.0,+0:16,Fraser Gordon,17,Health Net Presented By Maxxis,0:16 0:16,0,2006
32.0,36.117,18.0,+0:16,O'Grady Stuart,18,CSC ProTeam,",, 0:16",0,2006
28.0,36.117,19.0,+0:17,Haselbacher Rene,19,Gerolsteiner,",, 0:16",0,2006
23.0,36.0,20.0,+0:17,Pauriol R\xe9mi,20,Cr\xe9dit Agricole,0:17 0:17,0,2006
22.0,36.0,21.0,+0:17,Ricco Riccardo,21,,",, 0:17",0,2006
29.0,36.0,22.0,+0:17,Vande Velde Christian,22,CSC ProTeam,",, 0:17",0,2006
30.0,36.0,23.0,+0:17,Baldwin Christopher,23,,",, 0:17",0,2006
33.0,36.0,24.0,+0:17,Martin Perdiguero Miguel Angel,24,Phonak Hearing Systems,",, 0:17",0,2006
31.0,36.0,25.0,+0:17,O'Neill Nathan,25,Health Net Presented By Maxxis,",, 0:17",0,2006
30.0,36.0,26.0,+0:18,Barry Michael,26,Discovery Channel,",, 0:17",0,2006
30.0,36.0,27.0,+0:18,Kroon Karsten,27,CSC ProTeam,",, 0:17",0,2006
26.0,35.884,28.0,+0:19,Zajicek Philip,28,Navigators Insurance Cycling Team,0:18 0:18,0,2006
33.0,35.769,29.0,+0:20,H\xf8j Frank,29,Gerolsteiner,0:19 0:19,0,2006
27.0,35.769,30.0,+0:20,Kopp David,30,Gerolsteiner,",, 0:19",0,2006
34.0,35.769,31.0,+0:20,Simoni Gilberto,31,Lampre-Fondital,",, 0:19",0,2006
26.0,35.655,32.0,+0:21,Rogers Michael,32,T-Mobile Team,0:20 0:20,0,2006
34.0,35.541,33.0,+0:21,Horner Chris,33,Saunier Duval - Prodir,0:21 0:21,0,2006
40.0,35.541,34.0,+0:21,Ekimov Viatcheslav,34,Discovery Channel,",, 0:21",0,2006
27.0,35.541,35.0,+0:21,O'Loughlin David,35,Navigators Insurance Cycling Team,",, 0:21",0,2006
26.0,35.541,36.0,+0:22,Lang Sebastian,36,Gerolsteiner,",, 0:21",0,2006
