Age,Avg,Pnt,Rider,Rnk,Team,stage,year
33.0,,30.0,Leipheimer Levi,1,Discovery Channel,0,2007
27.0,,18.0,Donald Jason,2,Team Slipstream,0,2007
28.0,,12.0,Jacques-Maynes Benjamin,3,,0,2007
25.0,,7.0,Sutherland Rory,4,Health Net Presented By Maxxis,0,2007
25.0,,4.0,Cancellara Fabian,5,CSC ProTeam,0,2007
25.0,,3.0,Hansen Adam,6,T-Mobile Team,0,2007
27.0,,2.0,Ardila Mauricio Alberto,7,Rabobank ProTeam,0,2007
27.0,,1.0,Clarke Hilton,8,Navigators Insurance Cycling Team,0,2007
33.0,,,Hincapie George,9,Discovery Channel,0,2007
28.0,,,Day Benjamin,10,Navigators Insurance Cycling Team,0,2007
26.0,,,Hesjedal Ryder,11,Health Net Presented By Maxxis,0,2007
27.0,,,Rogers Michael,12,T-Mobile Team,0,2007
35.0,,,Voigt Jens,13,CSC ProTeam,0,2007
28.0,,,Zabriskie David,14,CSC ProTeam,0,2007
26.0,,,Lagutin Sergey,15,Navigators Insurance Cycling Team,0,2007
33.0,,,O'Grady Stuart,16,CSC ProTeam,0,2007
28.0,,,Danielson Thomas,17,Discovery Channel,0,2007
29.0,,,Johnson Tim,18,,0,2007
21.0,,,Tolleson Taylor,19,Team Slipstream,0,2007
29.0,,,Pellizotti Franco,20,Liquigas,0,2007
30.0,,,Kobzarenko Valery,21,Navigators Insurance Cycling Team,0,2007
35.0,,,Julich Bobby,22,CSC ProTeam,0,2007
29.0,,,Basso Ivan,23,Discovery Channel,0,2007
31.0,,,Baldwin Christopher,24,,0,2007
35.0,,,Horner Chris,25,Predictor - Lotto,0,2007
29.0,,,Menzies Karl,26,,0,2007
28.0,,,Kirchen Kim,27,T-Mobile Team,0,2007
33.0,,,Wherry Chris,28,,0,2007
26.0,,,Blackgrove Heath,29,,0,2007
26.0,,,Mckissick Ian,30,BMC Racing Team,0,2007
27.0,,,Quinziato Manuel,31,Liquigas,0,2007
30.0,,,Vande Velde Christian,32,CSC ProTeam,0,2007
31.0,,,Kroon Karsten,33,CSC ProTeam,0,2007
24.0,,,Gasparotto Enrico,34,Liquigas,0,2007
25.0,,,Vandborg Brian,35,Discovery Channel,0,2007
33.0,,,Rodriguez Fred,36,Predictor - Lotto,0,2007
27.0,,,Pate Danny,37,Team Slipstream,0,2007
20.0,,,Peterson Tom,38,Team Slipstream,0,2007
23.0,,,Lloyd Matthew,39,Predictor - Lotto,0,2007
33.0,,,McCartney Jason,40,Discovery Channel,0,2007
29.0,,,Kaggestad Mads,41,Cr\xe9dit Agricole,0,2007
26.0,,,Davis Allan,42,Discovery Channel,0,2007
25.0,,,Milne Shawn,43,,0,2007
23.0,,,Marino Jean-Marc,44,Cr\xe9dit Agricole,0,2007
30.0,,,van de Walle Jurgen,45,Quickstep - Innergetic,0,2007
,,,England Justin,46,,0,2007
28.0,,,Colby Anthony,47,,0,2007
28.0,,,Zirbel Tom,48,,0,2007
29.0,,,Olson Aaron,49,T-Mobile Team,0,2007
26.0,,,Wegmann Fabian,50,Gerolsteiner,0,2007
29.0,,,Hushovd Thor,51,Cr\xe9dit Agricole,0,2007
25.0,,,Frischkorn William,52,Team Slipstream,0,2007
25.0,,,Mccarty Jonathan Patrick,53,,0,2007
25.0,,,Da Dalto Mauro,54,Liquigas,0,2007
29.0,,,O'Bee Kirk,55,Health Net Presented By Maxxis,0,2007
27.0,,,Zajicek Philip,56,Navigators Insurance Cycling Team,0,2007
26.0,,,Kern Christophe,57,Cr\xe9dit Agricole,0,2007
28.0,,,Wegelius Charles,58,Liquigas,0,2007
31.0,,,Jufre Josep,59,Predictor - Lotto,0,2007
32.0,,,de Groot Bram,60,Rabobank ProTeam,0,2007
28.0,,,Downing Russell,61,,0,2007
22.0,,,Vitoria David,62,BMC Racing Team,0,2007
31.0,,,Niermann Grischa,63,Rabobank ProTeam,0,2007
30.0,,,Henderson Gregory,64,T-Mobile Team,0,2007
31.0,,,Scarselli Leonardo,65,Quickstep - Innergetic,0,2007
28.0,,,Tankink Bram,66,Quickstep - Innergetic,0,2007
33.0,,,Verheyen Geert,67,Quickstep - Innergetic,0,2007
26.0,,,Haedo Juan Jose,68,CSC ProTeam,0,2007
25.0,,,Dockx Bart,69,Predictor - Lotto,0,2007
33.0,,,Piil Jakob,70,T-Mobile Team,0,2007
20.0,,,Gesink Robert,71,Rabobank ProTeam,0,2007
25.0,,,Wren Tyler,72,Jamis/Sutter Home Pro Cycling Team,0,2007
,,,Acton Alejandro,73,,0,2007
23.0,,,Euser Lucas,74,Team Slipstream,0,2007
24.0,,,Facci Mauro,75,Quickstep - Innergetic,0,2007
25.0,,,Eltink Theo,76,Rabobank ProTeam,0,2007
32.0,,,Tosatto Matteo,77,Quickstep - Innergetic,0,2007
25.0,,,Peltonen Garrett,78,,0,2007
18.0,,,van Garderen Tejay,79,,0,2007
,,,Dziewa Brian,80,,0,2007
29.0,,,Laurent Christophe,81,Cr\xe9dit Agricole,0,2007
23.0,,,Lemoine Cyril,82,Cr\xe9dit Agricole,0,2007
24.0,,,King Edward,83,,0,2007
28.0,,,Frattini Davide,84,,0,2007
25.0,,,Rapinski Viktor,85,Navigators Insurance Cycling Team,0,2007
27.0,,,Willems Frederik,86,Liquigas,0,2007
,,,Hatton Peter,87,,0,2007
24.0,,,Visconti Giovanni,88,Quickstep - Innergetic,0,2007
33.0,,,Hinault S\xe9bastien,89,Cr\xe9dit Agricole,0,2007
31.0,,,Barry Michael,90,T-Mobile Team,0,2007
25.0,,,Zaugg Oliver,91,Gerolsteiner,0,2007
29.0,,,F\xf6rster Robert,92,Gerolsteiner,0,2007
35.0,,,Cruz Antonio,93,Discovery Channel,0,2007
23.0,,,Gritters Kyle,94,,0,2007
30.0,,,Paolini Luca,95,Liquigas,0,2007
,,,Jones Brice,96,,0,2007
27.0,,,Brown Graeme,97,Rabobank ProTeam,0,2007
24.0,,,Lill Darren,98,Navigators Insurance Cycling Team,0,2007
30.0,,,Fofonov Dimitri,99,Cr\xe9dit Agricole,0,2007
26.0,,,Stewart Jackson,100,BMC Racing Team,0,2007
33.0,,,Bajadali Andrew,101,,0,2007
21.0,,,Cozza Steven,102,Team Slipstream,0,2007
28.0,,,Sullivan Sean,103,,0,2007
34.0,,,Moos Alexandre,104,BMC Racing Team,0,2007
30.0,,,Chadwick Glen,105,Navigators Insurance Cycling Team,0,2007
30.0,,,Carlstr\xf6m Kjell,106,Liquigas,0,2007
22.0,,,Ingels Nick,107,Predictor - Lotto,0,2007
30.0,,,Dominguez Ivan,108,,0,2007
23.0,,,Bookwalter Brent,109,,0,2007
20.0,,,Ciolek Gerald,110,T-Mobile Team,0,2007
23.0,,,Powers Jeremy,111,,0,2007
39.0,,,Artacho Gustavo,112,,0,2007
29.0,,,Zwizanski Scott,113,,0,2007
29.0,,,Nydam Scott,114,BMC Racing Team,0,2007
28.0,,,Hayman Mathew,115,Rabobank ProTeam,0,2007
33.0,,,McCann David,116,,0,2007
23.0,,,Reistad Nick,117,,0,2007
34.0,,,Gates Nick,118,Predictor - Lotto,0,2007
29.0,,,Jones Michael,119,,0,2007
25.0,,,Kohl Bernhard,120,Gerolsteiner,0,2007
