Age,Avg,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,UCI,stage,year
27,51.618,,+0:00,30.0,Cancellara Fabian,1,Saxo Bank,4:32 4:32,20.0,0,2009
35,51.24100000000001,,+0:00,18.0,Leipheimer Levi,2,Astana,0:02 0:02,10.0,0,2009
30,51.055,,+0:00,12.0,Zabriskie David,3,Team Garmin - Slipstream,0:03 0:03,5.0,0,2009
29,51.055,,+0:00,7.0,Rogers Michael,4,Team Columbia - HTC,",, 0:03",,0,2009
31,50.87,,+0:00,4.0,Hushovd Thor,5,Cervelo Test Team,0:04 0:04,,0,2009
35,50.87,,+0:00,3.0,Hincapie George,6,Team Columbia - HTC,",, 0:04",,0,2009
28,50.87,,+0:00,2.0,Boonen Tom,7,Quickstep - Innergetic,",, 0:04",,0,2009
26,50.87,,+0:00,1.0,Renshaw Mark,8,Team Columbia - HTC,",, 0:04",,0,2009
31,50.68600000000001,,+0:00,,Tuft Svein,9,Team Garmin - Slipstream,0:05 0:05,,0,2009
37,50.68600000000001,,+0:00,,Armstrong Lance,10,Astana,",, 0:05",,0,2009
23,50.68600000000001,,+0:00,,Cavendish Mark,11,Team Columbia - HTC,",, 0:05",,0,2009
30,50.68600000000001,,+0:00,,Zirbel Tom,12,Bissell Pro Cycling,",, 0:05",,0,2009
30,50.504,,+0:00,,Jacques-Maynes Benjamin,13,Bissell Pro Cycling,0:06 0:06,,0,2009
24,50.323,,+0:00,,Farrar Tyler,14,Team Garmin - Slipstream,0:07 0:07,,0,2009
30,50.143,,+0:00,,Huff Charles Bradley,15,Jelly Belly Cycling Team,0:08 0:08,,0,2009
32,50.143,,+0:00,,Freire Oscar,16,Rabobank ProTeam,",, 0:08",,0,2009
28,50.143,,+0:00,,Roulston Hayden,17,Cervelo Test Team,",, 0:08",,0,2009
24,50.143,,+0:00,,Murphy John,18,Ouch,",, 0:08",,0,2009
25,49.964,,+0:00,,Latham Peter,19,Bissell Pro Cycling,0:09 0:09,,0,2009
37,49.964,,+0:00,,Horner Chris,20,Astana,",, 0:09",,0,2009
28,49.964,,+0:00,,Vennell Jeremy,21,Bissell Pro Cycling,",, 0:09",,0,2009
32,49.964,,+0:00,,Vande Velde Christian,22,Team Garmin - Slipstream,",, 0:09",,0,2009
30,49.787,,+0:00,,Jacques-Maynes Andy,23,Bissell Pro Cycling,0:10 0:10,,0,2009
26,49.787,,+0:00,,Rollin Dominique,24,Cervelo Test Team,",, 0:10",,0,2009
28,49.611000000000004,,+0:00,,Haedo Juan Jose,25,Saxo Bank,0:11 0:11,,0,2009
27,49.437,,+0:00,,Barredo Carlos,26*,Quickstep - Innergetic,0:12 0:12,,0,2009
29,49.611000000000004,,+0:00,,Lancaster Brett,26,Cervelo Test Team,0:11 0:11,,0,2009
33,49.611000000000004,,+0:00,,Niermann Grischa,27,Rabobank ProTeam,",, 0:11",,0,2009
35,49.437,,+0:00,,O'Grady Stuart,28,Saxo Bank,0:12 0:12,,0,2009
26,49.437,,+0:00,,King Edward,29,Cervelo Test Team,",, 0:12",,0,2009
31,49.437,,+0:00,,Louder Jeff,30,BMC Racing Team,",, 0:12",,0,2009
34,49.263000000000005,,+0:00,,Gutierrez Jose Enrique,31,,0:13 0:13,,0,2009
26,49.263000000000005,,+0:00,,Clement Stef,32,Rabobank ProTeam,",, 0:13",,0,2009
31,49.263000000000005,,+0:00,,Menzies Karl,33,Ouch,",, 0:13",,0,2009
25,49.263000000000005,,+0:00,,Brajkovi\u010d Janez,34,Astana,",, 0:13",,0,2009
24,49.263000000000005,,+0:00,,L\xf6fkvist Thomas,35,Team Columbia - HTC,",, 0:13",,0,2009
27,49.263000000000005,,+0:00,,Hansen Adam,36,Team Columbia - HTC,",, 0:13",,0,2009
28,49.263000000000005,,+0:00,,Larsson Gustav,37,Saxo Bank,",, 0:13",,0,2009
35,49.263000000000005,,+0:00,,McCartney Jason,38,Saxo Bank,",, 0:13",,0,2009
32,49.263000000000005,,+0:00,,Mancebo Francisco,39,Rock Racing,",, 0:13",,0,2009
36,49.263000000000005,,+0:00,,Rubiera Jos\xe9 Luis,40,Astana,",, 0:13",,0,2009
29,49.263000000000005,,+0:00,,van Ulden Bernard,41,Jelly Belly Cycling Team,",, 0:13",,0,2009
24,49.263000000000005,,+0:00,,Nibali Vincenzo,42,Liquigas,",, 0:13",,0,2009
29,49.263000000000005,,+0:00,,Romero Amaran Luis,43,Colavita / Sutter Home Presente By Cooking Light,",, 0:13",,0,2009
30,49.091,,+0:00,,Day Benjamin,44,Fly V Australia P/b Successful Living Foundation,0:14 0:14,,0,2009
23,49.091,,+0:00,,Cozza Steven,45,Team Garmin - Slipstream,",, 0:14",,0,2009
29,49.091,,+0:00,,Popovych Yaroslav,46,Astana,",, 0:14",,0,2009
22,49.091,,+0:00,,Reijnen Kiel,47,Jelly Belly Cycling Team,",, 0:14",,0,2009
26,49.091,,+0:00,,Lill Darren,48,Team Type 1,",, 0:14",,0,2009
22,49.091,,+0:00,,Gesink Robert,49,Rabobank ProTeam,",, 0:14",,0,2009
30,49.091,,+0:00,,Kirchen Kim,50,Team Columbia - HTC,",, 0:14",,0,2009
32,49.091,,+0:00,,Sevilla Oscar,51,,",, 0:14",,0,2009
29,49.091,,+0:00,,Rast Gregory,52,Astana,",, 0:14",,0,2009
34,49.091,,+0:00,,Horrillo Pedro,53,Rabobank ProTeam,",, 0:14",,0,2009
37,48.92,,+0:00,,Voigt Jens,54,Saxo Bank,0:15 0:15,,0,2009
34,48.92,,+0:00,,Velo Marco,55,Quickstep - Innergetic,",, 0:15",,0,2009
34,48.92,,+0:00,,Pe\xf1a Victor Hugo,56,,",, 0:15",,0,2009
26,48.92,,+0:00,,Morabito Steve,57,Astana,",, 0:15",,0,2009
30,48.92,,+0:00,,Elmiger Martin,58,AG2R La Mondiale,",, 0:15",,0,2009
31,48.92,,+0:00,,Nydam Scott,59,BMC Racing Team,",, 0:15",,0,2009
36,48.75,,+0:00,,Moos Alexandre,60,BMC Racing Team,0:16 0:16,,0,2009
32,48.75,,+0:00,,van de Walle Jurgen,61,Quickstep - Innergetic,",, 0:16",,0,2009
28,48.75,,+0:00,,Schleck Fr\xe4nk,62,Saxo Bank,",, 0:16",,0,2009
23,48.75,,+0:00,,Crane Matthew,63,Jelly Belly Cycling Team,",, 0:16",,0,2009
34,48.75,,+0:00,,Zberg Markus,64,BMC Racing Team,",, 0:16",,0,2009
31,48.581,,+0:00,,Basso Ivan,65,Liquigas,0:17 0:17,,0,2009
30,48.581,,+0:00,,Danielson Thomas,66,Team Garmin - Slipstream,",, 0:17",,0,2009
33,48.581,,+0:00,,Barry Michael,67,Team Columbia - HTC,",, 0:17",,0,2009
33,48.581,,+0:00,,Baldwin Christopher,68,,",, 0:17",,0,2009
31,48.581,,+0:00,,O'Bee Kirk,69,Bissell Pro Cycling,",, 0:17",,0,2009
37,48.581,,+0:00,,Hamilton Tyler,70,,",, 0:17",,0,2009
27,48.413999999999994,,+0:00,,White Bradley,71,,0:18 0:18,,0,2009
28,48.413999999999994,,+0:00,,Riblon Christophe,72,AG2R La Mondiale,",, 0:18",,0,2009
29,48.413999999999994,,+0:00,,Zajicek Philip,73,Fly V Australia P/b Successful Living Foundation,",, 0:18",,0,2009
25,48.413999999999994,,+0:00,,Pauwels Serge,74,Cervelo Test Team,",, 0:18",,0,2009
22,48.413999999999994,,+0:00,,Mollema Bauke,75,Rabobank ProTeam,",, 0:18",,0,2009
28,48.413999999999994,,+0:00,,Mckissick Ian,76,BMC Racing Team,",, 0:18",,0,2009
27,48.413999999999994,,+0:00,,Weening Pieter,77,Rabobank ProTeam,",, 0:18",,0,2009
35,48.247,,+0:00,,Rodriguez Fred,78,,0:19 0:19,,0,2009
37,48.247,,+0:00,,Gunn Curtis,79,Fly V Australia P/b Successful Living Foundation,",, 0:19",,0,2009
27,48.247,,+0:00,,Vandborg Brian,80,Liquigas,",, 0:19",,0,2009
28,48.247,,+0:00,,Borrajo Alejandro Alberto,81,Colavita / Sutter Home Presente By Cooking Light,",, 0:19",,0,2009
23,48.082,,+0:00,,Schleck Andy,82,Saxo Bank,0:20 0:20,,0,2009
31,48.082,,+0:00,,Pipp Frank Kevin,83,Bissell Pro Cycling,",, 0:20",,0,2009
31,48.082,,+0:00,,Wilson Matthew,84,Team Type 1,",, 0:20",,0,2009
24,48.082,,+0:00,,Clarke Jonathan,85,Jelly Belly Cycling Team,",, 0:20",,0,2009
23,48.082,,+0:00,,Gaimon Phillip,86,Jelly Belly Cycling Team,",, 0:20",,0,2009
32,48.082,,+0:00,,Kobzarenko Valery,87,Team Type 1,",, 0:20",,0,2009
26,48.082,,+0:00,,De Weert Kevin,88,Quickstep - Innergetic,",, 0:20",,0,2009
33,47.918,,+0:00,,Landis Floyd,89,Ouch,0:21 0:21,,0,2009
39,47.918,,+0:00,,Cuesta \xcd\xf1igo,90,Cervelo Test Team,",, 0:21",,0,2009
32,47.918,,+0:00,,Chadwick Glen,91,,",, 0:21",,0,2009
31,47.918,,+0:00,,Nocentini Rinaldo,92,AG2R La Mondiale,",, 0:21",,0,2009
29,47.755,,+0:00,,Ardila Mauricio Alberto,93,Rabobank ProTeam,0:22 0:22,,0,2009
27,47.755,,+0:00,,Sutherland Rory,94,Ouch,",, 0:22",,0,2009
24,47.755,,+0:00,,Kemp David,95,Fly V Australia P/b Successful Living Foundation,",, 0:22",,0,2009
25,47.593,,+0:00,,Evans Cameron,96,Ouch,0:23 0:23,,0,2009
31,47.431999999999995,,+0:00,,Engels Addy,97,Quickstep - Innergetic,0:24 0:24,,0,2009
25,47.431999999999995,,+0:00,,Reistad Nick,98,Jelly Belly Cycling Team,",, 0:24",,0,2009
27,47.431999999999995,,+0:00,,Mccarty Jonathan Patrick,99,Ouch,",, 0:24",,0,2009
24,47.273,,+0:00,,Lowe Trent,100,Team Garmin - Slipstream,0:25 0:25,,0,2009
27,47.273,,+0:00,,Aldape Moises,101,Team Type 1,",, 0:25",,0,2009
30,47.273,,+0:00,,Hulsmans Kevin,102,Quickstep - Innergetic,",, 0:25",,0,2009
31,47.273,,+0:00,,Johnson Tim,103,Ouch,",, 0:25",,0,2009
22,47.273,,+0:00,,Frank Mathias,104,BMC Racing Team,",, 0:25",,0,2009
27,47.273,,+0:00,,Wren Tyler,105,Colavita / Sutter Home Presente By Cooking Light,",, 0:25",,0,2009
24,47.273,,+0:00,,Frei Thomas,106,BMC Racing Team,",, 0:25",,0,2009
29,47.273,,+0:00,,Davis Scott,107,Fly V Australia P/b Successful Living Foundation,",, 0:25",,0,2009
31,47.273,,+0:00,,Grabinger Micheal,108,Fly V Australia P/b Successful Living Foundation,",, 0:25",,0,2009
27,47.273,,+0:00,,Cantwell Jonathan,109,Fly V Australia P/b Successful Living Foundation,",, 0:25",,0,2009
31,47.273,,+0:00,,Olson Aaron,110,Colavita / Sutter Home Presente By Cooking Light,",, 0:25",,0,2009
22,47.114,,+0:00,,Seeldraeyers Kevin,111,Quickstep - Innergetic,0:26 0:26,,0,2009
27,47.114,,+0:00,,Garcia Jonathan,112,BMC Racing Team,",, 0:26",,0,2009
33,47.114,,+0:00,,Sastre Carlos,113,Cervelo Test Team,",, 0:26",,0,2009
26,46.957,,+0:00,,Borrajo Anibal Andres,114,Colavita / Sutter Home Presente By Cooking Light,0:27 0:27,,0,2009
34,46.957,,+0:00,,Dessel Cyril,115,AG2R La Mondiale,",, 0:27",,0,2009
29,46.957,,+0:00,,Jones Chris,116,Team Type 1,",, 0:27",,0,2009
22,46.957,,+0:00,,Oss Daniel,117,Liquigas,",, 0:27",,0,2009
31,46.645,,+0:00,,Valjavec Tadej,118,AG2R La Mondiale,0:29 0:29,,0,2009
25,46.49,,+0:00,,Sulzberger Bernard,119,Fly V Australia P/b Successful Living Foundation,0:30 0:30,,0,2009
28,46.336999999999996,,+0:00,,Vanotti Alessandro,120,Liquigas,0:31 0:31,,0,2009
25,46.184,,+0:00,,Routley Will,121,Jelly Belly Cycling Team,0:32 0:32,,0,2009
38,46.184,,+0:00,,Goubert Stephane,122,AG2R La Mondiale,",, 0:32",,0,2009
30,46.184,,+0:00,,Frattini Davide,123,Colavita / Sutter Home Presente By Cooking Light,",, 0:32",,0,2009
28,46.033,,+0:00,,Dupont Hubert,124,AG2R La Mondiale,0:33 0:33,,0,2009
26,46.033,,+0:00,,Kem Omer,125,Bissell Pro Cycling,",, 0:33",,0,2009
28,45.882,,+0:00,,Chicchi Francesco,126,Liquigas,0:34 0:34,,0,2009
25,45.733000000000004,,+0:00,,Haedo Lucas Sebastian,127,Colavita / Sutter Home Presente By Cooking Light,0:35 0:35,,0,2009
21,45.733000000000004,,+0:00,,Guarnieri Jacopo,128,Liquigas,",, 0:35",,0,2009
25,45.145,,+0:00,,Guptill Andy,129,Colavita / Sutter Home Presente By Cooking Light,0:39 0:39,,0,2009
25,45.0,,+0:00,,MacGregor Ian,130,Team Type 1,0:40 0:40,,0,2009
32,44.713,,+0:00,,Carlstr\xf6m Kjell,131,Liquigas,0:42 0:42,,0,2009
29,44.43,,+0:00,,Gadret John,132,AG2R La Mondiale,0:44 0:44,,0,2009
21,44.29,,+0:00,,Calabria Fabio,133,Team Type 1,0:45 0:45,,0,2009
27,43.738,,+0:00,,Southerland Phil,134,Team Type 1,0:49 0:49,,0,2009
22,35.544000000000004,,+0:00,,Peterson Tom,135,Team Garmin - Slipstream,2:03 2:03,,0,2009
32,,,+0:00,30.0,Mancebo Francisco,1,Rock Racing,4:11:07 4:11:07,20.0,1,2009
32,,,+0:00,18.0,van de Walle Jurgen,2,Quickstep - Innergetic,1:07 1:07,10.0,1,2009
24,,,+0:00,12.0,Nibali Vincenzo,3,Liquigas,",, 1:07",5.0,1,2009
25,,,+0:00,7.0,Brajkovi\u010d Janez,4,Astana,",, 1:07",,1,2009
37,,,+0:00,4.0,Armstrong Lance,5,Astana,",, 1:07",,1,2009
