Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,UCI,stage,year
26,,1,1.0,+0:00,30.0,Sagan Peter,1,Tinkoff,4:20:41 4:20:41,20.0,1,2016
25,,78,2.0,+0:04,18.0,Wippert Wouter,2,Cannondale Pro Cycling Team,",, ,,",10.0,1,2016
22,,111,4.0,+0:06,12.0,Groenewegen Dylan,3,Team LottoNL-Jumbo,",, ,,",5.0,1,2016
24,,91,7.0,+0:10,7.0,Coquard Bryan,4,Direct Energie,",, ,,",,1,2016
31,,167,8.0,+0:10,4.0,Verschoor Martijn,5,Team Novo Nordisk,",, ,,",,1,2016
22,,84,9.0,+0:10,3.0,Bonifazio Niccolo,6,Trek - Segafredo,",, ,,",,1,2016
21,,135,10.0,+0:10,2.0,Guerreiro Ruben,7,Axeon Hagens Berman,",, ,,",,1,2016
35,,12,11.0,+0:10,1.0,Boonen Tom,8,Etixx - Quick Step,",, ,,",,1,2016
29,,53,12.0,+0:10,,Drucker Jean-Pierre,9,BMC Racing Team,",, ,,",,1,2016
31,,127,13.0,+0:10,,Murphy John,10,UnitedHealthcare Pro Cycling Team,",, ,,",,1,2016
25,,22,14.0,+0:10,,Fenn Andrew,11,Team Sky,",, ,,",,1,2016
22,,27,15.0,+0:10,,van Poppel Danny,12,Team Sky,",, ,,",,1,2016
19,,138,16.0,+0:10,,Powless Neilson,13,Axeon Hagens Berman,",, ,,",,1,2016
24,,128,17.0,+0:10,,Putt Tanner,14,UnitedHealthcare Pro Cycling Team,",, ,,",,1,2016
23,,63,18.0,+0:10,,Doull Owain,15,Team Wiggins,",, ,,",,1,2016
28,,41,19.0,+0:10,,Kristoff Alexander,16,Team Katusha,",, ,,",,1,2016
27,,122,20.0,+0:10,,Canola Marco,17,UnitedHealthcare Pro Cycling Team,",, ,,",,1,2016
29,,67,21.0,+0:10,,Tennant Andrew,18,Team Wiggins,",, ,,",,1,2016
30,,171,22.0,+0:10,,Anthony Jesse,19,Rally Cycling,",, ,,",,1,2016
27,,165,23.0,+0:10,,Peron Andrea,20,Team Novo Nordisk,",, ,,",,1,2016
27,,157,24.0,+0:10,,McCabe Travis,21,Holowesko-Citadel Racing Team,",, ,,",,1,2016
21,,131,25.0,+0:10,,Geoghegan Hart Tao,22,Axeon Hagens Berman,",, ,,",,1,2016
25,,54,26.0,+0:10,,Phinney Taylor,23,BMC Racing Team,",, ,,",,1,2016
32,,51,27.0,+0:10,,Bookwalter Brent,24,BMC Racing Team,",, ,,",,1,2016
21,,137,28.0,+0:10,,Owen Logan,25,Axeon Hagens Berman,",, ,,",,1,2016
32,,164,29.0,+0:10,,Megias Javier,26,Team Novo Nordisk,",, ,,",,1,2016
32,,121,30.0,+0:10,,Brajkovi\u010d Janez,27,UnitedHealthcare Pro Cycling Team,",, ,,",,1,2016
22,,124,5.0,+0:07,,Eaton Daniel,28,UnitedHealthcare Pro Cycling Team,",, ,,",,1,2016
30,,31,31.0,+0:10,,Cavendish Mark,29,Team Dimension Data,",, ,,",,1,2016
36,,85,32.0,+0:10,,Irizar Markel,30,Trek - Segafredo,",, ,,",,1,2016
25,,72,33.0,+0:10,,Bevin Patrick,31,Cannondale Pro Cycling Team,",, ,,",,1,2016
33,,37,34.0,+0:10,,Renshaw Mark,32,Team Dimension Data,",, ,,",,1,2016
29,,86,35.0,+0:10,,Reijnen Kiel,33,Trek - Segafredo,",, ,,",,1,2016
21,,136,36.0,+0:10,,Neilands Krists,34,Axeon Hagens Berman,",, ,,",,1,2016
25,,52,37.0,+0:10,,Dennis Rohan,35,BMC Racing Team,",, ,,",,1,2016
21,,64,38.0,+0:10,,Kelly Jake,36,Team Wiggins,",, ,,",,1,2016
39,,88,39.0,+0:10,,Zubeldia Haimar,37,Trek - Segafredo,",, ,,",,1,2016
36,,126,40.0,+0:10,,Jones Chris,38,UnitedHealthcare Pro Cycling Team,",, ,,",,1,2016
26,,112,41.0,+0:10,,Bennett George,39,Team LottoNL-Jumbo,",, ,,",,1,2016
22,,24,42.0,+0:10,,Moscon Gianni,40,Team Sky,",, ,,",,1,2016
25,,175,43.0,+0:10,,Naud Pierrick,41,Rally Cycling,",, ,,",,1,2016
28,,81,44.0,+0:10,,Stetina Peter,42,Trek - Segafredo,",, ,,",,1,2016
30,,58,45.0,+0:10,,Wyss Danilo,43,BMC Racing Team,",, ,,",,1,2016
