BIB,GC,GC-Time,Prev,Rnk,Team,Time,\u25bc\u25b2,stage,year
,,+ -4:31:23,,1,5-hour Energy,13:34:51 13:34:51,,1,2013
,,+ -4:31:23,,2,Bontrager Cycling Team,0:06 0:06,,1,2013
,,+ -4:31:23,,3,Bissell Pro Cycling,",, 0:06",,1,2013
,,+ -4:31:23,,4,UnitedHealthcare Presented by Maxxis,",, 0:06",,1,2013
,,+ -4:31:23,,5,Team NetApp \u2013 Endura,",, 0:06",,1,2013
,,+ -4:31:23,,6,BMC Racing Team,",, 0:06",,1,2013
,,+ -4:31:23,,7,Champion System Pro Cycling Team,",, 0:06",,1,2013
,,+ -4:31:23,,8,RadioShack - Leopard,",, 0:06",,1,2013
,,+ -4:31:23,,9,Cannondale Pro Cycling Team,",, 0:06",,1,2013
,,+ -4:31:23,,10,Garmin Sharp,",, 0:06",,1,2013
,,+ -4:31:23,,11,Omega Pharma - Quick-Step,9:11 9:11,,1,2013
,,+ -4:31:23,,12,Vacansoleil - DCM,10:12 10:12,,1,2013
,,+ -4:31:23,,13,Orica GreenEDGE,10:18 10:18,,1,2013
,,+ -4:31:23,,14,Optum p/b Kelly Benefit Strategies,",, 10:18",,1,2013
,,+ -4:31:23,,15,Jamis - Hagens Berman,18:14 18:14,,1,2013
,,+ -4:31:23,,16,Team Saxo - Tinkoff,20:30 20:30,,1,2013
,,+ -9:39:19,4.0,1,UnitedHealthcare Presented by Maxxis,29:02:47 29:02:47,\u25b23,2,2013
,,+ -9:39:19,1.0,2,5-hour Energy,1:22 1:22,\u25bc1,2,2013
,,+ -9:39:19,6.0,3,BMC Racing Team,4:23 4:23,\u25b23,2,2013
,,+ -9:39:19,8.0,4,RadioShack - Leopard,6:33 6:33,\u25b24,2,2013
,,+ -9:39:19,3.0,5,Bissell Pro Cycling,8:32 8:32,\u25bc2,2,2013
,,+ -9:39:19,5.0,6,Team NetApp \u2013 Endura,11:12 11:12,\u25bc1,2,2013
,,+ -9:39:19,2.0,7,Bontrager Cycling Team,14:08 14:08,\u25bc5,2,2013
,,+ -9:39:19,10.0,8,Garmin Sharp,19:40 19:40,\u25b22,2,2013
,,+ -9:39:19,7.0,9,Champion System Pro Cycling Team,21:15 21:15,\u25bc2,2,2013
,,+ -9:39:19,9.0,10,Cannondale Pro Cycling Team,24:22 24:22,\u25bc1,2,2013
,,+ -9:39:19,13.0,11,Orica GreenEDGE,26:47 26:47,\u25b22,2,2013
,,+ -9:39:19,14.0,12,Optum p/b Kelly Benefit Strategies,29:02 29:02,\u25b22,2,2013
,,+ -9:39:19,15.0,13,Jamis - Hagens Berman,34:11 34:11,\u25b22,2,2013
,,+ -9:39:19,16.0,14,Team Saxo - Tinkoff,34:47 34:47,\u25b22,2,2013
,,+ -9:39:19,12.0,15,Vacansoleil - DCM,39:41 39:41,\u25bc3,2,2013
,,+ -9:39:19,11.0,16,Omega Pharma - Quick-Step,41:30 41:30,\u25bc5,2,2013
,,+ - 13:59:50,1.0,1,UnitedHealthcare Presented by Maxxis,42:04:20 42:04:20,-,3,2013
,,+ - 13:59:50,2.0,2,5-hour Energy,1:22 1:22,-,3,2013
,,+ - 13:59:50,3.0,3,BMC Racing Team,4:23 4:23,-,3,2013
,,+ - 13:59:50,4.0,4,RadioShack - Leopard,6:33 6:33,-,3,2013
,,+ - 13:59:50,5.0,5,Bissell Pro Cycling,8:32 8:32,-,3,2013
,,+ - 13:59:50,6.0,6,Team NetApp \u2013 Endura,11:12 11:12,-,3,2013
,,+ - 13:59:50,7.0,7,Bontrager Cycling Team,14:08 14:08,-,3,2013
,,+ - 13:59:50,8.0,8,Garmin Sharp,19:40 19:40,-,3,2013
,,+ - 13:59:50,9.0,9,Champion System Pro Cycling Team,21:15 21:15,-,3,2013
,,+ - 13:59:50,10.0,10,Cannondale Pro Cycling Team,24:22 24:22,-,3,2013
,,+ - 13:59:50,11.0,11,Orica GreenEDGE,26:47 26:47,-,3,2013
,,+ - 13:59:50,12.0,12,Optum p/b Kelly Benefit Strategies,29:02 29:02,-,3,2013
,,+ - 13:59:50,13.0,13,Jamis - Hagens Berman,34:11 34:11,-,3,2013
,,+ - 13:59:50,14.0,14,Team Saxo - Tinkoff,34:47 34:47,-,3,2013
,,+ - 13:59:50,15.0,15,Vacansoleil - DCM,39:41 39:41,-,3,2013
,,+ - 13:59:50,16.0,16,Omega Pharma - Quick-Step,41:30 41:30,-,3,2013
,,+ - 17:13:59,1.0,1,UnitedHealthcare Presented by Maxxis,51:46:47 51:46:47,-,4,2013
,,+ - 17:13:59,2.0,2,5-hour Energy,1:22 1:22,-,4,2013
,,+ - 17:13:59,3.0,3,BMC Racing Team,4:23 4:23,-,4,2013
,,+ - 17:13:59,4.0,4,RadioShack - Leopard,6:33 6:33,-,4,2013
,,+ - 17:13:59,5.0,5,Bissell Pro Cycling,8:32 8:32,-,4,2013
,,+ - 17:13:59,6.0,6,Team NetApp \u2013 Endura,11:12 11:12,-,4,2013
,,+ - 17:13:59,7.0,7,Bontrager Cycling Team,14:08 14:08,-,4,2013
,,+ - 17:13:59,8.0,8,Garmin Sharp,19:40 19:40,-,4,2013
,,+ - 17:13:59,9.0,9,Champion System Pro Cycling Team,21:15 21:15,-,4,2013
,,+ - 17:13:59,10.0,10,Cannondale Pro Cycling Team,24:22 24:22,-,4,2013
,,+ - 17:13:59,11.0,11,Orica GreenEDGE,26:47 26:47,-,4,2013
,,+ - 17:13:59,12.0,12,Optum p/b Kelly Benefit Strategies,29:02 29:02,-,4,2013
,,+ - 17:13:59,13.0,13,Jamis - Hagens Berman,34:11 34:11,-,4,2013
,,+ - 17:13:59,14.0,14,Team Saxo - Tinkoff,34:47 34:47,-,4,2013
,,+ - 17:13:59,15.0,15,Vacansoleil - DCM,39:41 39:41,-,4,2013
,,+ - 17:13:59,16.0,16,Omega Pharma - Quick-Step,41:30 41:30,-,4,2013
,,+ - 21:55:32,1.0,1,UnitedHealthcare Presented by Maxxis,65:53:53 65:53:53,-,5,2013
,,+ - 21:55:32,2.0,2,5-hour Energy,1:25 1:25,-,5,2013
,,+ - 21:55:32,3.0,3,BMC Racing Team,1:31 1:31,-,5,2013
,,+ - 21:55:32,4.0,4,RadioShack - Leopard,3:27 3:27,-,5,2013
,,+ - 21:55:32,6.0,5,Team NetApp \u2013 Endura,11:15 11:15,\u25b21,5,2013
,,+ - 21:55:32,7.0,6,Bontrager Cycling Team,14:11 14:11,\u25b21,5,2013
,,+ - 21:55:32,8.0,7,Garmin Sharp,18:42 18:42,\u25b21,5,2013
,,+ - 21:55:32,9.0,8,Champion System Pro Cycling Team,21:15 21:15,\u25b21,5,2013
,,+ - 21:55:32,10.0,9,Cannondale Pro Cycling Team,23:24 23:24,\u25b21,5,2013
,,+ - 21:55:32,11.0,10,Orica GreenEDGE,23:55 23:55,\u25b21,5,2013
,,+ - 21:55:32,12.0,11,Optum p/b Kelly Benefit Strategies,28:04 28:04,\u25b21,5,2013
,,+ - 21:55:32,14.0,12,Team Saxo - Tinkoff,31:47 31:47,\u25b22,5,2013
,,+ - 21:55:32,13.0,13,Jamis - Hagens Berman,35:13 35:13,-,5,2013
,,+ - 21:55:32,5.0,14,Bissell Pro Cycling,36:53 36:53,\u25bc9,5,2013
,,+ - 21:55:32,15.0,15,Vacansoleil - DCM,38:43 38:43,-,5,2013
,,+ - 21:55:32,16.0,16,Omega Pharma - Quick-Step,41:33 41:33,-,5,2013
,,+ - 22:44:24,3.0,1,BMC Racing Team,68:24:54 68:24:54,\u25b22,6,2013
,,+ - 22:44:24,2.0,2,5-hour Energy,6:45 6:45,-,6,2013
,,+ - 22:44:24,4.0,3,RadioShack - Leopard,6:53 6:53,\u25b21,6,2013
,,+ - 22:44:24,1.0,4,UnitedHealthcare Presented by Maxxis,7:17 7:17,\u25bc3,6,2013
,,+ - 22:44:24,5.0,5,Team NetApp \u2013 Endura,14:24 14:24,-,6,2013
,,+ - 22:44:24,6.0,6,Bontrager Cycling Team,20:08 20:08,-,6,2013
,,+ - 22:44:24,7.0,7,Garmin Sharp,25:08 25:08,-,6,2013
,,+ - 22:44:24,10.0,8,Orica GreenEDGE,27:21 27:21,\u25b22,6,2013
,,+ - 22:44:24,9.0,9,Cannondale Pro Cycling Team,29:30 29:30,-,6,2013
,,+ - 22:44:24,8.0,10,Champion System Pro Cycling Team,34:30 34:30,\u25bc2,6,2013
,,+ - 22:44:24,11.0,11,Optum p/b Kelly Benefit Strategies,35:12 35:12,-,6,2013
,,+ - 22:44:24,12.0,12,Team Saxo - Tinkoff,37:39 37:39,-,6,2013
,,+ - 22:44:24,15.0,13,Vacansoleil - DCM,39:21 39:21,\u25b22,6,2013
,,+ - 22:44:24,13.0,14,Jamis - Hagens Berman,44:34 44:34,\u25bc1,6,2013
