Rnk,Rider,Age,Team,Pnt,year,stage
1,Leipheimer Levi,32.0,Gerolsteiner,31,2006,7
2,Kohl Bernhard,24.0,T-Mobile Team,22,2006,7
3,Ricco Riccardo,22.0,,17,2006,7
4,Landis Floyd,30.0,Phonak Hearing Systems,10,2006,7
5,Lang Sebastian,26.0,Gerolsteiner,10,2006,7
6,Pinotti Marco,30.0,Saunier Duval - Prodir,9,2006,7
7,Voigt Jens,34.0,CSC ProTeam,7,2006,7
8,Zabriskie David,27.0,CSC ProTeam,6,2006,7
9,Wegmann Fabian,25.0,Gerolsteiner,6,2006,7
10,Greipel Andr\xe9,23.0,T-Mobile Team,6,2006,7
11,Horner Chris,34.0,Saunier Duval - Prodir,6,2006,7
12,Davis Scott,26.0,T-Mobile Team,6,2006,7
13,Ekimov Viatcheslav,40.0,Discovery Channel,5,2006,7
14,Danielson Thomas,27.0,Discovery Channel,5,2006,7
15,Krauss Sven,23.0,Gerolsteiner,5,2006,7
16,Perras Dominique,32.0,,5,2006,7
17,Evans Cadel,29.0,Davitamon - Lotto,4,2006,7
18,Savoldelli Paolo,32.0,Discovery Channel,4,2006,7
19,Hincapie George,32.0,Discovery Channel,4,2006,7
20,Chadwick Glen,29.0,Navigators Insurance Cycling Team,4,2006,7
21,Creed Michael,25.0,Team TIAA-CREF,4,2006,7
22,Julich Bobby,34.0,CSC ProTeam,2,2006,7
23,Gusev Vladimir,23.0,Discovery Channel,2,2006,7
24,Kaggestad Mads,29.0,Cr\xe9dit Agricole,2,2006,7
25,Marino Jean-Marc,22.0,Cr\xe9dit Agricole,2,2006,7
26,O'Neill Nathan,31.0,Health Net Presented By Maxxis,1,2006,7
27,Moos Alexandre,33.0,Phonak Hearing Systems,1,2006,7
28,Peterson Tom,19.0,,1,2006,7
29,England Justin,,,1,2006,7
