Age,BIB,GC,GC-Time,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
23,31,1,+0:00,,Gaviria Fernando,1,Quick-Step Floors,3:02:13 3:02:13,,1,2018
23,73,2,+0:04,,Ewan Caleb,2,Mitchelton-Scott,0:04 0:04,,1,2018
21,34,7,+0:09,,Hodeg \xc1lvaro Jos\xe9,3,Quick-Step Floors,0:09 0:09,,1,2018
20,106,10,+0:10,,Philipsen Jasper,4,Hagens Berman Axeon,0:10 0:10,,1,2018
24,136,12,+0:10,,Walscheid Max,5,Team Sunweb,",, 0:10",,1,2018
21,105,14,+0:10,,Oliveira Ivo,6,Hagens Berman Axeon,",, 0:10",,1,2018
21,1,22,+0:10,,Powless Neilson,7,Team LottoNL-Jumbo,",, 0:10",,1,2018
24,5,23,+0:10,,Tolhoek Antwan,8,Team LottoNL-Jumbo,",, 0:10",,1,2018
21,81,26,+0:10,,Bernal Egan Arley,9,Team Sky,",, 0:10",,1,2018
23,82,31,+0:10,,Geoghegan Hart Tao,10,Team Sky,",, 0:10",,1,2018
20,104,32,+0:10,,Garrison Ian,11,Hagens Berman Axeon,",, 0:10",,1,2018
24,64,41,+0:10,,De Vos Adam,12,Rally Cycling,",, 0:10",,1,2018
20,66,47,+0:10,,McNulty Brandon,13,Rally Cycling,",, 0:10",,1,2018
24,57,51,+0:10,,Zabel Rick,14,Team Katusha - Alpecin,",, 0:10",,1,2018
23,147,54,+0:10,,Ravasi Edward,15,UAE-Team Emirates,",, 0:10",,1,2018
23,123,55,+0:10,,Guerreiro Ruben,16,Trek - Segafredo,",, 0:10",,1,2018
23,117,56,+0:10,,Owen Logan,17,Team EF Education First-Drapac p/b Cannondale,",, 0:10",,1,2018
20,85,61,+0:10,,Sivakov Pavel,18,Team Sky,",, 0:10",,1,2018
22,33,62,+0:10,,De Plus Laurens,19,Quick-Step Floors,",, 0:10",,1,2018
22,103,63,+0:10,,Bennett Sean,20,Hagens Berman Axeon,",, 0:10",,1,2018
23,3,68,+0:10,,Kuss Sepp,21,Team LottoNL-Jumbo,",, 0:10",,1,2018
24,83,69,+0:10,,Henao Sebasti\xe1n,22,Team Sky,",, 0:10",,1,2018
22,102,70,+0:10,,Barta William,23,Hagens Berman Axeon,",, 0:10",,1,2018
23,152,71,+0:10,,Bryon Miguel,24,Holowesko - Citadel p/b Arapahoe Resources,",, 0:10",,1,2018
23,154,72,+0:10,,Eisenhart Taylor,25,Holowesko - Citadel p/b Arapahoe Resources,",, 0:10",,1,2018
22,26,74,+0:10,,Van Hooydonck Nathan,26,BMC Racing Team,",, 0:10",,1,2018
23,32,76,+0:10,,Asgreen Kasper,27,Quick-Step Floors,",, 0:10",,1,2018
23,53,82,+0:10,,Fabbro Matteo,28,Team Katusha - Alpecin,",, 0:10",,1,2018
21,36,86,+0:10,,Narvaez Jhonatan,29,Quick-Step Floors,",, 0:10",,1,2018
21,145,87,+0:10,,Ganna Filippo,30,UAE-Team Emirates,",, 0:10",,1,2018
22,115,90,+0:10,,Martinez Daniel Felipe,31,Team EF Education First-Drapac p/b Cannondale,",, 0:10",,1,2018
22,133,91,+0:10,,Hindley Jai,32,Team Sunweb,",, 0:10",,1,2018
25,142,93,+0:10,,Ait El Abdia Anass,33,UAE-Team Emirates,",, 0:10",,1,2018
22,42,97,+0:10,,Davies Scott,34,Team Dimension Data,",, 0:10",,1,2018
24,156,102,+0:10,,Lienhard Fabian,35,Holowesko - Citadel p/b Arapahoe Resources,",, 0:10",,1,2018
19,101,104,+0:10,,Bjerg Mikkel,36,Hagens Berman Axeon,",, 0:10",,1,2018
21,122,108,+0:10,,Conci Nicola,37,Trek - Segafredo,",, 0:10",,1,2018
22,157,110,+0:10,,Rhim Brendan,38,Holowesko - Citadel p/b Arapahoe Resources,",, 0:10",,1,2018
22,107,111,+0:10,,Rice Michael,39,Hagens Berman Axeon,",, 0:10",,1,2018
