Rnk,Rider,Age,Team,Pnt,Time won/lost,year,stage
1,Vinokourov Alexandre,25,Casino - AG2R,250,+0:00,1999,7
2,Vaughters Jonathan,26,US Postal Service,190,+0:00,1999,7
3,Belli Wladimir,28,Festina - Lotus,160,+0:00,1999,7
4,Beloki Joseba,25,Euskaltel - Euskadi,140,+0:00,1999,7
5,Heulot Stephane,28,La Fran\xe7aise des Jeux,120,+0:00,1999,7
6,Livingston Kevin,26,US Postal Service,110,+0:00,1999,7
7,Osa Unai,24,Banesto,100,+0:00,1999,7
8,Armstrong Lance,27,US Postal Service,90,+0:00,1999,7
9,Simon Fran\xe7ois,30,Credit agricole,80,+0:00,1999,7
10,Bouvard Gilles,29,Home Market - Ville de Charleroi,70,+0:00,1999,7
11,Laiseka jaio Roberto,29,Euskaltel - Euskadi,60,+0:00,1999,7
12,Mancebo Francisco,23,Banesto,55,+0:00,1999,7
13,van de Wouwer Kurt,27,Lotto - Mobistar,50,+0:00,1999,7
14,Del Olmo Txema,26,Euskaltel - Euskadi,45,+0:00,1999,7
15,Hamilton Tyler,28,US Postal Service,40,+0:00,1999,7
16,Demarbaix Sebastien,25,Lotto - Mobistar,36,+0:00,1999,7
17,Solaun Cesar,28,Banesto,32,+0:00,1999,7
18,Gabriel Fr\xe9d\xe9ric,28,Home Market - Ville de Charleroi,28,+0:00,1999,7
19,Castresana Angel,27,Euskaltel - Euskadi,24,+0:00,1999,7
20,Aerts Mario,24,Lotto - Mobistar,20,+0:00,1999,7
21,Robin Jean-Cyril,29,La Fran\xe7aise des Jeux,18,+0:00,1999,7
22,Rault Dominique,28,BigMat - Auber 93,16,+0:00,1999,7
23,Vasseur C\xe9dric,28,Credit agricole,14,+0:00,1999,7
24,Verheyen Geert,26,Lotto - Mobistar,12,+0:00,1999,7
25,Julich Bobby,27,Cofidis,10,+0:00,1999,7
26,Verbrugghe Rik,24,Lotto - Mobistar,9,+0:00,1999,7
27,Voigt Jens,27,Credit agricole,8,+0:00,1999,7
28,Garcia Francisco Tomas,23,,7,+0:00,1999,7
29,Moreau Christophe,28,Festina - Lotus,6,+0:00,1999,7
30,Oriol Christophe,26,Casino - AG2R,5,+0:00,1999,7
31,Guilbert Charles,27,Home Market - Ville de Charleroi,5,+0:00,1999,7
32,Brochard Laurent,31,Festina - Lotus,5,+0:00,1999,7
33,Chaurreau I\xf1igo,26,Euskaltel - Euskadi,5,+0:00,1999,7
34,Morin Anthony,24,La Fran\xe7aise des Jeux,5,+0:00,1999,7
35,Lebreton Lylian,27,BigMat - Auber 93,5,+0:00,1999,7
36,Madouas Laurent,32,Festina - Lotus,5,+0:00,1999,7
37,Langella Anthony,25,Credit agricole,5,+0:00,1999,7
38,Gougot Fabrice,27,Casino - AG2R,5,+0:00,1999,7
39,De Wolf Steve,23,Cofidis,5,+0:00,1999,7
40,Teyssier Francisque,30,Festina - Lotus,5,+0:00,1999,7
41,Kivilev Andrei,25,Festina - Lotus,5,+0:00,1999,7
42,Chanteur Pascal,31,Casino - AG2R,5,+0:00,1999,7
43,Fernandez Bingen,26,Euskaltel - Euskadi,5,+0:00,1999,7
44,Bessy Fr\xe9d\xe9ric,27,Casino - AG2R,5,+0:00,1999,7
45,Bassons Christophe,25,La Fran\xe7aise des Jeux,5,+0:00,1999,7
46,Moncouti\xe9 David,24,Cofidis,5,+0:00,1999,7
47,Bordenave Philippe,30,BigMat - Auber 93,5,+0:00,1999,7
48,Wuyts Peter,26,Lotto - Mobistar,5,+0:00,1999,7
49,Sivakov Alexei,27,BigMat - Auber 93,5,+0:00,1999,7
50,Delrieu David,28,Casino - AG2R,5,+0:00,1999,7
51,Garcia David,29,Vitalicio Seguros - Grupo Generali,5,+0:00,1999,7
52,Parra Ivan Ramiro,23,Vitalicio Seguros - Grupo Generali,5,+0:00,1999,7
53,Hinault S\xe9bastien,25,Credit agricole,5,+0:00,1999,7
54,Jenner Christopher,24,Credit agricole,5,+0:00,1999,7
55,Van Hyfte Paul,27,Lotto - Mobistar,5,+0:00,1999,7
56,Vogondy Nicolas,21,La Fran\xe7aise des Jeux,5,+0:00,1999,7
57,Lefevre Laurent,22,Festina - Lotus,5,+0:00,1999,7
58,Manchon Ernesto,27,Vitalicio Seguros - Grupo Generali,5,+0:00,1999,7
59,Silloniz Aitor,22,Euskaltel - Euskadi,5,+0:00,1999,7
60,Pillon Laurent,35,Home Market - Ville de Charleroi,5,+0:00,1999,7
61,Lopez De Munain Alberto,27,Euskaltel - Euskadi,5,+0:00,1999,7
62,Boardman Christopher,30,Credit agricole,5,+0:00,1999,7
63,Lastras Pablo,23,Banesto,5,+0:00,1999,7
64,Barthe St\xe9phane,26,Casino - AG2R,5,+0:00,1999,7
