Rnk,Rider,Age,Team,GC,GC-Time,Time,Time won/lost,year,stage
1,Rous Didier,30.0,Bonjour,1,+0:00,5:29:07 5:29:07,+0:00,2001,0
2,McGee Bradley,25.0,La Fran\xe7aise des Jeux,2,+1:23,1:23 1:23,+1:23,2001,0
3,Millar David,24.0,"Cofidis, le Cr\xe9dit par T\xe9l\xe9phone",3,+4:05,4:05 4:05,+4:05,2001,0
4,Barbosa Candido,26.0,Ibanesto.com,4,+6:19,6:19 6:19,+6:19,2001,0
5,Brochard Laurent,33.0,Jean Delatour,5,+6:59,6:59 6:59,+6:59,2001,0
6,Magnusson Glenn,31.0,Domo - Farm Frites,6,+7:47,7:47 7:47,+7:47,2001,0
7,Mayo Iban,23.0,Euskaltel - Euskadi,7,+9:12,9:12 9:12,+9:12,2001,0
8,Moreau Christophe,30.0,Festina,8,+9:46,9:46 9:46,+9:46,2001,0
9,Durand Jacky,34.0,La Fran\xe7aise des Jeux,9,+10:17,10:17 10:17,+10:17,2001,0
10,Sivakov Alexei,29.0,,10,+10:27,10:27 10:27,+10:27,2001,0
11,van Heeswijk Max,28.0,Domo - Farm Frites,11,+11:49,11:49 11:49,+11:49,2001,0
12,Etxebarria Unai,28.0,Euskaltel - Euskadi,12,+12:15,12:15 12:15,+12:15,2001,0
13,Mikhailov Guennady,27.0,Lotto - Adecco,13,+12:31,12:31 12:31,+12:31,2001,0
14,Heulot Stephane,30.0,,14,+14:22,14:22 14:22,+14:22,2001,0
15,Salmon Benoit,27.0,AG2R Pr\xe9voyance,15,+14:56,14:56 14:56,+14:56,2001,0
16,Rinero Christophe,27.0,"Cofidis, le Cr\xe9dit par T\xe9l\xe9phone",16,+15:38,15:38 15:38,+15:38,2001,0
17,Vogondy Nicolas,23.0,La Fran\xe7aise des Jeux,17,+15:30,15:30 15:30,+15:30,2001,0
18,Axelsson Niklas,29.0,Mercury - Viatel,18,+16:32,16:32 16:32,+16:32,2001,0
19,Gougot Fabrice,29.0,Cr\xe9dit Agricole,19,+16:06,16:06 16:06,+16:06,2001,0
20,Moncouti\xe9 David,26.0,"Cofidis, le Cr\xe9dit par T\xe9l\xe9phone",20,+16:08,16:08 16:08,+16:08,2001,0
21,Flores Iker,24.0,Euskaltel - Euskadi,21,+17:22,17:22 17:22,+17:22,2001,0
22,Lefevre Laurent,24.0,"Cofidis, le Cr\xe9dit par T\xe9l\xe9phone",22,+17:23,17:23 17:23,+17:23,2001,0
23,Zandio Xabier,24.0,Ibanesto.com,23,+17:29,17:29 17:29,+17:29,2001,0
24,Jenner Christopher,26.0,Cr\xe9dit Agricole,24,+17:32,17:32 17:32,+17:32,2001,0
25,Guilbert Charles,29.0,Bonjour,25,+17:12,17:12 17:12,+17:12,2001,0
26,Bruylandts Dave,24.0,Domo - Farm Frites,26,+17:29,17:29 17:29,+17:29,2001,0
27,Mancebo Francisco,25.0,Ibanesto.com,27,+17:53,17:53 17:53,+17:53,2001,0
28,Gerrikagoitia Gorka,27.0,Euskaltel - Euskadi,28,+18:28,18:28 18:28,+18:28,2001,0
29,Turpin Ludovic,26.0,AG2R Pr\xe9voyance,29,+18:30,18:30 18:30,+18:30,2001,0
