Age,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,\u25bc\u25b2,stage,year
27,1,+0:00,,,Wiggins Bradley,1,Cofidis,4:50 4:50,+0:00,,0,2007
33,2,+0:01,,,Leipheimer Levi,2,Discovery Channel,0:01 0:01,+0:01,,0,2007
27,3,+0:02,,,Kashechkin Andrey,3,Astana,0:02 0:02,+0:02,,0,2007
33,4,+0:02,,,Hincapie George,4,Discovery Channel,",, 0:02",+0:02,,0,2007
27,5,+0:03,,,Valverde Alejandro,5,Caisse d'Epargne,0:03 0:03,+0:03,,0,2007
28,6,+0:03,,,Zabriskie David,6,CSC ProTeam,",, 0:03",+0:03,,0,2007
26,7,+0:04,,,Boonen Tom,7,Quickstep - Innergetic,0:04 0:04,+0:04,,0,2007
27,8,+0:05,,,Nuyens Nick,8,Cofidis,0:05 0:05,+0:05,,0,2007
29,9,+0:05,,,Martinez Egoi,9,Discovery Channel,",, 0:05",+0:05,,0,2007
27,10,+0:06,,,Joly S\xe9bastien,10,Fran\xe7aise des Jeux,0:06 0:06,+0:06,,0,2007
27,1,+0:00,,1.0,Wiggins Bradley,1,Cofidis,5:39:55 5:39:55,+0:00,-,1,2007
33,2,+0:01,,2.0,Leipheimer Levi,2,Discovery Channel,0:01 0:01,+0:00,-,1,2007
27,3,+0:02,,3.0,Kashechkin Andrey,3,Astana,0:02 0:02,+0:00,-,1,2007
33,4,+0:02,,4.0,Hincapie George,4,Discovery Channel,",, 0:02",+0:00,-,1,2007
27,5,+0:03,,5.0,Valverde Alejandro,5,Caisse d'Epargne,0:03 0:03,+0:00,-,1,2007
28,6,+0:03,,6.0,Zabriskie David,6,CSC ProTeam,",, 0:03",+0:00,-,1,2007
26,7,+0:04,,7.0,Boonen Tom,7,Quickstep - Innergetic,0:04 0:04,+0:00,-,1,2007
27,8,+0:05,,8.0,Nuyens Nick,8,Cofidis,0:05 0:05,+0:00,-,1,2007
29,9,+0:05,,9.0,Martinez Egoi,9,Discovery Channel,",, 0:05",+0:00,-,1,2007
27,10,+0:06,,10.0,Joly S\xe9bastien,10,Fran\xe7aise des Jeux,0:06 0:06,+0:00,-,1,2007
36,1,+0:00,,,Moreau Christophe,1,AG2R Pr\xe9voyance,9:30:42 9:30:42,+0:00,-,2,2007
22,2,+0:07,,,Redondo Jose Antonio,2,Astana,0:07 0:07,+0:07,-,2,2007
27,3,+0:24,,1.0,Wiggins Bradley,3,Cofidis,0:24 0:24,+-340:29,\u25bc2,2,2007
33,4,+0:25,,2.0,Leipheimer Levi,4,Discovery Channel,0:25 0:25,+-340:29,\u25bc2,2,2007
27,5,+0:26,,3.0,Kashechkin Andrey,5,Astana,0:26 0:26,+-340:29,\u25bc2,2,2007
33,6,+0:26,,4.0,Hincapie George,6,Discovery Channel,",, 0:26",+-340:29,\u25bc2,2,2007
27,7,+0:27,,5.0,Valverde Alejandro,7,Caisse d'Epargne,0:27 0:27,+-340:29,\u25bc2,2,2007
28,8,+0:27,,6.0,Zabriskie David,8,CSC ProTeam,",, 0:27",+-340:29,\u25bc2,2,2007
29,9,+0:29,,9.0,Martinez Egoi,9,Discovery Channel,0:29 0:29,+-340:29,-,2,2007
27,10,+0:30,,10.0,Joly S\xe9bastien,10,Fran\xe7aise des Jeux,0:30 0:30,+-340:29,-,2,2007
33,1,+0:00,,,Vinokourov Alexandre,1,Astana,10:23:23 10:23:23,+0:00,-,3,2007
27,2,+0:02,,5.0,Kashechkin Andrey,2,Astana,0:02 0:02,+-572:54,\u25b23,3,2007
