Rnk,Rider,Age,Team,Pnt,GC,GC-Time,Time,Time won/lost,year,stage
1,Valverde Alejandro,29,Caisse d'Epargne,250,1,+0:00,26:33:15 26:33:15,+0:00,2009,8
2,Evans Cadel,32,Silence - Lotto,190,2,+0:16,0:16 0:16,+0:16,2009,8
3,Contador Alberto,26,Astana,160,3,+1:18,1:18 1:18,+1:18,2009,8
4,Gesink Robert,23,Rabobank ProTeam,140,4,+2:41,2:41 2:41,+2:41,2009,8
5,Astarloza Mikel,29,Euskaltel - Euskadi,120,5,+3:40,3:40 3:40,+3:40,2009,8
6,Fuglsang Jakob,24,Saxo Bank,110,6,+4:08,4:08 4:08,+4:08,2009,8
7,Nibali Vincenzo,24,Liquigas,100,7,+4:21,4:21 4:21,+4:21,2009,8
8,Zubeldia Haimar,32,Astana,90,8,+5:05,5:05 5:05,+5:05,2009,8
9,Millar David,32,Team Garmin - Slipstream,80,9,+5:28,5:28 5:28,+5:28,2009,8
10,Le M\xe9vel Christophe,28,Fran\xe7aise des Jeux,70,10,+6:19,6:19 6:19,+6:19,2009,8
11,Moncouti\xe9 David,34,"Cofidis, Solutions Cr\xe9dits",60,11,+6:58,6:58 6:58,+6:58,2009,8
12,Szmyd Sylwester,31,Liquigas,55,12,+6:59,6:59 6:59,+6:59,2009,8
13,Clement Stef,26,Rabobank ProTeam,50,13,+7:35,7:35 7:35,+7:35,2009,8
14,Efimkin Vladimir,27,AG2R La Mondiale,45,14,+8:12,8:12 8:12,+8:12,2009,8
15,Arrieta Jose Luis,37,AG2R La Mondiale,40,15,+8:43,8:43 8:43,+8:43,2009,8
16,Frei Thomas,24,BMC Racing Team,36,16,+10:41,10:41 10:41,+10:41,2009,8
17,Rolland Pierre,22,Bbox Bouygues Telekom,32,17,+10:52,10:52 10:52,+10:52,2009,8
18,Anton Igor,26,Euskaltel - Euskadi,28,18,+12:09,12:09 12:09,+12:09,2009,8
19,Knees Christian,28,Milram,24,19,+13:44,13:44 13:44,+13:44,2009,8
20,Goubert Stephane,39,AG2R La Mondiale,20,20,+14:46,14:46 14:46,+14:46,2009,8
21,Botcharov Alexandre,34,Team Katusha,18,21,+15:14,15:14 15:14,+15:14,2009,8
22,Petrov Evgeni,31,Team Katusha,16,22,+15:39,15:39 15:39,+15:39,2009,8
23,Hern\xe1ndez Jes\xfas,27,Astana,14,23,+15:41,15:41 15:41,+15:41,2009,8
24,Lewis Craig,24,Team Columbia - HTC,12,24,+16:18,16:18 16:18,+16:18,2009,8
25,Hansen Adam,28,Team Columbia - HTC,10,25,+16:53,16:53 16:53,+16:53,2009,8
26,Stalder Florian,26,BMC Racing Team,9,26,+18:00,18:00 18:00,+18:00,2009,8
27,Marzano Marco,29,Lampre - NGC,8,27,+18:10,18:10 18:10,+18:10,2009,8
28,Moinard Ama\xebl,27,"Cofidis, Solutions Cr\xe9dits",7,28,+19:14,19:14 19:14,+19:14,2009,8
29,Van den Broeck Jurgen,26,Silence - Lotto,6,29,+19:33,19:33 19:33,+19:33,2009,8
30,Frank Mathias,22,BMC Racing Team,5,30,+19:33,",, 19:33",+19:33,2009,8
31,Niermann Grischa,33,Rabobank ProTeam,5,31,+19:37,19:37 19:37,+19:37,2009,8
32,Martin Daniel,22,Team Garmin - Slipstream,5,32,+20:34,20:34 20:34,+20:34,2009,8
33,Dupont Hubert,28,AG2R La Mondiale,5,33,+20:34,",, 20:34",+20:34,2009,8
34,Di Gr\xe9gorio R\xe9my,23,Fran\xe7aise des Jeux,5,34,+22:49,22:49 22:49,+22:49,2009,8
35,Trofimov Yuri,25,Bbox Bouygues Telekom,5,35,+23:36,23:36 23:36,+23:36,2009,8
36,Flecha Juan Antonio,31,Rabobank ProTeam,5,36,+23:43,23:43 23:43,+23:43,2009,8
37,van Goolen Jurgen,28,Saxo Bank,5,37,+24:34,24:34 24:34,+24:34,2009,8
38,Coppel J\xe9rome,22,Fran\xe7aise des Jeux,5,38,+25:33,25:33 25:33,+25:33,2009,8
39,Duggan Timothy,26,Team Garmin - Slipstream,5,39,+26:09,26:09 26:09,+26:09,2009,8
40,Lefevre Laurent,32,Bbox Bouygues Telekom,5,40,+26:59,26:59 26:59,+26:59,2009,8
41,Fedrigo Pierrick,30,Bbox Bouygues Telekom,5,41,+27:46,27:46 27:46,+27:46,2009,8
42,Nieve Mikel,25,Euskaltel - Euskadi,5,42,+28:04,28:04 28:04,+28:04,2009,8
43,van de Walle Jurgen,32,Quickstep - Innergetic,5,43,+28:49,28:49 28:49,+28:49,2009,8
44,Lloyd Matthew,26,Silence - Lotto,5,44,+30:08,30:08 30:08,+30:08,2009,8
45,Dessel Cyril,34,AG2R La Mondiale,5,45,+31:33,31:33 31:33,+31:33,2009,8
46,Joly S\xe9bastien,29,Fran\xe7aise des Jeux,5,46,+31:36,31:36 31:36,+31:36,2009,8
47,Martinez Egoi,31,Euskaltel - Euskadi,5,47,+31:44,31:44 31:44,+31:44,2009,8
48,Peterson Tom,22,Team Garmin - Slipstream,5,48,+32:09,32:09 32:09,+32:09,2009,8
49,Landaluze Inigo,32,Euskaltel - Euskadi,5,49,+32:40,32:40 32:40,+32:40,2009,8
50,Bochmann Lasse,26,Saxo Bank,5,50,+33:07,33:07 33:07,+33:07,2009,8
51,De La Fuente David,28,Fuji-Servetto,5,51,+34:05,34:05 34:05,+34:05,2009,8
52,Pineau J\xe9rome,29,Quickstep - Innergetic,5,52,+34:06,34:06 34:06,+34:06,2009,8
53,Bak Lars Ytting,29,Saxo Bank,5,53,+35:09,35:09 35:09,+35:09,2009,8
54,Uran Rigoberto,22,Caisse d'Epargne,5,54,+36:54,36:54 36:54,+36:54,2009,8
55,Garate Juan Manuel,33,Rabobank ProTeam,5,55,+37:30,37:30 37:30,+37:30,2009,8
56,El Fares Julien,24,"Cofidis, Solutions Cr\xe9dits",5,56,+38:23,38:23 38:23,+38:23,2009,8
57,Posthuma Joost,28,Rabobank ProTeam,5,57,+40:49,40:49 40:49,+40:49,2009,8
58,S\xf8rensen Nicki,34,Saxo Bank,5,58,+41:05,41:05 41:05,+41:05,2009,8
59,Velits Martin,24,Milram,5,59,+41:07,41:07 41:07,+41:07,2009,8
60,Meier Christian,24,Team Garmin - Slipstream,5,60,+41:10,41:10 41:10,+41:10,2009,8
61,Nocentini Rinaldo,31,AG2R La Mondiale,5,61,+41:54,41:54 41:54,+41:54,2009,8
62,Paulinho S\xe9rgio,29,Astana,5,62,+41:56,41:56 41:56,+41:56,2009,8
63,Willems Frederik,29,Liquigas,5,63,+42:25,42:25 42:25,+42:25,2009,8
64,Moerenhout Koos,35,Rabobank ProTeam,5,64,+43:26,43:26 43:26,+43:26,2009,8
65,Turpin Ludovic,34,AG2R La Mondiale,5,65,+43:33,43:33 43:33,+43:33,2009,8
66,Pauriol R\xe9mi,27,"Cofidis, Solutions Cr\xe9dits",5,66,+44:08,44:08 44:08,+44:08,2009,8
67,De Weert Kevin,27,Quickstep - Innergetic,5,67,+44:24,44:24 44:24,+44:24,2009,8
68,Zandio Xabier,32,Caisse d'Epargne,5,68,+44:56,44:56 44:56,+44:56,2009,8
69,Guti\xe9rrez Jos\xe9 Iv\xe1n,30,Caisse d'Epargne,5,69,+45:10,45:10 45:10,+45:10,2009,8
70,Wegmann Fabian,28,Milram,5,70,+46:16,46:16 46:16,+46:16,2009,8
71,Noval Benjamin,30,Astana,5,71,+46:47,46:47 46:47,+46:47,2009,8
72,Verdugo Gorka,30,Euskaltel - Euskadi,5,72,+47:10,47:10 47:10,+47:10,2009,8
73,Dyachenko Alexandr,25,Astana,5,73,+49:48,49:48 49:48,+49:48,2009,8
74,Vandenbergh Stijn,25,Team Katusha,5,74,+49:59,49:59 49:59,+49:59,2009,8
75,Jufre Josep,33,Fuji-Servetto,5,75,+50:03,50:03 50:03,+50:03,2009,8
76,Bonnet William,26,Bbox Bouygues Telekom,5,76,+50:24,50:24 50:24,+50:24,2009,8
77,Spilak Simon,22,Lampre - NGC,5,77,+51:48,51:48 51:48,+51:48,2009,8
78,Renev Sergey,24,Astana,5,78,+52:38,52:38 52:38,+52:38,2009,8
79,Righi Daniele,33,Lampre - NGC,5,79,+53:00,53:00 53:00,+53:00,2009,8
80,Pasamontes Luis,29,Caisse d'Epargne,5,80,+53:29,53:29 53:29,+53:29,2009,8
81,Roche Nicolas,24,AG2R La Mondiale,5,81,+54:12,54:12 54:12,+54:12,2009,8
82,Kern Christophe,28,"Cofidis, Solutions Cr\xe9dits",5,82,+54:32,54:32 54:32,+54:32,2009,8
83,Megias Javier,25,Fuji-Servetto,5,83,+55:44,55:44 55:44,+55:44,2009,8
84,Tankink Bram,30,Rabobank ProTeam,5,84,+55:53,55:53 55:53,+55:53,2009,8
85,Possoni Morris,24,Team Columbia - HTC,5,85,+56:00,56:00 56:00,+56:00,2009,8
86,Kolobnev Alexandr,28,Saxo Bank,5,86,+59:17,59:17 59:17,+59:17,2009,8
87,Kuchynski Aliaksandr,29,Liquigas,5,87,+1:00:26,1:00:26 1:00:26,+60:26,2009,8
88,Pereiro Oscar,31,Caisse d'Epargne,5,88,+1:00:37,1:00:37 1:00:37,+60:37,2009,8
89,Vaitkus Tomas,27,Astana,5,89,+1:01:28,1:01:28 1:01:28,+61:28,2009,8
90,Moos Alexandre,36,BMC Racing Team,5,90,+1:02:25,1:02:25 1:02:25,+62:25,2009,8
91,Ladagnous Matthieu,24,Fran\xe7aise des Jeux,5,91,+1:02:45,1:02:45 1:02:45,+62:45,2009,8
92,Wurf Cameron,25,Fuji-Servetto,5,92,+1:03:04,1:03:04 1:03:04,+63:04,2009,8
93,Fernandez Bingen,36,"Cofidis, Solutions Cr\xe9dits",5,93,+1:03:57,1:03:57 1:03:57,+63:57,2009,8
94,Zberg Markus,34,BMC Racing Team,5,94,+1:04:52,1:04:52 1:04:52,+64:52,2009,8
95,Arashiro Yukiya,24,Bbox Bouygues Telekom,5,95,+1:05:10,1:05:10 1:05:10,+65:10,2009,8
96,Vaugrenard Benoit,27,Fran\xe7aise des Jeux,5,96,+1:05:54,1:05:54 1:05:54,+65:54,2009,8
97,Pichot Alexandre,26,Bbox Bouygues Telekom,5,97,+1:05:56,1:05:56 1:05:56,+65:56,2009,8
98,Louder Jeff,31,BMC Racing Team,5,98,+1:06:10,1:06:10 1:06:10,+66:10,2009,8
99,Minard S\xe9bastien,27,"Cofidis, Solutions Cr\xe9dits",5,99,+1:06:55,1:06:55 1:06:55,+66:55,2009,8
100,Geslin Anthony,29,Fran\xe7aise des Jeux,5,100,+1:08:22,1:08:22 1:08:22,+68:22,2009,8
101,Steegmans Gert,28,Team Katusha,5,101,+1:08:36,1:08:36 1:08:36,+68:36,2009,8
102,Intxausti Be\xf1at,23,Fuji-Servetto,5,102,+1:08:51,1:08:51 1:08:51,+68:51,2009,8
103,Bookwalter Brent,25,BMC Racing Team,5,103,+1:09:37,1:09:37 1:09:37,+69:37,2009,8
104,Grabsch Bert,33,Team Columbia - HTC,5,104,+1:11:01,1:11:01 1:11:01,+71:01,2009,8
105,Perez Alan,26,Euskaltel - Euskadi,5,105,+1:11:08,1:11:08 1:11:08,+71:08,2009,8
106,Gautier Cyril,21,Bbox Bouygues Telekom,5,106,+1:11:17,1:11:17 1:11:17,+71:17,2009,8
107,Velo Marco,35,Quickstep - Innergetic,5,107,+1:11:58,1:11:58 1:11:58,+71:58,2009,8
108,Devolder Stijn,29,Quickstep - Innergetic,5,108,+1:12:07,1:12:07 1:12:07,+72:07,2009,8
109,Kroon Karsten,33,Saxo Bank,5,109,+1:12:27,1:12:27 1:12:27,+72:27,2009,8
110,Isasi Inaki,32,Euskaltel - Euskadi,5,110,+1:12:31,1:12:31 1:12:31,+72:31,2009,8
111,Auge St\xe9phane,34,"Cofidis, Solutions Cr\xe9dits",5,111,+1:12:41,1:12:41 1:12:41,+72:41,2009,8
112,Mckissick Ian,28,BMC Racing Team,5,112,+1:13:42,1:13:42 1:13:42,+73:42,2009,8
113,Tuft Svein,32,Team Garmin - Slipstream,5,113,+1:15:42,1:15:42 1:15:42,+75:42,2009,8
114,Rabon Frantisek,25,Team Columbia - HTC,5,114,+1:17:21,1:17:21 1:17:21,+77:21,2009,8
115,Fernandez Alberto,24,Fuji-Servetto,5,115,+1:17:27,1:17:27 1:17:27,+77:27,2009,8
116,Piemontesi Fabrice,25,Fuji-Servetto,5,116,+1:17:49,1:17:49 1:17:49,+77:49,2009,8
117,Santambrogio Mauro,24,Lampre - NGC,5,117,+1:17:52,1:17:52 1:17:52,+77:52,2009,8
118,Erviti Imanol,25,Caisse d'Epargne,5,118,+1:20:31,1:20:31 1:20:31,+80:31,2009,8
119,Fischer Murilo Antonio,29,Liquigas,5,119,+1:21:19,1:21:19 1:21:19,+81:19,2009,8
120,Trusov Nikolay,23,Team Katusha,5,120,+1:21:51,1:21:51 1:21:51,+81:51,2009,8
121,Vanendert Jelle,24,Silence - Lotto,5,121,+1:22:48,1:22:48 1:22:48,+82:48,2009,8
122,Rovny Ivan,21,Team Katusha,5,122,+1:23:55,1:23:55 1:23:55,+83:55,2009,8
123,Bandiera Marco,25,Lampre - NGC,5,123,+1:24:05,1:24:05 1:24:05,+84:05,2009,8
124,Zagorodnii Vladimir,27,Lampre - NGC,5,124,+1:24:30,1:24:30 1:24:30,+84:30,2009,8
125,Voss Paul,23,Milram,5,125,+1:24:43,1:24:43 1:24:43,+84:43,2009,8
126,H\xf8j Frank,36,Saxo Bank,5,126,+1:25:24,1:25:24 1:25:24,+85:24,2009,8
127,Wynants Maarten,27,Quickstep - Innergetic,5,127,+1:25:59,1:25:59 1:25:59,+85:59,2009,8
128,Roels Dominik,22,Milram,5,128,+1:27:11,1:27:11 1:27:11,+87:11,2009,8
129,Bodnar Maciej,24,Liquigas,5,129,+1:29:03,1:29:03 1:29:03,+89:03,2009,8
130,Bodrogi Laszlo,32,Team Katusha,5,130,+1:29:13,1:29:13 1:29:13,+89:13,2009,8
131,Sentjens Roy,28,Silence - Lotto,5,131,+1:36:33,1:36:33 1:36:33,+96:33,2009,8
132,Kux Christian,24,Milram,5,132,+1:41:34,1:41:34 1:41:34,+101:34,2009,8
133,Chavanel S\xe9bastien,26,Fran\xe7aise des Jeux,5,133,+1:41:53,1:41:53 1:41:53,+101:53,2009,8
134,Serov Alexander,26,Team Katusha,5,134,+1:43:26,1:43:26 1:43:26,+103:26,2009,8
135,Furlan Angelo,31,Lampre - NGC,5,135,+1:46:08,1:46:08 1:46:08,+106:08,2009,8
