Rnk,Rider,Age,Team,UCI,Pnt,GC,GC-Time,Time,Time won/lost,year,stage
1,Wiggins Bradley,31,Sky Procycling,100.0,250.0,1,+0:00,26:40:51 26:40:51,+0:00,2011,7
2,Evans Cadel,34,BMC Racing Team,80.0,190.0,2,+1:26,1:26 1:26,+1:26,2011,7
3,Vinokourov Alexandre,37,Pro Team Astana,70.0,160.0,3,+1:49,1:49 1:49,+1:49,2011,7
4,Van den Broeck Jurgen,28,Omega Pharma-Lotto,60.0,140.0,4,+2:10,2:10 2:10,+2:10,2011,7
5,Rodr\xedguez Joaquim,32,Team Katusha,50.0,120.0,5,+2:51,2:51 2:51,+2:51,2011,7
6,Kern Christophe,30,Team Europcar,40.0,110.0,6,+3:05,3:05 3:05,+3:05,2011,7
7,Peraud Jean-Christophe,34,AG2R La Mondiale,30.0,100.0,7,+3:30,3:30 3:30,+3:30,2011,7
8,Siutsou Kanstantsin,28,HTC - High Road,20.0,90.0,8,+4:14,4:14 4:14,+4:14,2011,7
9,Brajkovi\u010d Janez,27,RadioShack,10.0,80.0,9,+4:22,4:22 4:22,+4:22,2011,7
10,Voeckler Thomas,31,Team Europcar,4.0,70.0,10,+4:31,4:31 4:31,+4:31,2011,7
11,S\xf8rensen Chris Anker,26,Saxo Bank - Sungard,,60.0,11,+5:01,5:01 5:01,+5:01,2011,7
12,Moncouti\xe9 David,36,Cofidis Le Credit en Ligne,,55.0,12,+6:40,6:40 6:40,+6:40,2011,7
13,Coppel J\xe9rome,24,Saur - Sojasun,,50.0,13,+7:13,7:13 7:13,+7:13,2011,7
14,Ruijgh Rob,24,Vacansoleil - DCM,,45.0,14,+9:02,9:02 9:02,+9:02,2011,7
15,Zeits Andrey,24,Pro Team Astana,,40.0,15,+11:42,11:42 11:42,+11:42,2011,7
16,Pinot Thibaut,21,FDJ,,36.0,16,+12:54,12:54 12:54,+12:54,2011,7
17,S\xe1nchez Samuel,33,Euskaltel - Euskadi,,32.0,17,+12:57,12:57 12:57,+12:57,2011,7
18,Rolland Pierre,24,Team Europcar,,28.0,18,+13:08,13:08 13:08,+13:08,2011,7
19,Pires Bruno,30,Leopard Trek,,24.0,19,+13:53,13:53 13:53,+13:53,2011,7
20,Gesink Robert,25,Rabobank Cycling Team,,20.0,20,+16:17,16:17 16:17,+16:17,2011,7
21,Di Gr\xe9gorio R\xe9my,25,Pro Team Astana,,18.0,21,+17:03,17:03 17:03,+17:03,2011,7
22,Txurruka Amets,28,Euskaltel - Euskadi,,16.0,22,+18:50,18:50 18:50,+18:50,2011,7
23,Bouet Maxime,24,AG2R La Mondiale,,14.0,23,+20:09,20:09 20:09,+20:09,2011,7
24,Hermans Ben,25,RadioShack,,12.0,24,+21:02,21:02 21:02,+21:02,2011,7
25,Trofimov Yuri,27,Team Katusha,,10.0,25,+22:58,22:58 22:58,+22:58,2011,7
26,Basso Ivan,33,Liquigas - Cannondale,,9.0,26,+24:36,24:36 24:36,+24:36,2011,7
27,Pate Danny,32,HTC - High Road,,8.0,27,+24:56,24:56 24:56,+24:56,2011,7
28,Uran Rigoberto,24,Sky Procycling,,7.0,28,+24:58,24:58 24:58,+24:58,2011,7
29,Paterski Maciej,24,Liquigas - Cannondale,,6.0,29,+24:58,",, 24:58",+24:58,2011,7
30,Velasco Ivan,31,Euskaltel - Euskadi,,5.0,30,+26:38,26:38 26:38,+26:38,2011,7
31,Zaugg Oliver,30,Leopard Trek,,5.0,31,+26:39,26:39 26:39,+26:39,2011,7
32,Busche Matthew,26,RadioShack,,5.0,32,+26:49,26:49 26:49,+26:49,2011,7
33,Martin Daniel,24,Team Garmin - Cerv\xe9lo,,5.0,33,+26:56,26:56 26:56,+26:56,2011,7
34,Majka Rafa\u0142,21,Saxo Bank - Sungard,,5.0,34,+27:06,27:06 27:06,+27:06,2011,7
35,Jeandesboz Fabrice,26,Saur - Sojasun,,5.0,35,+28:09,28:09 28:09,+28:09,2011,7
36,Fedrigo Pierrick,32,FDJ,,5.0,36,+28:10,28:10 28:10,+28:10,2011,7
37,Martin Tony,26,HTC - High Road,,5.0,37,+28:30,28:30 28:30,+28:30,2011,7
38,de Maar Marc,27,Quickstep Cycling Team,,5.0,38,+28:39,28:39 28:39,+28:39,2011,7
39,Morabito Steve,28,BMC Racing Team,,5.0,39,+28:43,28:43 28:43,+28:43,2011,7
40,Simon Julien,25,Saur - Sojasun,,5.0,40,+29:33,29:33 29:33,+29:33,2011,7
41,Bellotti Francesco,31,Liquigas - Cannondale,,5.0,41,+30:04,30:04 30:04,+30:04,2011,7
42,Mourey Francis,30,FDJ,,5.0,42,+30:26,30:26 30:26,+30:26,2011,7
43,Costa Rui,24,Movistar Team,,5.0,43,+30:42,30:42 30:42,+30:42,2011,7
44,Sanchez Luis Leon,27,Rabobank Cycling Team,,5.0,44,+32:14,32:14 32:14,+32:14,2011,7
45,Taaram\xe4e Rein,24,Cofidis Le Credit en Ligne,,5.0,45,+32:56,32:56 32:56,+32:56,2011,7
46,S\xf8rensen Nicki,36,Saxo Bank - Sungard,,5.0,46,+33:10,33:10 33:10,+33:10,2011,7
47,Martinez Egoi,33,Euskaltel - Euskadi,,5.0,47,+33:49,33:49 33:49,+33:49,2011,7
48,Karpets Vladimir,30,Team Katusha,,5.0,48,+34:26,34:26 34:26,+34:26,2011,7
49,Paulinho S\xe9rgio,31,RadioShack,,5.0,49,+34:27,34:27 34:27,+34:27,2011,7
50,Zubeldia Haimar,34,RadioShack,,5.0,50,+35:37,35:37 35:37,+35:37,2011,7
51,Marzano Marco,31,Lampre - ISD,,5.0,51,+35:43,35:43 35:43,+35:43,2011,7
