Rnk,Rider,Age,Team,Pnt,Pnt.1,year,stage
1,McGee Bradley,26,La Fran\xe7aise des Jeux,64,250,2002,7
2,Cooke Baden,23,La Fran\xe7aise des Jeux,64,190,2002,7
3,Armstrong Lance,30,US Postal Service,63,160,2002,7
4,Botero Santiago,29,Kelme - Costa Blanca,57,140,2002,7
5,Durand Jacky,35,La Fran\xe7aise des Jeux,42,120,2002,7
6,Moreau Christophe,31,Cr\xe9dit Agricole,41,110,2002,7
7,Zubeldia Haimar,25,Euskaltel - Euskadi,38,100,2002,7
8,Halgand Patrice,28,Jean Delatour,33,90,2002,7
9,Menchov Denis,24,Ibanesto.com,32,80,2002,7
10,Gutierrez Jose Enrique,27,Kelme - Costa Blanca,31,70,2002,7
11,Virenque Richard,32,Domo - Farm Frites,31,60,2002,7
12,Oriol Christophe,29,AG2R Pr\xe9voyance,30,55,2002,7
13,Kivilev Andrei,28,Cofidis,28,50,2002,7
14,Landis Floyd,26,US Postal Service,28,45,2002,7
15,Guesdon Fr\xe9d\xe9ric,30,La Fran\xe7aise des Jeux,26,40,2002,7
16,Millar David,25,Cofidis,24,36,2002,7
17,Mattan Nico,30,Cofidis,23,32,2002,7
18,Simon Fran\xe7ois,33,Bonjour,22,28,2002,7
19,Jalabert Laurent,33,CSC ProTeam - Tiscali,21,24,2002,7
20,Bessy Fr\xe9d\xe9ric,30,Cr\xe9dit Agricole,21,20,2002,7
21,Kintana Aitor,26,BigMat - Auber 93,20,18,2002,7
22,Bruseghin Marzio,28,Ibanesto.com,18,16,2002,7
23,Rous Didier,31,Bonjour,17,14,2002,7
24,Morin Anthony,27,Cr\xe9dit Agricole,16,12,2002,7
25,Osa Unai,27,Ibanesto.com,15,10,2002,7
26,Kjaergaard Steffen,29,US Postal Service,15,9,2002,7
27,Garc\xeda Felix Manuel,33,BigMat - Auber 93,15,8,2002,7
28,Turpin Ludovic,27,AG2R Pr\xe9voyance,15,7,2002,7
29,Mikhailov Guennady,28,Lotto - Adecco,14,6,2002,7
30,Hinault S\xe9bastien,28,Cr\xe9dit Agricole,14,5,2002,7
31,Bernard J\xe9r\xf4me,30,Jean Delatour,13,5,2002,7
32,Edaleine Christophe,22,Jean Delatour,12,5,2002,7
33,Javier Vila Francisco,26,Ibanesto.com,11,5,2002,7
34,Moerenhout Koos,28,Domo - Farm Frites,11,5,2002,7
35,Martin Ludovic,26,Cr\xe9dit Agricole,11,5,2002,7
36,Bodo Thomas,21,La Fran\xe7aise des Jeux,10,5,2002,7
37,Jalabert Nicolas,29,CSC ProTeam - Tiscali,10,5,2002,7
38,Latasa lasa David,28,Ibanesto.com,10,5,2002,7
39,Vaughters Jonathan,29,Cr\xe9dit Agricole,9,5,2002,7
40,Lefevre Laurent,25,Jean Delatour,9,5,2002,7
41,Jan Xavier,32,BigMat - Auber 93,8,5,2002,7
42,Sivakov Alexei,30,BigMat - Auber 93,8,5,2002,7
43,Moncouti\xe9 David,27,Cofidis,8,5,2002,7
44,Vogondy Nicolas,24,La Fran\xe7aise des Jeux,8,5,2002,7
45,Botcharov Alexandre,27,AG2R Pr\xe9voyance,7,5,2002,7
46,Trentin Guido,26,Cofidis,6,5,2002,7
47,Pe\xf1a Victor Hugo,27,US Postal Service,6,5,2002,7
48,Brozyna Tomasz,31,Ibanesto.com,6,5,2002,7
49,Arrizabalaga Gorka,25,Euskaltel - Euskadi,5,5,2002,7
50,Tauler Toni,28,Kelme - Costa Blanca,5,5,2002,7
51,Ekimov Viatcheslav,36,US Postal Service,5,5,2002,7
52,Baguet Serge,32,Lotto - Adecco,4,5,2002,7
53,Talabardon S\xe9bastien,24,BigMat - Auber 93,4,5,2002,7
54,Baranowski Dariusz,29,Ibanesto.com,4,5,2002,7
55,Vasseur C\xe9dric,31,Cofidis,2,5,2002,7
56,Kashechkin Andrey,22,Domo - Farm Frites,2,5,2002,7
57,Lelli Massimiliano,34,Cofidis,1,5,2002,7
58,Chaurreau I\xf1igo,29,AG2R Pr\xe9voyance,1,5,2002,7
59,van Goolen Jurgen,21,Domo - Farm Frites,1,5,2002,7
60,Beneteau Walter,29,Bonjour,1,5,2002,7
61,Peron Andrea,30,CSC ProTeam - Tiscali,1,5,2002,7
62,van de Wouwer Kurt,30,Lotto - Adecco,1,5,2002,7
