Rnk,Rider,Age,Team,Pnt,year,stage
1,Mancebo Francisco,30,AG2R Pr\xe9voyance,69,2006,7
2,Gilbert Philippe,23,Fran\xe7aise des Jeux,60,2006,7
3,Hincapie George,32,Discovery Channel,57,2006,7
4,Hushovd Thor,28,Cr\xe9dit Agricole,55,2006,7
5,Leipheimer Levi,32,Gerolsteiner,55,2006,7
6,Moreau Christophe,35,AG2R Pr\xe9voyance,47,2006,7
7,Mayo Iban,28,Euskaltel - Euskadi,42,2006,7
8,O'Grady Stuart,32,CSC ProTeam,41,2006,7
9,Zabriskie David,27,CSC ProTeam,40,2006,7
10,Valverde Alejandro,26,Caisse d'Epargne - Illes Balears,40,2006,7
11,Dumoulin Samuel,25,AG2R Pr\xe9voyance,34,2006,7
12,Menchov Denis,28,Rabobank ProTeam,32,2006,7
13,Gusev Vladimir,23,Discovery Channel,27,2006,7
14,Kohl Bernhard,24,T-Mobile Team,26,2006,7
15,Azevedo Jos\xe9 Bento Carvalho,32,Discovery Channel,26,2006,7
16,Caucchioli Pietro,30,Cr\xe9dit Agricole,26,2006,7
17,Piepoli Leonardo,34,Saunier Duval - Prodir,25,2006,7
18,Landis Floyd,30,Phonak Hearing Systems,24,2006,7
19,Grabsch Bert,30,Phonak Hearing Systems,19,2006,7
20,Lang Sebastian,26,Gerolsteiner,19,2006,7
21,Iglinskiy Maxim,25,Milram,18,2006,7
22,Martinez Egoi,28,Discovery Channel,17,2006,7
23,Pineau J\xe9rome,26,Bouygues Telecom,17,2006,7
24,Marzano Marco,26,Lampre-Fondital,16,2006,7
25,Sevilla Oscar,29,T-Mobile Team,15,2006,7
26,Wrolich Peter,32,Gerolsteiner,15,2006,7
27,Inaudi Nicolas,28,Cofidis,12,2006,7
28,Voeckler Thomas,26,Bouygues Telecom,12,2006,7
29,Chavanel Sylvain,26,Cofidis,11,2006,7
30,Posthuma Joost,25,Rabobank ProTeam,11,2006,7
31,Vasseur C\xe9dric,35,Quickstep - Innergetic,10,2006,7
32,Pinotti Marco,30,Saunier Duval - Prodir,10,2006,7
33,Pereiro Oscar,28,Caisse d'Epargne - Illes Balears,9,2006,7
34,Horner Chris,34,Saunier Duval - Prodir,9,2006,7
35,Paulinho S\xe9rgio,26,Astana - W\xfcrth Team,8,2006,7
36,Popovych Yaroslav,26,Discovery Channel,8,2006,7
37,Spezialetti Alessandro,31,Liquigas,8,2006,7
38,Rojas Jos\xe9 Joaqu\xedn,21,,8,2006,7
39,Carrara Matteo,27,Lampre-Fondital,7,2006,7
40,Stalder Florian,23,Phonak Hearing Systems,6,2006,7
41,Vanotti Alessandro,25,Milram,6,2006,7
42,Joly S\xe9bastien,26,Fran\xe7aise des Jeux,6,2006,7
43,Scholz Ronny,28,Gerolsteiner,6,2006,7
44,Trenti Guido,33,Quickstep - Innergetic,6,2006,7
45,Dessel Cyril,31,AG2R Pr\xe9voyance,5,2006,7
46,Jalabert Nicolas,33,Phonak Hearing Systems,5,2006,7
47,Devolder Stijn,26,Discovery Channel,5,2006,7
48,Mazur Piotr,23,,5,2006,7
49,Arroyo David,26,Caisse d'Epargne - Illes Balears,4,2006,7
50,S\xf8rensen Nicki,31,CSC ProTeam,4,2006,7
51,Barry Michael,30,Discovery Channel,4,2006,7
52,Beneteau Walter,33,Bouygues Telecom,4,2006,7
53,Mertens Pieter,25,Davitamon - Lotto,3,2006,7
54,Le M\xe9vel Christophe,25,Cr\xe9dit Agricole,2,2006,7
55,Barredo Carlos,25,Astana - W\xfcrth Team,2,2006,7
56,Vandborg Brian,24,CSC ProTeam,2,2006,7
57,Niermann Grischa,30,Rabobank ProTeam,2,2006,7
58,Edaleine Christophe,26,Cr\xe9dit Agricole,2,2006,7
59,Auge St\xe9phane,31,Cofidis,2,2006,7
60,Di Gr\xe9gorio R\xe9my,20,Fran\xe7aise des Jeux,1,2006,7
61,Rous Didier,35,Bouygues Telecom,1,2006,7
62,Vinokourov Alexandre,32,Astana - W\xfcrth Team,1,2006,7
63,Kashechkin Andrey,26,Astana - W\xfcrth Team,1,2006,7
64,Grivko Andrei,22,Milram,1,2006,7
65,Mazzoleni Eddy,32,T-Mobile Team,1,2006,7
66,Coutouly Cedric,26,Agritubel,1,2006,7
67,Horrillo Pedro,31,Rabobank ProTeam,1,2006,7
