Age,BIB,Pnt,Prev,Rider,Rnk,Team,\u25bc\u25b2,stage,year
33,21,15,,Contador Alberto,1,Tinkoff,,0,2016
31,11,12,,Porte Richie,2,BMC Racing Team,,0,2016
31,1,10,,Froome Christopher,3,Team Sky,,0,2016
29,41,8,,Martin Daniel,4,Etixx - Quick Step,,0,2016
23,42,6,,Alaphilippe Julian,5,Etixx - Quick Step,,0,2016
28,5,5,,Poels Wout,6,Team Sky,,0,2016
25,61,4,,Bardet Romain,7,AG2R La Mondiale,,0,2016
23,78,3,,Yates Adam,8,Orica GreenEDGE,,0,2016
27,56,2,,Rosa Diego,9,Astana Pro Team,,0,2016
25,133,1,,Herrada Jes\xfas,10,Movistar Team,,0,2016
25,101,25,,Bouhanni Nacer,1,"Cofidis, Solutions Cr\xe9dits",-,1,2016
26,95,22,,Debusschere Jens,2,Lotto Soudal,-,1,2016
25,194,20,,Bennett Sam,3,Bora - Argon 18,-,1,2016
29,112,18,,Boasson Hagen Edvald,4,Team Dimension Data,-,1,2016
29,178,16,,van Genechten Jonas,5,IAM Cycling,-,1,2016
33,21,15,1.0,Contador Alberto,6,Tinkoff,\u25bc5,1,2016
24,163,14,,Hofland Moreno,7,Team LottoNL-Jumbo,-,1,2016
31,11,12,2.0,Porte Richie,8,BMC Racing Team,\u25bc6,1,2016
28,144,12,,Hurel Tony,9,Direct Energie,-,1,2016
31,1,10,3.0,Froome Christopher,10,Team Sky,\u25bc7,1,2016
22,174,10,,Enger Sondre Holst,11,IAM Cycling,-,1,2016
29,41,8,4.0,Martin Daniel,12,Etixx - Quick Step,\u25bc8,1,2016
31,75,8,,Impey Daryl,13,Orica GreenEDGE,-,1,2016
23,42,6,5.0,Alaphilippe Julian,14,Etixx - Quick Step,\u25bc9,1,2016
25,127,6,,Theuns Edward,15,Trek - Segafredo,-,1,2016
28,5,5,6.0,Poels Wout,16,Team Sky,\u25bc10,1,2016
25,61,4,7.0,Bardet Romain,17,AG2R La Mondiale,\u25bc10,1,2016
23,78,3,8.0,Yates Adam,18,Orica GreenEDGE,\u25bc10,1,2016
27,56,2,9.0,Rosa Diego,19,Astana Pro Team,\u25bc10,1,2016
25,133,1,10.0,Herrada Jes\xfas,20,Movistar Team,\u25bc10,1,2016
25,101,25,1.0,Bouhanni Nacer,1,"Cofidis, Solutions Cr\xe9dits",-,2,2016
26,95,22,2.0,Debusschere Jens,2,Lotto Soudal,-,2,2016
25,194,20,3.0,Bennett Sam,3,Bora - Argon 18,-,2,2016
29,112,18,4.0,Boasson Hagen Edvald,4,Team Dimension Data,-,2,2016
25,133,16,20.0,Herrada Jes\xfas,5,Movistar Team,\u25b215,2,2016
33,21,15,6.0,Contador Alberto,6,Tinkoff,-,2,2016
24,163,14,7.0,Hofland Moreno,7,Team LottoNL-Jumbo,-,2,2016
31,1,13,10.0,Froome Christopher,8,Team Sky,\u25b22,2,2016
31,11,12,8.0,Porte Richie,9,BMC Racing Team,\u25bc1,2,2016
28,91,12,,Gallopin Tony,10,Lotto Soudal,-,2,2016
28,144,12,9.0,Hurel Tony,11,Direct Energie,\u25bc2,2,2016
32,116,10,,Pauwels Serge,12,Team Dimension Data,-,2,2016
22,174,10,11.0,Enger Sondre Holst,13,IAM Cycling,\u25bc2,2,2016
29,41,8,12.0,Martin Daniel,14,Etixx - Quick Step,\u25bc2,2,2016
31,145,8,,Jeandesboz Fabrice,15,Direct Energie,-,2,2016
31,75,8,13.0,Impey Daryl,16,Orica GreenEDGE,\u25bc3,2,2016
23,42,6,14.0,Alaphilippe Julian,17,Etixx - Quick Step,\u25bc3,2,2016
34,131,6,,Moreno Daniel,18,Movistar Team,-,2,2016
25,127,6,15.0,Theuns Edward,19,Trek - Segafredo,\u25bc4,2,2016
29,126,5,,Mollema Bauke,20,Trek - Segafredo,-,2,2016
28,5,5,16.0,Poels Wout,21,Team Sky,\u25bc5,2,2016
25,61,4,17.0,Bardet Romain,22,AG2R La Mondiale,\u25bc5,2,2016
31,18,4,,Van Avermaet Greg,23,BMC Racing Team,-,2,2016
23,78,3,18.0,Yates Adam,24,Orica GreenEDGE,\u25bc6,2,2016
27,56,2,19.0,Rosa Diego,25,Astana Pro Team,\u25bc6,2,2016
23,203,2,,Conti Valerio,26,Lampre - Merida,-,2,2016
37,81,1,,Rodr\xedguez Joaquim,27,Team Katusha,-,2,2016
25,101,35,1.0,Bouhanni Nacer,1,"Cofidis, Solutions Cr\xe9dits",-,3,2016
29,112,34,4.0,Boasson Hagen Edvald,2,Team Dimension Data,\u25b22,3,2016
25,194,34,3.0,Bennett Sam,3,Bora - Argon 18,-,3,2016
25,51,25,,Aru Fabio,4,Astana Pro Team,-,3,2016
23,42,24,17.0,Alaphilippe Julian,5,Etixx - Quick Step,\u25b212,3,2016
28,84,22,,Kristoff Alexander,6,Team Katusha,-,3,2016
26,95,22,2.0,Debusschere Jens,7,Lotto Soudal,\u25bc5,3,2016
31,75,20,16.0,Impey Daryl,8,Orica GreenEDGE,\u25b28,3,2016
22,124,20,,Bonifazio Niccolo,9,Trek - Segafredo,-,3,2016
25,133,16,5.0,Herrada Jes\xfas,10,Movistar Team,\u25bc5,3,2016
33,21,15,6.0,Contador Alberto,11,Tinkoff,\u25bc5,3,2016
24,163,14,7.0,Hofland Moreno,12,Team LottoNL-Jumbo,\u25bc5,3,2016
31,1,13,8.0,Froome Christopher,13,Team Sky,\u25bc5,3,2016
31,11,12,9.0,Porte Richie,14,BMC Racing Team,\u25bc5,3,2016
28,91,12,10.0,Gallopin Tony,15,Lotto Soudal,\u25bc5,3,2016
28,144,12,11.0,Hurel Tony,16,Direct Energie,\u25bc5,3,2016
32,116,10,12.0,Pauwels Serge,17,Team Dimension Data,\u25bc5,3,2016
22,174,10,13.0,Enger Sondre Holst,18,IAM Cycling,\u25bc5,3,2016
29,41,8,14.0,Martin Daniel,19,Etixx - Quick Step,\u25bc5,3,2016
31,145,8,15.0,Jeandesboz Fabrice,20,Direct Energie,\u25bc5,3,2016
34,181,8,,Gasparotto Enrico,21,Wanty - Groupe Gobert,-,3,2016
34,131,6,18.0,Moreno Daniel,22,Movistar Team,\u25bc4,3,2016
27,38,6,,Vichot Arthur,23,FDJ,-,3,2016
25,127,6,19.0,Theuns Edward,24,Trek - Segafredo,\u25bc5,3,2016
29,126,5,20.0,Mollema Bauke,25,Trek - Segafredo,\u25bc5,3,2016
28,5,5,21.0,Poels Wout,26,Team Sky,\u25bc5,3,2016
25,61,4,22.0,Bardet Romain,27,AG2R La Mondiale,\u25bc5,3,2016
31,18,4,23.0,Van Avermaet Greg,28,BMC Racing Team,\u25bc5,3,2016
23,78,3,24.0,Yates Adam,29,Orica GreenEDGE,\u25bc5,3,2016
27,56,2,25.0,Rosa Diego,30,Astana Pro Team,\u25bc5,3,2016
23,203,2,26.0,Conti Valerio,31,Lampre - Merida,\u25bc5,3,2016
37,81,1,27.0,Rodr\xedguez Joaquim,32,Team Katusha,\u25bc5,3,2016
29,112,59,2.0,Boasson Hagen Edvald,1,Team Dimension Data,\u25b21,4,2016
25,101,55,1.0,Bouhanni Nacer,2,"Cofidis, Solutions Cr\xe9dits",\u25bc1,4,2016
23,42,46,5.0,Alaphilippe Julian,3,Etixx - Quick Step,\u25b22,4,2016
25,194,42,3.0,Bennett Sam,4,Bora - Argon 18,\u25bc1,4,2016
