Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
28,24,,,15.0,,Kwiatkowski Michal,1,Team Sky,,,0,2018
33,186,,,12.0,,van Emden Jos,2,Team LottoNL-Jumbo,,,0,2018
24,25,,,10.0,,Moscon Gianni,3,Team Sky,,,0,2018
26,72,,,8.0,,Campenaerts Victor,4,Lotto Soudal,,,0,2018
27,42,,,6.0,,Bevin Patrick,5,BMC Racing Team,,,0,2018
28,203,,,5.0,,Br\xe4ndle Matthias,6,Trek - Segafredo,,,0,2018
25,104,,,4.0,,Jungels Bob,7,Quick-Step Floors,,,0,2018
29,74,,,3.0,,Keukeleire Jens,8,Lotto Soudal,,,0,2018
31,22,,,2.0,,Castroviejo Jonathan,9,Team Sky,,,0,2018
34,44,,,1.0,,Bookwalter Brent,10,BMC Racing Team,,,0,2018
28,24,,,31.0,1.0,Kwiatkowski Michal,1,Team Sky,,-,1,2018
33,135,,,25.0,,Impey Daryl,2,Mitchelton-Scott,,-,1,2018
25,101,,,22.0,,Alaphilippe Julian,3,Quick-Step Floors,,-,1,2018
24,62,,,20.0,,Ackermann Pascal,4,BORA - hansgrohe,,-,1,2018
24,71,,,18.0,,Benoot Tiesj,5,Lotto Soudal,,-,1,2018
27,81,,,14.0,,Herrada Jes\xfas,6,"Cofidis, Solutions Cr\xe9dits",,-,1,2018
30,41,,,12.0,,Caruso Damiano,7,BMC Racing Team,,-,1,2018
33,186,,,12.0,2.0,van Emden Jos,8,Team LottoNL-Jumbo,,\u25bc6,1,2018
24,25,,,10.0,3.0,Moscon Gianni,9,Team Sky,,\u25bc6,1,2018
26,165,,,10.0,,Meurisse Xandro,10,Wanty - Groupe Gobert,,-,1,2018
25,191,,,8.0,,Teunissen Mike,11,Team Sunweb,,-,1,2018
26,72,,,8.0,4.0,Campenaerts Victor,12,Lotto Soudal,,\u25bc8,1,2018
25,96,,,6.0,,Roson Jaime,13,Movistar Team,,-,1,2018
27,42,,,6.0,5.0,Bevin Patrick,14,BMC Racing Team,,\u25bc9,1,2018
28,203,,,5.0,6.0,Br\xe4ndle Matthias,15,Trek - Segafredo,,\u25bc9,1,2018
25,104,,,4.0,7.0,Jungels Bob,16,Quick-Step Floors,,\u25bc9,1,2018
29,74,,,3.0,8.0,Keukeleire Jens,17,Lotto Soudal,,\u25bc9,1,2018
31,22,,,2.0,9.0,Castroviejo Jonathan,18,Team Sky,,\u25bc9,1,2018
34,44,,,1.0,10.0,Bookwalter Brent,19,BMC Racing Team,,\u25bc9,1,2018
33,135,,,45.0,2.0,Impey Daryl,1,Mitchelton-Scott,,\u25b21,2,2018
24,62,,,45.0,4.0,Ackermann Pascal,2,BORA - hansgrohe,,\u25b22,2,2018
28,24,,,31.0,1.0,Kwiatkowski Michal,3,Team Sky,,\u25bc2,2,2018
25,101,,,22.0,3.0,Alaphilippe Julian,4,Quick-Step Floors,,\u25bc1,2,2018
31,171,,,22.0,,Boasson Hagen Edvald,5,Team Dimension Data,,-,2,2018
29,74,,,19.0,17.0,Keukeleire Jens,6,Lotto Soudal,,\u25b211,2,2018
24,71,,,18.0,5.0,Benoot Tiesj,7,Lotto Soudal,,\u25bc2,2,2018
27,36,,,18.0,,Naesen Oliver,8,AG2R La Mondiale,,-,2,2018
27,42,,,16.0,14.0,Bevin Patrick,9,BMC Racing Team,,\u25b25,2,2018
27,81,,,14.0,6.0,Herrada Jes\xfas,10,"Cofidis, Solutions Cr\xe9dits",,\u25bc4,2,2018
32,85,,,14.0,,Simon Julien,11,"Cofidis, Solutions Cr\xe9dits",,-,2,2018
30,41,,,12.0,7.0,Caruso Damiano,12,BMC Racing Team,,\u25bc5,2,2018
25,167,,,12.0,,Smith Dion,13,Wanty - Groupe Gobert,,-,2,2018
33,186,,,12.0,8.0,van Emden Jos,14,Team LottoNL-Jumbo,,\u25bc6,2,2018
24,25,,,10.0,9.0,Moscon Gianni,15,Team Sky,,\u25bc6,2,2018
26,165,,,10.0,10.0,Meurisse Xandro,16,Wanty - Groupe Gobert,,\u25bc6,2,2018
26,207,,,8.0,,Skuji\u0146\u0161 Toms,17,Trek - Segafredo,,-,2,2018
25,191,,,8.0,11.0,Teunissen Mike,18,Team Sunweb,,\u25bc7,2,2018
26,72,,,8.0,12.0,Campenaerts Victor,19,Lotto Soudal,,\u25bc7,2,2018
25,96,,,6.0,13.0,Roson Jaime,20,Movistar Team,,\u25bc7,2,2018
29,144,,,6.0,,Hardy Romain,21,Team Fortuneo - Samsic,,-,2,2018
28,203,,,5.0,15.0,Br\xe4ndle Matthias,22,Trek - Segafredo,,\u25bc7,2,2018
25,104,,,4.0,16.0,Jungels Bob,23,Quick-Step Floors,,\u25bc7,2,2018
31,22,,,2.0,18.0,Castroviejo Jonathan,24,Team Sky,,\u25bc6,2,2018
34,44,,,1.0,19.0,Bookwalter Brent,25,BMC Racing Team,,\u25bc6,2,2018
24,25,2.0,+0:03,,1.0,Moscon Gianni,1,Team Sky,9:28:24 9:28:24,-,3,2018
22,102,12.0,+1:16,,2.0,De Plus Laurens,2,Quick-Step Floors,1:13 1:13,-,3,2018
24,71,13.0,+1:16,,7.0,Benoot Tiesj,3,Lotto Soudal,",, 1:13",\u25b24,3,2018
