Rnk,Rider,Age,Team,Pnt,Pnt.1,year,stage
1,Baranowski Dariusz,29,Ibanesto.com,88,250,2002,7
2,Botcharov Alexandre,27,AG2R Pr\xe9voyance,70,190,2002,7
3,Gutierrez Jose Enrique,27,Kelme - Costa Blanca,68,160,2002,7
4,Latasa lasa David,28,Ibanesto.com,59,140,2002,7
5,Armstrong Lance,30,US Postal Service,56,120,2002,7
6,Menchov Denis,24,Ibanesto.com,56,110,2002,7
7,Kintana Aitor,26,BigMat - Auber 93,55,100,2002,7
8,Robin Jean-Cyril,32,La Fran\xe7aise des Jeux,54,90,2002,7
9,Kivilev Andrei,28,Cofidis,52,80,2002,7
10,Osa Unai,27,Ibanesto.com,52,70,2002,7
11,Moreau Christophe,31,Cr\xe9dit Agricole,49,60,2002,7
12,Botero Santiago,29,Kelme - Costa Blanca,46,55,2002,7
13,Goubert Stephane,32,Jean Delatour,46,50,2002,7
14,Martin Ludovic,26,Cr\xe9dit Agricole,44,45,2002,7
15,Zubeldia Haimar,25,Euskaltel - Euskadi,40,40,2002,7
16,Landis Floyd,26,US Postal Service,36,36,2002,7
17,Millar David,25,Cofidis,33,32,2002,7
18,Lelli Massimiliano,34,Cofidis,32,28,2002,7
19,Halgand Patrice,28,Jean Delatour,30,24,2002,7
20,Peron Andrea,30,CSC ProTeam - Tiscali,30,20,2002,7
21,Garc\xeda Felix Manuel,33,BigMat - Auber 93,28,18,2002,7
22,Jalabert Laurent,33,CSC ProTeam - Tiscali,25,16,2002,7
23,van de Wouwer Kurt,30,Lotto - Adecco,21,14,2002,7
24,Edaleine Christophe,22,Jean Delatour,20,12,2002,7
25,Turpin Ludovic,27,AG2R Pr\xe9voyance,20,10,2002,7
26,McGee Bradley,26,La Fran\xe7aise des Jeux,20,9,2002,7
27,Virenque Richard,32,Domo - Farm Frites,18,8,2002,7
28,Bessy Fr\xe9d\xe9ric,30,Cr\xe9dit Agricole,16,7,2002,7
29,Moncouti\xe9 David,27,Cofidis,16,6,2002,7
30,Brozyna Tomasz,31,Ibanesto.com,14,5,2002,7
31,Vogondy Nicolas,24,La Fran\xe7aise des Jeux,12,5,2002,7
32,Bodo Thomas,21,La Fran\xe7aise des Jeux,12,5,2002,7
33,Arrizabalaga Gorka,25,Euskaltel - Euskadi,10,5,2002,7
34,Etxebarria Unai,29,Euskaltel - Euskadi,9,5,2002,7
35,Bruseghin Marzio,28,Ibanesto.com,8,5,2002,7
36,Moerenhout Koos,28,Domo - Farm Frites,8,5,2002,7
37,Guesdon Fr\xe9d\xe9ric,30,La Fran\xe7aise des Jeux,7,5,2002,7
38,Casar Sandy,23,La Fran\xe7aise des Jeux,6,5,2002,7
39,Durand Jacky,35,La Fran\xe7aise des Jeux,6,5,2002,7
40,Ekimov Viatcheslav,36,US Postal Service,5,5,2002,7
41,Oriol Christophe,29,AG2R Pr\xe9voyance,5,5,2002,7
42,Lefevre Laurent,25,Jean Delatour,4,5,2002,7
43,Talabardon S\xe9bastien,24,BigMat - Auber 93,4,5,2002,7
44,Bernard J\xe9r\xf4me,30,Jean Delatour,3,5,2002,7
45,Trentin Guido,26,Cofidis,2,5,2002,7
46,Jan Xavier,32,BigMat - Auber 93,2,5,2002,7
47,Javier Vila Francisco,26,Ibanesto.com,2,5,2002,7
48,Chaurreau I\xf1igo,29,AG2R Pr\xe9voyance,1,5,2002,7
49,Pe\xf1a Victor Hugo,27,US Postal Service,1,5,2002,7
50,Jalabert Nicolas,29,CSC ProTeam - Tiscali,1,5,2002,7
51,Tauler Toni,28,Kelme - Costa Blanca,1,5,2002,7
52,Hinault S\xe9bastien,28,Cr\xe9dit Agricole,1,5,2002,7
