Age,BIB,Pnt,Prev,Rider,Rnk,Team,\u25bc\u25b2,stage,year
33,21,10,,Contador Alberto,1,Tinkoff,,0,2016
31,11,8,,Porte Richie,2,BMC Racing Team,,0,2016
31,1,6,,Froome Christopher,3,Team Sky,,0,2016
29,41,4,,Martin Daniel,4,Etixx - Quick Step,,0,2016
23,42,2,,Alaphilippe Julian,5,Etixx - Quick Step,,0,2016
28,5,1,,Poels Wout,6,Team Sky,,0,2016
33,21,10,1.0,Contador Alberto,1,Tinkoff,-,1,2016
31,11,8,2.0,Porte Richie,2,BMC Racing Team,-,1,2016
31,1,6,3.0,Froome Christopher,3,Team Sky,-,1,2016
29,41,4,4.0,Martin Daniel,4,Etixx - Quick Step,-,1,2016
26,182,3,,Backaert Frederik,5,Wanty - Groupe Gobert,-,1,2016
23,42,2,5.0,Alaphilippe Julian,6,Etixx - Quick Step,\u25bc1,1,2016
29,72,1,,Docker Mitchell,7,Orica GreenEDGE,-,1,2016
28,5,1,6.0,Poels Wout,8,Team Sky,\u25bc2,1,2016
33,21,10,1.0,Contador Alberto,1,Tinkoff,-,2,2016
31,11,8,2.0,Porte Richie,2,BMC Racing Team,-,2,2016
27,118,7,,Teklehaimanot Daniel,3,Team Dimension Data,-,2,2016
23,67,6,,Gougeard Alexis,4,AG2R La Mondiale,-,2,2016
31,1,6,3.0,Froome Christopher,5,Team Sky,\u25bc2,2,2016
35,195,5,,Huzarski Bartosz,6,Bora - Argon 18,-,2,2016
29,41,4,4.0,Martin Daniel,7,Etixx - Quick Step,\u25bc3,2,2016
23,142,4,,Calmejane Lilian,8,Direct Energie,-,2,2016
26,182,3,5.0,Backaert Frederik,9,Wanty - Groupe Gobert,\u25bc4,2,2016
25,133,2,,Herrada Jes\xfas,10,Movistar Team,-,2,2016
23,42,2,6.0,Alaphilippe Julian,11,Etixx - Quick Step,\u25bc5,2,2016
32,116,2,,Pauwels Serge,12,Team Dimension Data,-,2,2016
29,72,1,7.0,Docker Mitchell,13,Orica GreenEDGE,\u25bc6,2,2016
28,91,1,,Gallopin Tony,14,Lotto Soudal,-,2,2016
31,145,1,,Jeandesboz Fabrice,15,Direct Energie,-,2,2016
28,5,1,8.0,Poels Wout,16,Team Sky,\u25bc8,2,2016
33,21,10,1.0,Contador Alberto,1,Tinkoff,-,3,2016
31,11,8,2.0,Porte Richie,2,BMC Racing Team,-,3,2016
27,118,7,3.0,Teklehaimanot Daniel,3,Team Dimension Data,-,3,2016
23,67,6,4.0,Gougeard Alexis,4,AG2R La Mondiale,-,3,2016
31,1,6,5.0,Froome Christopher,5,Team Sky,-,3,2016
31,45,5,,Martin Tony,6,Etixx - Quick Step,-,3,2016
35,195,5,6.0,Huzarski Bartosz,7,Bora - Argon 18,\u25bc1,3,2016
29,41,4,7.0,Martin Daniel,8,Etixx - Quick Step,\u25bc1,3,2016
23,142,4,8.0,Calmejane Lilian,9,Direct Energie,\u25bc1,3,2016
