Age,Avg,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,stage,year
34,,,,50.0,Leipheimer Levi,1,Astana,,0,2008
30,,,,30.0,Hushovd Thor,2,Cr\xe9dit Agricole,,0,2008
28,,,,18.0,Valverde Alejandro,3,Caisse d'Epargne,,0,2008
25,,,,13.0,Monfort Maxime,4,Cofidis,,0,2008
26,,,,10.0,Efimkin Vladimir,5,AG2R La Mondiale,,0,2008
31,,,,7.0,Evans Cadel,6,Silence - Lotto,,0,2008
28,,,,4.0,Lancaster Brett,7,Milram,,0,2008
28,,,,3.0,Quinziato Manuel,8,Liquigas,,0,2008
27,,,,,Barredo Carlos,9*,Quickstep - Innergetic,,0,2008
31,,,,2.0,Zubeldia Haimar,9,Euskaltel - Euskadi,,0,2008
23,,,,1.0,Lewis Craig,10,Team Columbia,,0,2008
25,,,,,Greipel Andr\xe9,11,Team Columbia,,0,2008
27,,,,,Wegmann Fabian,12,Gerolsteiner,,0,2008
27,,,,,Hansen Adam,13,Team Columbia,,0,2008
28,,,,,Astarloza Mikel,14,Euskaltel - Euskadi,,0,2008
24,,,,,Brajkovi\u010d Janez,15,Astana,,0,2008
32,,,,,Grabsch Bert,16,Team Columbia,,0,2008
30,,,,,S\xe1nchez Samuel,17,Euskaltel - Euskadi,,0,2008
22,,,,,Gesink Robert,18,Rabobank ProTeam,,0,2008
33,,,,,Sastre Carlos,19,CSC ProTeam,,0,2008
28,,,,,Bak Lars Ytting,20,CSC ProTeam,,0,2008
26,,,,,Vaitkus Tomas,21,Astana,,0,2008
28,,,,,Lang Sebastian,22,Gerolsteiner,,0,2008
24,,,,,Grivko Andrei,23,Milram,,0,2008
27,,,,,Van Impe Kevin,24,Quickstep - Innergetic,,0,2008
32,,,,,Brard Florent,25,Cofidis,,0,2008
34,,,,,Hincapie George,26,Team Columbia,,0,2008
25,,,,,Bonnet William,27,Cr\xe9dit Agricole,,0,2008
30,,,,,Flecha Juan Antonio,28,Rabobank ProTeam,,0,2008
36,,,,,Horner Chris,29,Astana,,0,2008
28,,,,,Rogers Michael,30,Team Columbia,,0,2008
21,,,,,Coppel J\xe9rome,31,Fran\xe7aise des Jeux,,0,2008
31,,,,,Lefevre Laurent,32,Bouygues Telecom,,0,2008
28,,,,,Voeckler Thomas,33,Bouygues Telecom,,0,2008
23,,,,,Stamsnijder Tom,34,Gerolsteiner,,0,2008
25,,,,,Clement Stef,35,Bouygues Telecom,,0,2008
28,,,,,Hary Maryan,36,Cofidis,,0,2008
32,,,,,Garate Juan Manuel,37,Quickstep - Innergetic,,0,2008
29,,,,,Casar Sandy,38,Fran\xe7aise des Jeux,,0,2008
23,,,,,Loubet Julien,39,AG2R La Mondiale,,0,2008
23,,,,,Velits Peter,40,Milram,,0,2008
27,,,,,Riblon Christophe,41,AG2R La Mondiale,,0,2008
30,,,,,Pereiro Oscar,42,Caisse d'Epargne,,0,2008
21,,,,,Roels Dominik,43,Milram,,0,2008
29,,,,,Fedrigo Pierrick,44,Bouygues Telecom,,0,2008
34,,,,,Moerenhout Koos,45,Rabobank ProTeam,,0,2008
22,,,,,Walker William,46,Rabobank ProTeam,,0,2008
33,,,,,Horrillo Pedro,47,Rabobank ProTeam,,0,2008
28,,,,,Gerrans Simon,48,Cr\xe9dit Agricole,,0,2008
31,,,,,van de Walle Jurgen,49,Quickstep - Innergetic,,0,2008
28,,,,,Paulinho S\xe9rgio,50,Astana,,0,2008
32,,,,,Kroon Karsten,51,CSC ProTeam,,0,2008
22,,,,,Grabovskyy Dmytro,52,Quickstep - Innergetic,,0,2008
31,,,,,Fofonov Dimitri,53,Cr\xe9dit Agricole,,0,2008
35,,,,,Garcia Jose Vicente,54,Caisse d'Epargne,,0,2008
21,,,,,Rolland Pierre,55,Cr\xe9dit Agricole,,0,2008
24,,,,,Quemeneur Perrig,56,Bouygues Telecom,,0,2008
32,,,,,Niermann Grischa,57,Rabobank ProTeam,,0,2008
24,,,,,Monnerais Cyrille,58,Fran\xe7aise des Jeux,,0,2008
27,,,,,Oroz Juan Jos\xe9,59,Euskaltel - Euskadi,,0,2008
36,,,,,Arrieta Jose Luis,60,AG2R La Mondiale,,0,2008
31,,,,,Flores Iker,61,,,0,2008
31,,,,,Labbe Arnaud,62,Bouygues Telecom,,0,2008
33,,,,,Moncouti\xe9 David,63,Cofidis,,0,2008
25,,,,,Elijzen Michiel,64,Rabobank ProTeam,,0,2008
26,,,,,Pauriol R\xe9mi,65,Cr\xe9dit Agricole,,0,2008
24,,,,,Haussler Heinrich,66,Gerolsteiner,,0,2008
24,,,,,Navarro Daniel,67,Astana,,0,2008
27,,,,,Schr\xf6der Bjorn,68,Milram,,0,2008
25,,,,,Minard S\xe9bastien,69,Cofidis,,0,2008
30,,,,,Wegelius Charles,70,Liquigas,,0,2008
