Age,Avg,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,UCI,stage,year
25,51.428999999999995,,+0:00,50.0,Boom Lars,1,Rabobank Cycling Team,6:18 6:18,6.0,0,2011
37,51.023999999999994,,+0:00,30.0,Vinokourov Alexandre,2,Pro Team Astana,0:03 0:03,4.0,0,2011
31,50.625,,+0:00,18.0,Wiggins Bradley,3,Sky Procycling,0:06 0:06,2.0,0,2011
22,50.625,,+0:00,13.0,Degenkolb John,4,HTC - High Road,",, 0:06",1.0,0,2011
24,50.233000000000004,,+0:00,10.0,Kadri Blel,5,AG2R La Mondiale,0:09 0:09,1.0,0,2011
30,50.233000000000004,,+0:00,7.0,Posthuma Joost,6,Leopard Trek,",, 0:09",,0,2011
34,50.233000000000004,,+0:00,4.0,Evans Cadel,7,BMC Racing Team,",, 0:09",,0,2011
30,50.233000000000004,,+0:00,3.0,Riblon Christophe,8,AG2R La Mondiale,",, 0:09",,0,2011
28,49.974,,+0:00,2.0,Lemoine Cyril,9,Saur - Sojasun,0:11 0:11,,0,2011
24,49.974,,+0:00,1.0,Coppel J\xe9rome,10,Saur - Sojasun,",, 0:11",,0,2011
27,49.846000000000004,,+0:00,,Martens Paul,11,Rabobank Cycling Team,0:12 0:12,,0,2011
24,49.846000000000004,,+0:00,,Costa Rui,12,Movistar Team,",, 0:12",,0,2011
27,49.718999999999994,,+0:00,,Farrar Tyler,13,Team Garmin - Cerv\xe9lo,0:13 0:13,,0,2011
31,49.718999999999994,,+0:00,,Kessiakoff Fredrik,14,Pro Team Astana,",, 0:13",,0,2011
28,49.592,,+0:00,,Van den Broeck Jurgen,15,Omega Pharma-Lotto,0:14 0:14,,0,2011
31,49.466,,+0:00,,Irizar Markel,16,RadioShack,0:15 0:15,,0,2011
27,49.466,,+0:00,,Brajkovi\u010d Janez,17,RadioShack,",, 0:15",,0,2011
34,49.466,,+0:00,,Peraud Jean-Christophe,18,AG2R La Mondiale,",, 0:15",,0,2011
24,49.466,,+0:00,,Boasson Hagen Edvald,19,Sky Procycling,",, 0:15",,0,2011
33,49.34,,+0:00,,Tjallingii Maarten,20,Rabobank Cycling Team,0:16 0:16,,0,2011
26,49.34,,+0:00,,Busche Matthew,21,RadioShack,",, 0:16",,0,2011
32,49.34,,+0:00,,Verdugo Gorka,22,Euskaltel - Euskadi,",, 0:16",,0,2011
33,49.34,,+0:00,,Flecha Juan Antonio,23,Sky Procycling,",, 0:16",,0,2011
33,49.34,,+0:00,,S\xe1nchez Samuel,24,Euskaltel - Euskadi,",, 0:16",,0,2011
26,49.34,,+0:00,,Dehaes Kenny,25,Omega Pharma-Lotto,",, 0:16",,0,2011
32,49.34,,+0:00,,Fedrigo Pierrick,26,FDJ,",, 0:16",,0,2011
25,49.34,,+0:00,,Thomas Geraint,27,Sky Procycling,",, 0:16",,0,2011
34,49.34,,+0:00,,Zubeldia Haimar,28,RadioShack,",, 0:16",,0,2011
25,49.215,,+0:00,,Gesink Robert,29,Rabobank Cycling Team,0:17 0:17,,0,2011
31,49.215,,+0:00,,Kashechkin Andrey,30,Lampre - ISD,",, 0:17",,0,2011
