Rnk,Rider,Age,Team,UCI,Pnt,GC,GC-Time,Time,year,stage
1,Moreno Daniel,30,Team Katusha,6.0,50.0,13.0,+4:34,2:59:37 2:59:37,2012,7
2,Sanchez Luis Leon,28,Rabobank Cycling Team,4.0,30.0,12.0,+3:57,",, ,,",2012,7
3,Evans Cadel,35,BMC Racing Team,2.0,18.0,3.0,+1:26,",, ,,",2012,7
4,Boasson Hagen Edvald,25,Sky Procycling,1.0,13.0,51.0,+24:08,",, ,,",2012,7
5,Nocentini Rinaldo,34,AG2R La Mondiale,1.0,10.0,19.0,+9:06,",, ,,",2012,7
6,Weening Pieter,31,Orica GreenEDGE,,7.0,11.0,+3:55,",, ,,",2012,7
7,Van den Broeck Jurgen,29,Lotto Belisol Team,,4.0,5.0,+2:12,",, ,,",2012,7
8,Devenyns Dries,28,Omega Pharma - Quick-Step,,3.0,59.0,+27:07,",, ,,",2012,7
9,Porte Richie,27,Sky Procycling,,2.0,9.0,+3:34,",, ,,",2012,7
10,Rogers Michael,32,Sky Procycling,,1.0,2.0,+1:17,0:07 0:07,2012,7
11,Froome Christopher,27,Sky Procycling,,,4.0,+1:45,",, 0:07",2012,7
12,Zubeldia Haimar,35,RadioShack - Nissan,,,10.0,+3:50,",, 0:07",2012,7
13,Brajkovi\u010d Janez,28,Astana Pro Team,,,7.0,+3:07,0:10 0:10,2012,7
14,Charteau Anthony,33,Team Europcar,,,57.0,+26:49,",, 0:10",2012,7
15,Kelderman Wilco,21,Rabobank Cycling Team,,,8.0,+3:26,",, 0:10",2012,7
16,Navarro Daniel,28,Team Saxo Bank - Tinkoff Bank,,,16.0,+5:39,",, 0:10",2012,7
17,Kiryienka Vasil,30,Movistar Team,,,6.0,+2:58,",, 0:10",2012,7
18,Gallopin Tony,24,RadioShack - Nissan,,,32.0,+16:34,",, 0:10",2012,7
19,Wiggins Bradley,32,Sky Procycling,,,1.0,+0:00,",, 0:10",2012,7
20,Machado Tiago,26,RadioShack - Nissan,,,18.0,+6:44,0:15 0:15,2012,7
21,Paterski Maciej,25,Liquigas - Cannondale,,,37.0,+17:28,",, 0:15",2012,7
22,Canuti Federico,26,Liquigas - Cannondale,,,80.0,+35:15,",, 0:15",2012,7
23,Martinez Egoi,34,Euskaltel - Euskadi,,,45.0,+19:43,0:23 0:23,2012,7
24,Hern\xe1ndez Jes\xfas,30,Team Saxo Bank - Tinkoff Bank,,,46.0,+22:05,",, 0:23",2012,7
25,Di Gr\xe9gorio R\xe9my,26,Cofidis Le Credit en Ligne,,,30.0,+15:40,",, 0:23",2012,7
26,Pires Bruno,31,Team Saxo Bank - Tinkoff Bank,,,15.0,+5:21,",, 0:23",2012,7
27,Silin Egor,24,Astana Pro Team,,,20.0,+9:17,",, 0:23",2012,7
28,Jeandesboz Fabrice,27,Saur - Sojasun,,,24.0,+11:13,",, 0:23",2012,7
29,Levarlet Guillaume,26,Saur - Sojasun,,,25.0,+12:02,",, 0:23",2012,7
30,Ch\xe9rel Micka\xebl,26,AG2R La Mondiale,,,60.0,+27:24,0:38 0:38,2012,7
31,Martin Daniel,25,Team Garmin - Barracuda,,,106.0,+47:31,",, 0:38",2012,7
