Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,UCI,stage,year
29,47.213,1,1.0,+0:00,50.0,Froome Christopher,1,Team Sky,13:13 13:13,6.0,1,2014
31,46.742,21,2.0,+0:08,30.0,Contador Alberto,2,Tinkoff - Saxo,0:08 0:08,4.0,1,2014
21,46.683,111,3.0,+0:09,18.0,Jungels Bob,3,Trek Factory Racing,0:09 0:09,2.0,1,2014
25,46.567,168,4.0,+0:11,13.0,Talansky Andrew,4,Garmin Sharp,0:11 0:11,1.0,1,2014
23,46.567,191,5.0,+0:11,10.0,Kelderman Wilco,5,Belkin-Pro Cycling Team,",, 0:11",1.0,1,2014
28,46.50899999999999,193,6.0,+0:12,7.0,Boom Lars,6,Belkin-Pro Cycling Team,0:12 0:12,,1,2014
32,46.50899999999999,2,7.0,+0:12,4.0,Kiryienka Vasil,7,Team Sky,",, 0:12",,1,2014
29,46.452,11,8.0,+0:13,3.0,Nibali Vincenzo,8,Astana Pro Team,0:13 0:13,,1,2014
25,46.452,121,9.0,+0:13,2.0,van Garderen Tejay,9,BMC Racing Team,",, 0:13",,1,2014
24,46.452,92,10.0,+0:13,1.0,Br\xe4ndle Matthias,10,IAM Cycling,",, 0:13",,1,2014
29,46.452,202,11.0,+0:13,,B\xe1rta Jan,11,Team NetApp \u2013 Endura,",, 0:13",,1,2014
29,46.452,103,12.0,+0:13,,Bodnar Maciej,12,Cannondale,",, 0:13",,1,2014
28,46.394,55,13.0,+0:14,,Intxausti Be\xf1at,13,Movistar Team,0:14 0:14,,1,2014
21,46.394,142,14.0,+0:14,,Alaphilippe Julian,14,Omega Pharma - Quick-Step,",, 0:14",,1,2014
32,46.394,98,15.0,+0:14,,Saramotins Aleksejs,15,IAM Cycling,",, 0:14",,1,2014
28,46.394,7,16.0,+0:14,,Thomas Geraint,16,Team Sky,",, 0:14",,1,2014
31,46.336999999999996,81,17.0,+0:15,,Van den Broeck Jurgen,17,Lotto Belisol,0:15 0:15,,1,2014
26,46.336999999999996,195,18.0,+0:15,,Keizer Martijn,18,Belkin-Pro Cycling Team,",, 0:15",,1,2014
34,46.278999999999996,91,19.0,+0:16,,Chavanel Sylvain,19,IAM Cycling,0:16 0:16,,1,2014
24,46.278999999999996,141,20.0,+0:16,,Kwiatkowski Michal,20,Omega Pharma - Quick-Step,",, 0:16",,1,2014
26,46.222,201,21.0,+0:17,,K\xf6nig Leopold,21,Team NetApp \u2013 Endura,0:17 0:17,,1,2014
29,46.222,44,22.0,+0:17,,Impey Daryl,22,Orica GreenEDGE,",, 0:17",,1,2014
29,46.108000000000004,6,23.0,+0:19,,Porte Richie,23,Team Sky,0:19 0:19,,1,2014
29,46.108000000000004,12,24.0,+0:19,,Fuglsang Jakob,24,Astana Pro Team,",, 0:19",,1,2014
33,46.052,95,25.0,+0:20,,Larsson Gustav,25,IAM Cycling,0:20 0:20,,1,2014
21,45.995,43,26.0,+0:21,,Howson Damien,26,Orica GreenEDGE,0:21 0:21,,1,2014
27,45.93899999999999,101,27.0,+0:22,,Koren Kristijan,27,Cannondale,0:22 0:22,,1,2014
27,45.93899999999999,63,28.0,+0:22,,Bouet Maxime,28,AG2R La Mondiale,",, 0:22",,1,2014
27,45.93899999999999,135,29.0,+0:22,,Spilak Simon,29,Team Katusha,",, 0:22",,1,2014
31,45.93899999999999,17,30.0,+0:22,,Westra Lieuwe,30,Astana Pro Team,",, 0:22",,1,2014
30,45.882,173,31.0,+0:23,,Devenyns Dries,31,Team Giant - Shimano,0:23 0:23,,1,2014
30,45.882,13,32.0,+0:23,,Grivko Andrei,32,Astana Pro Team,",, 0:23",,1,2014
26,45.826,93,33.0,+0:24,,Denifl Stefan,33,IAM Cycling,0:24 0:24,,1,2014
