Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
25,14,1.0,+0:00,50.0,,Kennaugh Peter,1,Team Sky,3:06:51 3:06:51,,6.0,,1,2015
27,143,2.0,+0:06,30.0,,Modolo Sacha,2,Lampre - Merida,0:02 0:02,,4.0,,1,2015
28,191,3.0,+0:08,18.0,,Boasson Hagen Edvald,3,MTN - Qhubeka,",, 0:02",,2.0,,1,2015
21,62,4.0,+0:12,13.0,,Benoot Tiesj,4,Lotto Soudal,",, 0:02",,1.0,,1,2015
35,51,5.0,+0:12,10.0,,Gerrans Simon,5,Orica GreenEDGE,",, 0:02",,1.0,,1,2015
24,162,6.0,+0:12,7.0,,Bouhanni Nacer,6,"Cofidis, Solutions Cr\xe9dits",",, 0:02",,,,1,2015
22,124,7.0,+0:12,4.0,,McCarthy Jay,7,Tinkoff - Saxo,",, 0:02",,,,1,2015
35,71,8.0,+0:12,3.0,,Valverde Alejandro,8,Movistar Team,",, 0:02",,,,1,2015
34,43,9.0,+0:12,2.0,,Dumoulin Samuel,9,AG2R La Mondiale,",, 0:02",,,,1,2015
27,152,10.0,+0:12,1.0,,Gautier Cyril,10,Team Europcar,",, 0:02",,,,1,2015
24,31,11.0,+0:12,,,Kelderman Wilco,11,Team LottoNL-Jumbo,",, 0:02",,,,1,2015
27,154,12.0,+0:12,,,Martinez Yannick,12,Team Europcar,",, 0:02",,,,1,2015
24,185,13.0,+0:12,,,Ludvigsson Tobias,13,Team Giant - Alpecin,",, 0:02",,,,1,2015
26,134,14.0,+0:12,,,Pantano Jarlinson,14,IAM Cycling,",, 0:02",,,,1,2015
22,101,15.0,+0:12,,,Alaphilippe Julian,15,Etixx - Quick Step,",, 0:02",,,,1,2015
30,11,16.0,+0:12,,,Froome Christopher,16,Team Sky,",, 0:02",,,,1,2015
27,61,17.0,+0:12,,,Gallopin Tony,17,Lotto Soudal,",, 0:02",,,,1,2015
23,181,18.0,+0:12,,,Craddock Lawson,18,Team Giant - Alpecin,",, 0:02",,,,1,2015
30,204,19.0,+0:12,,,Mendes Jos\xe9,19,Bora - Argon 18,",, 0:02",,,,1,2015
28,141,20.0,+0:12,,,Costa Rui,20,Lampre - Merida,",, 0:02",,,,1,2015
27,7,21.0,+0:12,,,Navardauskas Ramunas,21,Team Cannondale - Garmin,",, 0:02",,,,1,2015
30,206,22.0,+0:12,,,Salerno Cristiano,22,Bora - Argon 18,",, 0:02",,,,1,2015
25,127,23.0,+0:12,,,Poljanski Pawel,23,Tinkoff - Saxo,",, 0:02",,,,1,2015
25,32,24.0,+0:12,,,Bennett George,24,Team LottoNL-Jumbo,",, 0:02",,,,1,2015
34,126,25.0,+0:12,,,Pires Bruno,25,Tinkoff - Saxo,",, 0:02",,,,1,2015
26,195,26.0,+0:12,,,Janse van Rensburg Reinardt,26,MTN - Qhubeka,",, 0:02",,,,1,2015
27,168,27.0,+0:12,,,Soupe Geoffrey,27,"Cofidis, Solutions Cr\xe9dits",",, 0:02",,,,1,2015
30,104,28.0,+0:12,,,Martin Tony,28,Etixx - Quick Step,",, 0:02",,,,1,2015
32,28,29.0,+0:12,,,Westra Lieuwe,29,Astana Pro Team,",, 0:02",,,,1,2015
28,131,30.0,+0:12,,,Frank Mathias,30,IAM Cycling,",, 0:02",,,,1,2015
30,16,31.0,+0:12,,,Roche Nicolas,31,Team Sky,",, 0:02",,,,1,2015
27,77,32.0,+0:12,,,Izagirre Gorka,32,Movistar Team,",, 0:02",,,,1,2015
31,197,33.0,+0:12,,,Pauwels Serge,33,MTN - Qhubeka,",, 0:02",,,,1,2015
28,123,34.0,+0:12,,,Ki\u0161erlovski Robert,34,Tinkoff - Saxo,",, 0:02",,,,1,2015
24,41,35.0,+0:12,,,Bardet Romain,35,AG2R La Mondiale,",, 0:02",,,,1,2015
26,207,36.0,+0:12,,,Thurau Bjorn,36,Bora - Argon 18,",, 0:02",,,,1,2015
30,136,37.0,+0:12,,,Tanner David,37,IAM Cycling,",, 0:02",,,,1,2015
31,106,38.0,+0:12,,,Terpstra Niki,38,Etixx - Quick Step,",, 0:02",,,,1,2015
36,35,39.0,+0:12,,,Tankink Bram,39,Team LottoNL-Jumbo,",, 0:02",,,,1,2015
26,144,40.0,+0:12,,,Oliveira Nelson,40,Lampre - Merida,",, 0:02",,,,1,2015
29,85,41.0,+0:12,,,Machado Tiago,41,Team Katusha,",, 0:02",,,,1,2015
