Rnk,Team,GC,GC-Time,Time,year,stage
1,Astana,,+ - 29:50:35,89:44:17 89:44:17,2007,7
2,Discovery Channel,,+ - 29:50:35,0:19 0:19,2007,7
3,Euskaltel - Euskadi,,+ - 29:50:35,4:36 4:36,2007,7
4,AG2R Pr\xe9voyance,,+ - 29:50:35,7:04 7:04,2007,7
5,CSC ProTeam,,+ - 29:50:35,7:24 7:24,2007,7
6,Caisse d'Epargne,,+ - 29:50:35,11:28 11:28,2007,7
7,Bouygues Telecom,,+ - 29:50:35,13:51 13:51,2007,7
8,Cr\xe9dit Agricole,,+ - 29:50:35,16:00 16:00,2007,7
9,Predictor - Lotto,,+ - 29:50:35,24:49 24:49,2007,7
10,Fran\xe7aise des Jeux,,+ - 29:50:35,25:39 25:39,2007,7
11,Saunier Duval,,+ - 29:50:35,27:22 27:22,2007,7
12,Liquigas,,+ - 29:50:35,37:07 37:07,2007,7
13,Rabobank ProTeam,,+ - 29:50:35,38:39 38:39,2007,7
14,Gerolsteiner,,+ - 29:50:35,44:53 44:53,2007,7
15,Cofidis,,+ - 29:50:35,47:48 47:48,2007,7
16,Lampre-Fondital,,+ - 29:50:35,1:01:43 1:01:43,2007,7
17,T-Mobile Team,,+ - 29:50:35,1:39:58 1:39:58,2007,7
18,Quickstep - Innergetic,,+ - 29:50:35,1:53:18 1:53:18,2007,7
19,Milram,,+ - 29:50:35,1:53:38 1:53:38,2007,7
