Rnk,Rider,Age,Team,year,stage
1,Duque Leonardo,31,Cofidis Le Credit en Ligne,2011,7
2,Rodr\xedguez Joaquim,32,Team Katusha,2011,7
3,Martinez Egoi,33,Euskaltel - Euskadi,2011,7
4,Finetto Mauro,26,Liquigas - Cannondale,2011,7
5,Seeldraeyers Kevin,24,Quickstep Cycling Team,2011,7
6,Van den Broeck Jurgen,28,Omega Pharma-Lotto,2011,7
7,Vinokourov Alexandre,37,Pro Team Astana,2011,7
8,Kern Christophe,30,Team Europcar,2011,7
9,Gesink Robert,25,Rabobank Cycling Team,2011,7
10,Garate Juan Manuel,35,Rabobank Cycling Team,2011,7
11,S\xf8rensen Chris Anker,26,Saxo Bank - Sungard,2011,7
12,Malori Adriano,23,Lampre - ISD,2011,7
13,Gautier Cyril,23,Team Europcar,2011,7
14,Niemiec Przemyslaw,31,Lampre - ISD,2011,7
15,Wiggins Bradley,31,Sky Procycling,2011,7
16,Buffaz Mickael,32,Cofidis Le Credit en Ligne,2011,7
17,Evans Cadel,34,BMC Racing Team,2011,7
18,Voeckler Thomas,31,Team Europcar,2011,7
19,Roy J\xe9r\xe9my,27,FDJ,2011,7
20,McCartney Jason,37,RadioShack,2011,7
21,Rolland Pierre,24,Team Europcar,2011,7
22,van de Walle Jurgen,34,Omega Pharma-Lotto,2011,7
23,Peraud Jean-Christophe,34,AG2R La Mondiale,2011,7
24,Bouet Maxime,24,AG2R La Mondiale,2011,7
25,Casar Sandy,32,FDJ,2011,7
26,Vandousselaere Sven,22,Omega Pharma-Lotto,2011,7
27,Amador Andrey,24,Movistar Team,2011,7
28,Trofimov Yuri,27,Team Katusha,2011,7
29,Boasson Hagen Edvald,24,Sky Procycling,2011,7
30,Thomas Geraint,25,Sky Procycling,2011,7
31,Hinault S\xe9bastien,37,AG2R La Mondiale,2011,7
32,Dumoulin Samuel,30,Cofidis Le Credit en Ligne,2011,7
33,Jerome Vincent,26,Team Europcar,2011,7
34,Degenkolb John,22,HTC - High Road,2011,7
35,Tjallingii Maarten,33,Rabobank Cycling Team,2011,7
36,Txurruka Amets,28,Euskaltel - Euskadi,2011,7
37,Verdugo Gorka,32,Euskaltel - Euskadi,2011,7
38,Simon Julien,25,Saur - Sojasun,2011,7
39,Niermann Grischa,35,Rabobank Cycling Team,2011,7
40,Westra Lieuwe,28,Vacansoleil - DCM,2011,7
