BIB,GC,GC-Time,Prev,Rnk,Team,Time,\u25bc\u25b2,stage,year
,,+ -3:06:41,,1,Team Sky,9:20:37 9:20:37,,1,2015
,,+ -3:06:41,,2,Tinkoff - Saxo,0:02 0:02,,1,2015
,,+ -3:06:41,,3,Lampre - Merida,",, 0:02",,1,2015
,,+ -3:06:41,,4,MTN - Qhubeka,",, 0:02",,1,2015
,,+ -3:06:41,,5,Lotto Soudal,",, 0:02",,1,2015
,,+ -3:06:41,,6,Team LottoNL-Jumbo,",, 0:02",,1,2015
,,+ -3:06:41,,7,Bora - Argon 18,",, 0:02",,1,2015
,,+ -3:06:41,,8,IAM Cycling,",, 0:02",,1,2015
,,+ -3:06:41,,9,Etixx - Quick Step,",, 0:02",,1,2015
,,+ -3:06:41,,10,AG2R La Mondiale,",, 0:02",,1,2015
,,+ -3:06:41,,11,Team Europcar,",, 0:02",,1,2015
,,+ -3:06:41,,12,Movistar Team,",, 0:02",,1,2015
,,+ -3:06:41,,13,"Cofidis, Solutions Cr\xe9dits",",, 0:02",,1,2015
,,+ -3:06:41,,14,Astana Pro Team,",, 0:02",,1,2015
,,+ -3:06:41,,15,Orica GreenEDGE,",, 0:02",,1,2015
,,+ -3:06:41,,16,Team Cannondale - Garmin,",, 0:02",,1,2015
,,+ -3:06:41,,17,BMC Racing Team,",, 0:02",,1,2015
,,+ -3:06:41,,18,Team Katusha,",, 0:02",,1,2015
,,+ -3:06:41,,19,Trek Factory Racing,",, 0:02",,1,2015
,,+ -3:06:41,,20,Team Giant - Alpecin,2:50 2:50,,1,2015
,,+ -3:06:41,,21,FDJ,5:38 5:38,,1,2015
,,+ -7:30:27,1.0,1,Team Sky,22:31:55 22:31:55,-,2,2015
,,+ -7:30:27,16.0,2,Team Cannondale - Garmin,0:02 0:02,\u25b214,2,2015
,,+ -7:30:27,7.0,3,Bora - Argon 18,",, 0:02",\u25b24,2,2015
,,+ -7:30:27,2.0,4,Tinkoff - Saxo,",, 0:02",\u25bc2,2,2015
,,+ -7:30:27,8.0,5,IAM Cycling,",, 0:02",\u25b23,2,2015
,,+ -7:30:27,3.0,6,Lampre - Merida,",, 0:02",\u25bc3,2,2015
,,+ -7:30:27,10.0,7,AG2R La Mondiale,",, 0:02",\u25b23,2,2015
,,+ -7:30:27,4.0,8,MTN - Qhubeka,",, 0:02",\u25bc4,2,2015
,,+ -7:30:27,15.0,9,Orica GreenEDGE,",, 0:02",\u25b26,2,2015
,,+ -7:30:27,5.0,10,Lotto Soudal,",, 0:02",\u25bc5,2,2015
,,+ -7:30:27,6.0,11,Team LottoNL-Jumbo,",, 0:02",\u25bc5,2,2015
,,+ -7:30:27,18.0,12,Team Katusha,",, 0:02",\u25b26,2,2015
,,+ -7:30:27,13.0,13,"Cofidis, Solutions Cr\xe9dits",",, 0:02",-,2,2015
,,+ -7:30:27,9.0,14,Etixx - Quick Step,",, 0:02",\u25bc5,2,2015
,,+ -7:30:27,11.0,15,Team Europcar,",, 0:02",\u25bc4,2,2015
,,+ -7:30:27,12.0,16,Movistar Team,",, 0:02",\u25bc4,2,2015
,,+ -7:30:27,14.0,17,Astana Pro Team,",, 0:02",\u25bc3,2,2015
,,+ -7:30:27,19.0,18,Trek Factory Racing,",, 0:02",\u25b21,2,2015
,,+ -7:30:27,17.0,19,BMC Racing Team,",, 0:02",\u25bc2,2,2015
,,+ -7:30:27,20.0,20,Team Giant - Alpecin,2:50 2:50,-,2,2015
,,+ -7:30:27,21.0,21,FDJ,5:38 5:38,-,2,2015
,,+ -8:00:37,19.0,1,BMC Racing Team,23:01:55 23:01:55,\u25b218,3,2015
,,+ -8:00:37,17.0,2,Astana Pro Team,0:04 0:04,\u25b215,3,2015
,,+ -8:00:37,16.0,3,Movistar Team,0:05 0:05,\u25b213,3,2015
,,+ -8:00:37,14.0,4,Etixx - Quick Step,0:18 0:18,\u25b210,3,2015
,,+ -8:00:37,9.0,5,Orica GreenEDGE,0:23 0:23,\u25b24,3,2015
,,+ -8:00:37,1.0,6,Team Sky,0:33 0:33,\u25bc5,3,2015
,,+ -8:00:37,2.0,7,Team Cannondale - Garmin,0:43 0:43,\u25bc5,3,2015
,,+ -8:00:37,6.0,8,Lampre - Merida,0:48 0:48,\u25bc2,3,2015
,,+ -8:00:37,5.0,9,IAM Cycling,0:50 0:50,\u25bc4,3,2015
,,+ -8:00:37,3.0,10,Bora - Argon 18,0:54 0:54,\u25bc7,3,2015
,,+ -8:00:37,11.0,11,Team LottoNL-Jumbo,",, 0:54",-,3,2015
,,+ -8:00:37,10.0,12,Lotto Soudal,0:59 0:59,\u25bc2,3,2015
,,+ -8:00:37,7.0,13,AG2R La Mondiale,1:00 1:00,\u25bc6,3,2015
,,+ -8:00:37,12.0,14,Team Katusha,1:05 1:05,\u25bc2,3,2015
,,+ -8:00:37,8.0,15,MTN - Qhubeka,1:07 1:07,\u25bc7,3,2015
,,+ -8:00:37,15.0,16,Team Europcar,1:08 1:08,\u25bc1,3,2015
,,+ -8:00:37,18.0,17,Trek Factory Racing,1:15 1:15,\u25b21,3,2015
,,+ -8:00:37,4.0,18,Tinkoff - Saxo,1:30 1:30,\u25bc14,3,2015
,,+ -8:00:37,13.0,19,"Cofidis, Solutions Cr\xe9dits",1:49 1:49,\u25bc6,3,2015
,,+ -8:00:37,20.0,20,Team Giant - Alpecin,4:06 4:06,-,3,2015
,,+ -8:00:37,21.0,21,FDJ,7:12 7:12,-,3,2015
,,+ - 13:31:30,1.0,1,BMC Racing Team,39:34:34 39:34:34,-,4,2015
,,+ - 13:31:30,2.0,2,Astana Pro Team,0:04 0:04,-,4,2015
,,+ - 13:31:30,3.0,3,Movistar Team,0:05 0:05,-,4,2015
,,+ - 13:31:30,4.0,4,Etixx - Quick Step,0:18 0:18,-,4,2015
,,+ - 13:31:30,5.0,5,Orica GreenEDGE,0:23 0:23,-,4,2015
,,+ - 13:31:30,6.0,6,Team Sky,0:33 0:33,-,4,2015
