Rnk,Rider,Age,Team,Pnt,year,stage
1,Rasmussen Michael,30,Rabobank ProTeam,99,2004,7
2,Gutierrez Jose Enrique,29,Phonak Hearing Systems,86,2004,7
3,Mayo Iban,26,Euskaltel - Euskadi,59,2004,7
4,Dekker Erik,33,Rabobank ProTeam,57,2004,7
5,O'Grady Stuart,30,Cofidis,54,2004,7
6,Geslin Anthony,24,Brioches La Boulang\xe8re,53,2004,7
7,Landaluze Inigo,27,Euskaltel - Euskadi,50,2004,7
8,Reynaud Nicolas,27,R.a.g.t Semence - Mg Rover,49,2004,7
9,Horrillo Pedro,29,Quickstep - Davitamon,45,2004,7
10,Halgand Patrice,30,Cr\xe9dit Agricole,41,2004,7
11,Casar Sandy,25,Fdjeux.com,40,2004,7
12,Muravyev Dmitriy,24,Cr\xe9dit Agricole,38,2004,7
13,Hamilton Tyler,33,Phonak Hearing Systems,38,2004,7
14,Sevilla Oscar,27,Phonak Hearing Systems,36,2004,7
15,Mercado Juan Miguel,25,Quickstep - Davitamon,34,2004,7
16,Flores Iker,27,Euskaltel - Euskadi,32,2004,7
17,Cama\xf1o Iker,25,Euskaltel - Euskadi,28,2004,7
18,Armstrong Lance,32,US Postal Service,27,2004,7
19,Tombak Janek,27,Cofidis,23,2004,7
20,Portal Nicolas,25,AG2R Pr\xe9voyance,22,2004,7
21,Pereiro Oscar,26,Phonak Hearing Systems,21,2004,7
22,Martinez Egoi,26,Euskaltel - Euskadi,20,2004,7
23,Gonzalez Santos,30,Phonak Hearing Systems,19,2004,7
24,Noval Benjamin,25,US Postal Service,15,2004,7
25,Goubert Stephane,34,AG2R Pr\xe9voyance,14,2004,7
26,Leipheimer Levi,30,Rabobank ProTeam,14,2004,7
27,Landis Floyd,28,US Postal Service,13,2004,7
28,Virenque Richard,34,Quickstep - Davitamon,12,2004,7
29,Martin Ludovic,28,R.a.g.t Semence - Mg Rover,12,2004,7
30,Bessy Fr\xe9d\xe9ric,32,Cofidis,12,2004,7
31,Cooke Baden,25,Fdjeux.com,11,2004,7
32,Moncouti\xe9 David,29,Cofidis,9,2004,7
33,Rogers Michael,24,Quickstep - Davitamon,8,2004,7
34,Hincapie George,30,US Postal Service,8,2004,7
35,de Groot Bram,29,Rabobank ProTeam,8,2004,7
36,Azevedo Jos\xe9 Bento Carvalho,30,US Postal Service,6,2004,7
37,Salmon Benoit,30,Cr\xe9dit Agricole,4,2004,7
38,Dessel Cyril,29,Phonak Hearing Systems,2,2004,7
39,Albizu lizaso Joseba,25,Euskaltel - Euskadi,2,2004,7
40,Botcharov Alexandre,29,Cr\xe9dit Agricole,1,2004,7
41,Isasi Inaki,27,Euskaltel - Euskadi,1,2004,7
42,Chaurreau I\xf1igo,31,AG2R Pr\xe9voyance,1,2004,7
43,Pe\xf1a Victor Hugo,29,US Postal Service,1,2004,7
