Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
21,62,4.0,+0:12,,,Benoot Tiesj,1,Lotto Soudal,3:06:53 3:06:53,,1,2015
24,162,6.0,+0:12,,,Bouhanni Nacer,2,"Cofidis, Solutions Cr\xe9dits",",, ,,",,1,2015
22,124,7.0,+0:12,,,McCarthy Jay,3,Tinkoff - Saxo,",, ,,",,1,2015
24,31,11.0,+0:12,,,Kelderman Wilco,4,Team LottoNL-Jumbo,",, ,,",,1,2015
24,185,13.0,+0:12,,,Ludvigsson Tobias,5,Team Giant - Alpecin,",, ,,",,1,2015
22,101,15.0,+0:12,,,Alaphilippe Julian,6,Etixx - Quick Step,",, ,,",,1,2015
23,181,18.0,+0:12,,,Craddock Lawson,7,Team Giant - Alpecin,",, ,,",,1,2015
25,127,23.0,+0:12,,,Poljanski Pawel,8,Tinkoff - Saxo,",, ,,",,1,2015
25,32,24.0,+0:12,,,Bennett George,9,Team LottoNL-Jumbo,",, ,,",,1,2015
24,41,35.0,+0:12,,,Bardet Romain,10,AG2R La Mondiale,",, ,,",,1,2015
23,196,47.0,+0:12,,,Meintjes Louis,11,MTN - Qhubeka,",, ,,",,1,2015
24,122,60.0,+0:12,,,Hansen Jesper,12,Tinkoff - Saxo,",, ,,",,1,2015
22,58,65.0,+0:12,,,Yates Simon,13,Orica GreenEDGE,",, ,,",,1,2015
23,174,68.0,+0:12,,,Elissonde Kenny,14,FDJ,",, ,,",,1,2015
25,92,72.0,+0:12,,,Dennis Rohan,15,BMC Racing Team,",, ,,",,1,2015
22,202,83.0,+0:12,,,Buchmann Emanuel,16,Bora - Argon 18,",, ,,",,1,2015
22,57,84.0,+0:12,,,Yates Adam,17,Orica GreenEDGE,",, ,,",,1,2015
24,68,89.0,+0:12,,,Wellens Tim,18,Lotto Soudal,",, ,,",,1,2015
22,55,103.0,+3:00,,,Cort Nielsen Magnus,19,Orica GreenEDGE,2:48 2:48,,1,2015
22,164,110.0,+3:00,,,Laporte Christophe,20,"Cofidis, Solutions Cr\xe9dits",",, 2:48",,1,2015
25,121,119.0,+3:00,,,Beltran Edward,21,Tinkoff - Saxo,",, 2:48",,1,2015
24,12,131.0,+3:00,,,Boswell Ian,22,Team Sky,",, 2:48",,1,2015
25,17,135.0,+4:28,,,Rowe Luke,23,Team Sky,4:16 4:16,,1,2015
24,153,138.0,+4:28,,,Guillemois Romain,24,Team Europcar,",, 4:16",,1,2015
24,67,140.0,+4:28,,,Van der Sande Tosh,25,Lotto Soudal,",, 4:16",,1,2015
23,98,145.0,+4:28,,,Teuns Dylan,26,BMC Racing Team,",, 4:16",,1,2015
22,52,147.0,+4:28,,,Howson Damien,27,Orica GreenEDGE,",, 4:16",,1,2015
21,166,157.0,+7:27,,,S\xe9n\xe9chal Florian,28,"Cofidis, Solutions Cr\xe9dits",7:15 7:15,,1,2015
22,116,161.0,+11:58,,,Watson Calvin,29,Trek Factory Racing,11:46 11:46,,1,2015
23,8,164.0,+11:58,,,van Baarle Dylan,30,Team Cannondale - Garmin,",, 11:46",,1,2015
24,162,3.0,+0:02,,2.0,Bouhanni Nacer,1,"Cofidis, Solutions Cr\xe9dits",7:30:29 7:30:29,\u25b21,2,2015
