Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,\u25bc\u25b2,stage,year
25,27,,,,,Lancaster Brett,1,Ceramica Panaria - Navigare,,+0:00,,0,2005
31,171,,,,,Bettini Paolo,1,Quickstep - Innergetic,,+0:00,-,1,2005
32,65,,,,,McEwen Robbie,1,Davitamon - Lotto,,+0:00,-,2,2005
31,171,,,,,Bettini Paolo,1,Quickstep - Innergetic,,+0:00,-,3,2005
31,171,,,,1.0,Bettini Paolo,1,Quickstep - Innergetic,,+0:00,-,4,2005
29,151,,,,,Di Luca Danilo,1,Liquigas,,+0:00,-,5,2005
31,171,,,,,Bettini Paolo,1,Quickstep - Innergetic,,+0:00,-,6,2005
29,151,,,,,Di Luca Danilo,1,Liquigas,,+0:00,-,7,2005
29,151,,,,1.0,Di Luca Danilo,1,Liquigas,,+0:00,-,8,2005
29,151,,,,1.0,Di Luca Danilo,1,Liquigas,,+0:00,-,9,2005
29,151,,,,1.0,Di Luca Danilo,1,Liquigas,,+0:00,-,10,2005
27,201,,,,,Basso Ivan,1,CSC ProTeam,,+0:00,-,11,2005
27,201,,,,1.0,Basso Ivan,1,CSC ProTeam,,+0:00,-,12,2005
32,71,,,,,Savoldelli Paolo,1,Discovery Channel,,+0:00,-,13,2005
32,71,,,,1.0,Savoldelli Paolo,1,Discovery Channel,,+0:00,-,14,2005
32,71,,,,1.0,Savoldelli Paolo,1,Discovery Channel,,+0:00,-,15,2005
32,71,,,,1.0,Savoldelli Paolo,1,Discovery Channel,,+0:00,-,16,2005
32,71,,,,1.0,Savoldelli Paolo,1,Discovery Channel,,+0:00,-,17,2005
32,71,,,,1.0,Savoldelli Paolo,1,Discovery Channel,,+0:00,-,18,2005
32,71,,,,1.0,Savoldelli Paolo,1,Discovery Channel,,+0:00,-,19,2005
32,71,1.0,+0:00,400.0,1.0,Savoldelli Paolo,1,Discovery Channel,91:25:51 91:25:51,+0:00,-,20,2005
33,2,2.0,+0:28,290.0,,Simoni Gilberto,2,Lampre-Caffita,0:28 0:28,+0:28,-,20,2005
23,43,3.0,+0:45,240.0,,Rujano Jos\xe9 Humberto,3,Colombia - Selle Italia,0:45 0:45,+0:45,-,20,2005
29,151,4.0,+2:42,220.0,,Di Luca Danilo,4,Liquigas,2:42 2:42,+2:42,-,20,2005
29,191,5.0,+3:11,200.0,,Garate Juan Manuel,5,Saunier Duval - Prodir,3:11 3:11,+3:11,-,20,2005
34,81,6.0,+4:22,190.0,,Honchar Serhiy,6,Domina Vacanze,4:22 4:22,+4:22,-,20,2005
24,135,7.0,+11:15,180.0,,Karpets Vladimir,7,Illes Balears - Caisse d'Epargne,11:15 11:15,+11:15,-,20,2005
29,52,8.0,+11:38,170.0,,Caucchioli Pietro,8,Cr\xe9dit Agricole,11:38 11:38,+11:38,-,20,2005
30,103,9.0,+11:40,160.0,,Bruseghin Marzio,9,Fassa Bortolo,11:40 11:40,+11:40,-,20,2005
24,21,10.0,+12:33,150.0,,Sella Emanuele,10,Ceramica Panaria - Navigare,12:33 12:33,+12:33,-,20,2005
26,67,11.0,+13:49,140.0,,Van Huffel Wim,11,Davitamon - Lotto,13:49 13:49,+13:49,-,20,2005
23,122,12.0,+14:42,130.0,,Fothen Markus,12,Gerolsteiner,14:42 14:42,+14:42,-,20,2005
30,153,13.0,+15:26,120.0,,Cioni Dario,13,Liquigas,15:26 15:26,+15:26,-,20,2005
30,31,14.0,+15:52,110.0,,Atienza Daniel,14,Cofidis,15:52 15:52,+15:52,-,20,2005
28,168,15.0,+19:22,100.0,,Valjavec Tadej,15,Phonak Hearing Systems,19:22 19:22,+19:22,-,20,2005
29,137,16.0,+20:46,90.0,,Osa Unai,16,Illes Balears - Caisse d'Epargne,20:46 20:46,+20:46,-,20,2005
27,99,17.0,+21:55,85.0,,S\xe1nchez Samuel,17,Euskaltel - Euskadi,21:55 21:55,+21:55,-,20,2005
23,1,18.0,+24:05,80.0,,Cunego Damiano,18,Lampre-Caffita,24:05 24:05,+24:05,-,20,2005
24,144,19.0,+24:29,75.0,,Caruso Giampaolo,19,Liberty Seguros - W\xfcrth Team,24:29 24:29,+24:29,-,20,2005
29,41,20.0,+25:37,70.0,,Parra Ivan Ramiro,20,Colombia - Selle Italia,25:37 25:37,+25:37,-,20,2005
24,183,21.0,+34:50,65.0,,Kolobnev Alexandr,21,Rabobank ProTeam,34:50 34:50,+34:50,-,20,2005
29,9,22.0,+38:17,60.0,,Javier Vila Francisco,22,Lampre-Caffita,38:17 38:17,+38:17,-,20,2005
31,59,23.0,+44:55,55.0,,Halgand Patrice,23,Cr\xe9dit Agricole,44:55 44:55,+44:55,-,20,2005
34,82,24.0,+46:19,50.0,,Belli Wladimir,24,Domina Vacanze,46:19 46:19,+46:19,-,20,2005
26,212,25.0,+50:49,45.0,,Kessler Matthias,25,T-Mobile Team,50:49 50:49,+50:49,-,20,2005
24,55,26.0,+52:40,40.0,,Le M\xe9vel Christophe,26,Cr\xe9dit Agricole,52:40 52:40,+52:40,-,20,2005
26,61,27.0,+56:02,35.0,,Ardila Mauricio Alberto,27,Davitamon - Lotto,56:02 56:02,+56:02,-,20,2005
27,201,28.0,+57:05,30.0,,Basso Ivan,28,CSC ProTeam,57:05 57:05,+57:05,-,20,2005
23,182,29.0,+1:01:02,25.0,,Eltink Theo,29,Rabobank ProTeam,1:01:02 1:01:02,+61:02,-,20,2005
27,169,30.0,+1:03:32,20.0,,Zampieri Steve,30,Phonak Hearing Systems,1:03:32 1:03:32,+63:32,-,20,2005
31,156,31.0,+1:05:04,20.0,,Miholjevic Vladimir,31,Liquigas,1:05:04 1:05:04,+65:04,-,20,2005
27,24,32.0,+1:05:04,20.0,,Tiralongo Paolo,32,Ceramica Panaria - Navigare,",, 1:05:04",+65:04,-,20,2005
28,62,33.0,+1:05:59,20.0,,Brandt Christophe,33,Davitamon - Lotto,1:05:59 1:05:59,+65:59,-,20,2005
32,84,34.0,+1:10:34,20.0,,Celestino Mirko,34,Domina Vacanze,1:10:34 1:10:34,+70:34,-,20,2005
28,16,35.0,+1:10:42,20.0,,Lefevre Laurent,35,Bouygues Telecom,1:10:42 1:10:42,+70:42,-,20,2005
25,51,36.0,+1:12:25,20.0,,Bellotti Francesco,36,Cr\xe9dit Agricole,1:12:25 1:12:25,+72:25,-,20,2005
31,134,37.0,+1:14:24,20.0,,Horrach Joan,37,Illes Balears - Caisse d'Epargne,1:14:24 1:14:24,+74:24,-,20,2005
31,171,38.0,+1:18:04,20.0,,Bettini Paolo,38,Quickstep - Innergetic,1:18:04 1:18:04,+78:04,-,20,2005
31,22,39.0,+1:19:47,20.0,,Mazzanti Luca,39,Ceramica Panaria - Navigare,1:19:47 1:19:47,+79:47,-,20,2005
29,37,40.0,+1:21:06,20.0,,Trentin Guido,40,Cofidis,1:21:06 1:21:06,+81:06,-,20,2005
22,166,41.0,+1:21:41,20.0,,Tschopp Johann,41,Phonak Hearing Systems,1:21:41 1:21:41,+81:41,-,20,2005
25,203,42.0,+1:23:44,20.0,,Schleck Fr\xe4nk,42,CSC ProTeam,1:23:44 1:23:44,+83:44,-,20,2005
26,193,43.0,+1:24:06,20.0,,Lobato Ruben,43,Saunier Duval - Prodir,1:24:06 1:24:06,+84:06,-,20,2005
25,28,44.0,+1:28:51,20.0,,Laverde Luis Felipe,44,Ceramica Panaria - Navigare,1:28:51 1:28:51,+88:51,-,20,2005
36,158,45.0,+1:29:11,20.0,,Noe Andrea,45,Liquigas,1:29:11 1:29:11,+89:11,-,20,2005
27,159,46.0,+1:30:13,20.0,,Wegelius Charles,46,Liquigas,1:30:13 1:30:13,+90:13,-,20,2005
25,148,47.0,+1:33:08,20.0,,Scarponi Michele,47,Liberty Seguros - W\xfcrth Team,1:33:08 1:33:08,+93:08,-,20,2005
29,195,48.0,+1:35:46,20.0,,Pinotti Marco,48,Saunier Duval - Prodir,1:35:46 1:35:46,+95:46,-,20,2005
28,97,49.0,+1:42:00,20.0,,Zubeldia Haimar,49,Euskaltel - Euskadi,1:42:00 1:42:00,+102:00,-,20,2005
27,4,50.0,+1:43:33,20.0,,Petrov Evgeni,50,Lampre-Caffita,1:43:33 1:43:33,+103:33,-,20,2005
29,184,51.0,+1:44:57,20.0,,Niermann Grischa,51,Rabobank ProTeam,1:44:57 1:44:57,+104:57,-,20,2005
35,93,52.0,+1:47:24,20.0,,Laiseka jaio Roberto,52,Euskaltel - Euskadi,1:47:24 1:47:24,+107:24,-,20,2005
32,176,53.0,+1:49:31,20.0,,Moreni Cristian,53,Quickstep - Innergetic,1:49:31 1:49:31,+109:31,-,20,2005
34,38,54.0,+1:50:10,20.0,,Vasseur C\xe9dric,54,Cofidis,1:50:10 1:50:10,+110:10,-,20,2005
33,5,55.0,+1:52:27,20.0,,Tonti Andrea,55,Lampre-Caffita,1:52:27 1:52:27,+112:27,-,20,2005
33,216,56.0,+1:57:49,20.0,,Schaffrath Jan,56,T-Mobile Team,1:57:49 1:57:49,+117:49,-,20,2005
32,142,57.0,+2:04:12,20.0,,Baranowski Dariusz,57,Liberty Seguros - W\xfcrth Team,2:04:12 2:04:12,+124:12,-,20,2005
25,218,58.0,+2:05:22,20.0,,Werner Christian,58,T-Mobile Team,2:05:22 2:05:22,+125:22,-,20,2005
29,125,59.0,+2:05:27,20.0,,Montgomery Sven,59,Gerolsteiner,2:05:27 2:05:27,+125:27,-,20,2005
34,79,60.0,+2:10:40,20.0,,Padrnos Pavel,60,Discovery Channel,2:10:40 2:10:40,+130:40,-,20,2005
30,146,61.0,+2:11:16,20.0,,Hruska Jan,61,Liberty Seguros - W\xfcrth Team,2:11:16 2:11:16,+131:16,-,20,2005
31,141,62.0,+2:11:59,20.0,,Andrle Ren\xe9,62,Liberty Seguros - W\xfcrth Team,2:11:59 2:11:59,+131:59,-,20,2005
34,219,63.0,+2:14:25,20.0,,Zabel Erik,63,T-Mobile Team,2:14:25 2:14:25,+134:25,-,20,2005
27,8,64.0,+2:14:29,20.0,,Szmyd Sylwester,64,Lampre-Caffita,2:14:29 2:14:29,+134:29,-,20,2005
27,147,65.0,+2:15:08,20.0,,Ramirez Javier,65,Liberty Seguros - W\xfcrth Team,2:15:08 2:15:08,+135:08,-,20,2005
26,6,66.0,+2:15:19,20.0,,Sabaliauskas Marius,66,Lampre-Caffita,2:15:19 2:15:19,+135:19,-,20,2005
32,7,67.0,+2:18:42,20.0,,Stangelj Gorazd,67,Lampre-Caffita,2:18:42 2:18:42,+138:42,-,20,2005
26,96,68.0,+2:21:21,20.0,,Verdugo Gorka,68,Euskaltel - Euskadi,2:21:21 2:21:21,+141:21,-,20,2005
27,174,69.0,+2:24:32,20.0,,Engels Addy,69,Quickstep - Innergetic,2:24:32 2:24:32,+144:32,-,20,2005
31,86,70.0,+2:24:49,20.0,,Ivanov Ruslan,70,Domina Vacanze,2:24:49 2:24:49,+144:49,-,20,2005
21,114,71.0,+2:26:08,20.0,,Monnerais Cyrille,71,Fran\xe7aise des Jeux,2:26:08 2:26:08,+146:08,-,20,2005
30,111,72.0,+2:26:30,20.0,,Da Cruz Carlos,72,Fran\xe7aise des Jeux,2:26:30 2:26:30,+146:30,-,20,2005
32,206,73.0,+2:27:24,20.0,,Blaudzun Michael,73,CSC ProTeam,2:27:24 2:27:24,+147:24,-,20,2005
24,89,74.0,+2:29:35,20.0,,Vanotti Alessandro,74,Domina Vacanze,2:29:35 2:29:35,+149:35,-,20,2005
20,181,75.0,+2:30:20,20.0,,Dekker Thomas,75,Rabobank ProTeam,2:30:20 2:30:20,+150:20,-,20,2005
31,165,76.0,+2:30:31,20.0,,Schnider Daniel,76,Phonak Hearing Systems,2:30:31 2:30:31,+150:31,-,20,2005
33,202,77.0,+2:31:24,20.0,,Peron Andrea,77,CSC ProTeam,2:31:24 2:31:24,+151:24,-,20,2005
23,57,78.0,+2:33:28,20.0,,Talabardon Yannick,78,Cr\xe9dit Agricole,2:33:28 2:33:28,+153:28,-,20,2005
24,192,79.0,+2:37:52,20.0,,Gomez Gomez Angel,79,Saunier Duval - Prodir,2:37:52 2:37:52,+157:52,-,20,2005
26,196,80.0,+2:39:51,20.0,,Rodr\xedguez Joaquim,80,Saunier Duval - Prodir,2:39:51 2:39:51,+159:51,-,20,2005
26,118,81.0,+2:44:09,20.0,,Casar Sandy,81,Fran\xe7aise des Jeux,2:44:09 2:44:09,+164:09,-,20,2005
22,13,82.0,+2:48:13,20.0,,Bonnaire Olivier,82,Bouygues Telecom,2:48:13 2:48:13,+168:13,-,20,2005
22,98,83.0,+2:49:40,20.0,,Anton Igor,83,Euskaltel - Euskadi,2:49:40 2:49:40,+169:40,-,20,2005
23,178,84.0,+2:51:29,20.0,,Pozzato Filippo,84,Quickstep - Innergetic,2:51:29 2:51:29,+171:29,-,20,2005
24,194,85.0,+2:53:27,20.0,,Mori Manuele,85,Saunier Duval - Prodir,2:53:27 2:53:27,+173:27,-,20,2005
28,44,86.0,+2:53:38,20.0,,Illiano Raffaele,86,Colombia - Selle Italia,2:53:38 2:53:38,+173:38,-,20,2005
32,204,87.0,+2:57:00,20.0,,Luttenberger Peter,87,CSC ProTeam,2:57:00 2:57:00,+177:00,-,20,2005
35,205,88.0,+2:57:09,20.0,,Lombardi Giovanni,88,CSC ProTeam,2:57:09 2:57:09,+177:09,-,20,2005
28,33,89.0,+2:57:21,20.0,,Fofonov Dimitri,89,Cofidis,2:57:21 2:57:21,+177:21,-,20,2005
23,131,90.0,+2:58:31,20.0,,Carrasco Gamiz Jos\xe9 Luis,90,Illes Balears - Caisse d'Epargne,2:58:31 2:58:31,+178:31,-,20,2005
26,73,91.0,+3:00:13,20.0,,Bileka Volodymyr,91,Discovery Channel,3:00:13 3:00:13,+180:13,-,20,2005
25,56,92.0,+3:01:43,20.0,,Muravyev Dmitriy,92,Cr\xe9dit Agricole,3:01:43 3:01:43,+181:43,-,20,2005
28,105,93.0,+3:01:50,20.0,,Gustov Volodymyr,93,Fassa Bortolo,3:01:50 3:01:50,+181:50,-,20,2005
30,163,94.0,+3:05:22,20.0,,Murn Uros,94,Phonak Hearing Systems,3:05:22 3:05:22,+185:22,-,20,2005
27,23,95.0,+3:05:35,20.0,,Perez Cuapio Julio Alberto,95,Ceramica Panaria - Navigare,3:05:35 3:05:35,+185:35,-,20,2005
31,107,96.0,+3:06:25,20.0,,Sacchi Fabio,96,Fassa Bortolo,3:06:25 3:06:25,+186:25,-,20,2005
32,152,97.0,+3:06:26,20.0,,Andriotto Dario,97,Liquigas,3:06:26 3:06:26,+186:26,-,20,2005
29,115,98.0,+3:08:38,20.0,,Jegou Lilian,98,Fran\xe7aise des Jeux,3:08:38 3:08:38,+188:38,-,20,2005
29,106,99.0,+3:09:25,20.0,,Ongarato Alberto,99,Fassa Bortolo,3:09:25 3:09:25,+189:25,-,20,2005
31,101,100.0,+3:09:30,20.0,,Petacchi Alessandro,100,Fassa Bortolo,3:09:30 3:09:30,+189:30,-,20,2005
29,72,101.0,+3:11:01,20.0,,Barry Michael,101,Discovery Channel,3:11:01 3:11:01,+191:01,-,20,2005
28,128,102.0,+3:12:35,20.0,,Strauss Marcel,102,Gerolsteiner,3:12:35 3:12:35,+192:35,-,20,2005
31,109,103.0,+3:13:24,20.0,,Velo Marco,103,Fassa Bortolo,3:13:24 3:13:24,+193:24,-,20,2005
26,207,104.0,+3:13:24,20.0,,Zabriskie David,104,CSC ProTeam,",, 3:13:24",+193:24,-,20,2005
32,11,105.0,+3:15:06,20.0,,Beneteau Walter,105,Bouygues Telecom,3:15:06 3:15:06,+195:06,-,20,2005
27,64,106.0,+3:15:34,20.0,,Leukemans Bjorn,106,Davitamon - Lotto,3:15:34 3:15:34,+195:34,-,20,2005
29,77,107.0,+3:15:50,20.0,,Joachim Benoit,107,Discovery Channel,3:15:50 3:15:50,+195:50,-,20,2005
23,187,108.0,+3:16:00,20.0,,Sutherland Rory,108,Rabobank ProTeam,3:16:00 3:16:00,+196:00,-,20,2005
