Rnk,BIB,Rider,Age,Team,year,stage
1,36,Rodr\xedguez Joaquim,33,Team Katusha,2012,20
2,107,Cavendish Mark,27,Sky Procycling,2012,20
3,214,Hesjedal Ryder,31,Team Garmin - Barracuda,2012,20
4,66,Scarponi Michele,32,Lampre - ISD,2012,20
5,7,Pozzovivo Domenico,29,Colnago CSF Bardiani,2012,20
6,48,De Gendt Thomas,25,Vacansoleil - DCM,2012,20
7,126,Basso Ivan,34,Liquigas - Cannondale,2012,20
8,38,Kristoff Alexander,24,Team Katusha,2012,20
9,109,Thomas Geraint,26,Sky Procycling,2012,20
10,83,Amador Andrey,25,Movistar Team,2012,20
11,112,Gadret John,33,AG2R La Mondiale,2012,20
12,105,Uran Rigoberto,25,Sky Procycling,2012,20
13,49,Keizer Martijn,24,Vacansoleil - DCM,2012,20
14,173,Nieve Mikel,28,Euskaltel - Euskadi,2012,20
15,79,Tiralongo Paolo,34,Astana Pro Team,2012,20
16,159,De Marchi Alessandro,26,Androni Giocattoli - Venezuela,2012,20
17,77,Kreuziger Roman,26,Astana Pro Team,2012,20
18,85,Intxausti Be\xf1at,26,Movistar Team,2012,20
19,198,Soupe Geoffrey,24,FDJ - BigMat,2012,20
20,169,Bak Lars Ytting,32,Lotto Belisol Team,2012,20
21,205,Nizzolo Giacomo,23,RadioShack - Nissan,2012,20
22,211,Rasmussen Alex,27,Team Garmin - Barracuda,2012,20
23,151,Rubiano Miguel Angel,27,Androni Giocattoli - Venezuela,2012,20
24,139,Rabottini Matteo,24,Farnese Vini-Neri-Sottoli,2012,20
25,102,Henao Sergio Luis,24,Sky Procycling,2012,20
26,148,Pinotti Marco,36,BMC Racing Team,2012,20
27,89,Ventoso Francisco,30,Movistar Team,2012,20
28,127,Caruso Damiano,24,Liquigas - Cannondale,2012,20
29,56,Cataldo Dario,27,Omega Pharma - Quick-Step,2012,20
30,153,Ferrari Roberto,29,Androni Giocattoli - Venezuela,2012,20
31,61,Cunego Damiano,30,Lampre - ISD,2012,20
32,59,Go\u0142a\u015b Micha\u0142,28,Omega Pharma - Quick-Step,2012,20
33,4,Brambilla Gianluca,24,Colnago CSF Bardiani,2012,20
34,199,Casar Sandy,33,FDJ - BigMat,2012,20
35,17,Huzarski Bartosz,31,Team Netapp,2012,20
36,174,Izagirre Ion,23,Euskaltel - Euskadi,2012,20
37,99,Boaro Manuele,25,Team Saxo Bank - Tinkoff Bank,2012,20
38,69,Malori Adriano,24,Lampre - ISD,2012,20
39,189,Clement Stef,29,Rabobank Cycling Team,2012,20
40,6,Modolo Sacha,24,Colnago CSF Bardiani,2012,20
41,149,Phinney Taylor,21,BMC Racing Team,2012,20
42,15,B\xe1rta Jan,27,Team Netapp,2012,20
43,158,Felline Fabio,22,Androni Giocattoli - Venezuela,2012,20
44,16,Br\xe4ndle Matthias,22,Team Netapp,2012,20
