Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
27,151,,,25.0,,Cavendish Mark,1,Omega Pharma - Quick-Step,,,1,2013
24,78,,,20.0,,Viviani Elia,2,Cannondale Pro Cycling Team,,,1,2013
22,100,,,16.0,,Bouhanni Nacer,3,FDJ.fr,,,1,2013
24,175,,,14.0,,Nizzolo Giacomo,4,RadioShack - Leopard,,,1,2013
39,172,,,12.0,,Hondo Danilo,5,RadioShack - Leopard,,,1,2013
26,161,,,10.0,,Goss Matthew,6,Orica GreenEDGE,,,1,2013
30,148,,,9.0,,Ventoso Francisco,7,Movistar Team,,,1,2013
23,62,,,8.0,,Blythe Adam,8,BMC Racing Team,,,1,2013
29,79,,,7.0,,Wurf Cameron,9,Cannondale Pro Cycling Team,,,1,2013
23,163,,,6.0,,Howard Leigh,10,Orica GreenEDGE,,,1,2013
33,165,,,5.0,,Lancaster Brett,11,Orica GreenEDGE,,,1,2013
24,191,,,4.0,,Degenkolb John,12,Team Argos - Shimano,,,1,2013
29,211,,,3.0,,Marcato Marco,13,Vacansoleil - DCM,,,1,2013
36,111,,,2.0,,Paolini Luca,14,Team Katusha,,,1,2013
32,96,,,1.0,,Tamouridis Ioannis,15,Euskaltel - Euskadi,,,1,2013
24,27,,,2.0,,Rosa Diego,16,Androni Giocattoli - Venezuela,,,1,2013
23,159,,,2.0,,Vermote Julien,17,Omega Pharma - Quick-Step,,,1,2013
25,7,,,1.0,,Navardauskas Ramunas,18,Garmin Sharp,,,1,2013
32,184,,,1.0,,Knees Christian,19,Sky Procycling,,,1,2013
23,186,1.0,+0:00,,11.0,Puccio Salvatore,1,Sky Procycling,3:20:43 3:20:43,\u25b210,2,2013
24,143,9.0,+0:09,,15.0,Dowsett Alex,2,Movistar Team,0:09 0:09,\u25b213,2,2013
22,33,13.0,+0:14,,13.0,Aru Fabio,3,Astana Pro Team,0:14 0:14,\u25b210,2,2013
22,122,24.0,+0:22,,24.0,Cattaneo Mattia,4,Lampre - Merida,0:22 0:22,\u25b220,2,2013
24,78,31.0,+0:23,,1.0,Viviani Elia,5,Cannondale Pro Cycling Team,0:23 0:23,\u25bc4,2,2013
25,7,32.0,+0:25,,8.0,Navardauskas Ramunas,6,Garmin Sharp,0:25 0:25,\u25b22,2,2013
24,4,33.0,+0:25,,9.0,Haas Nathan,7,Garmin Sharp,",, 0:25",\u25b22,2,2013
22,162,44.0,+0:28,,18.0,Durbridge Luke,8,Orica GreenEDGE,0:28 0:28,\u25b210,2,2013
22,55,46.0,+0:28,,21.0,Kelderman Wilco,9,Blanco Pro Cycling Team,",, 0:28",\u25b212,2,2013
24,164,48.0,+0:28,,43.0,Keukeleire Jens,10,Orica GreenEDGE,",, 0:28",\u25b233,2,2013
23,219,51.0,+0:34,,30.0,Wauters Willem,11,Vacansoleil - DCM,0:34 0:34,\u25b219,2,2013
22,67,58.0,+0:37,,10.0,Phinney Taylor,12,BMC Racing Team,0:37 0:37,\u25bc2,2,2013
23,43,66.0,+0:41,,19.0,Boem Nicola,13,Bardiani Valvole - CSF Inox,0:41 0:41,\u25b26,2,2013
24,47,67.0,+0:41,,20.0,Locatelli Stefano,14,Bardiani Valvole - CSF Inox,",, 0:41",\u25b26,2,2013
22,44,68.0,+0:41,,28.0,Bongiorno Francesco Manuel,15,Bardiani Valvole - CSF Inox,",, 0:41",\u25b213,2,2013
23,49,69.0,+0:41,,34.0,Zardini Edoardo,16,Bardiani Valvole - CSF Inox,",, 0:41",\u25b218,2,2013
24,175,70.0,+0:43,,3.0,Nizzolo Giacomo,17,RadioShack - Leopard,0:43 0:43,\u25bc14,2,2013
23,201,71.0,+0:43,,14.0,Majka Rafa\u0142,18,Team Saxo - Tinkoff,",, 0:43",\u25bc4,2,2013
23,171,74.0,+0:43,,27.0,Bennett George,19,RadioShack - Leopard,",, 0:43",\u25b28,2,2013
24,179,77.0,+0:43,,31.0,Sergent Jesse,20,RadioShack - Leopard,",, 0:43",\u25b211,2,2013
24,27,81.0,+0:46,,7.0,Rosa Diego,21,Androni Giocattoli - Venezuela,0:46 0:46,\u25bc14,2,2013
23,158,90.0,+0:48,,42.0,Trentin Matteo,22,Omega Pharma - Quick-Step,0:48 0:48,\u25b220,2,2013
23,15,91.0,+0:50,,16.0,Betancur Carlos,23,AG2R La Mondiale,0:50 0:50,\u25bc7,2,2013
23,12,92.0,+0:50,,26.0,Appollonio Davide,24,AG2R La Mondiale,",, 0:50",\u25b22,2,2013
22,104,100.0,+0:55,,40.0,Le Bon Johan,25,FDJ.fr,0:55 0:55,\u25b215,2,2013
25,81,105.0,+0:56,,29.0,Atapuma John Darwin,26,Team Colombia,0:56 0:56,\u25b23,2,2013
24,88,107.0,+0:56,,38.0,Pantano Jarlinson,27,Team Colombia,",, 0:56",\u25b211,2,2013
22,46,120.0,+1:04,,17.0,Colbrelli Sonny,28,Bardiani Valvole - CSF Inox,1:04 1:04,\u25bc11,2,2013
24,191,124.0,+1:13,,6.0,Degenkolb John,29,Team Argos - Shimano,1:13 1:13,\u25bc23,2,2013
24,198,126.0,+1:13,,25.0,Mezgec Luka,30,Team Argos - Shimano,",, 1:13",\u25bc5,2,2013
24,192,127.0,+1:13,,32.0,Damuseau Thomas,31,Team Argos - Shimano,",, 1:13",\u25b21,2,2013
22,197,128.0,+1:13,,37.0,Ludvigsson Tobias,32,Team Argos - Shimano,",, 1:13",\u25b25,2,2013
22,214,136.0,+1:27,,39.0,Lammertink Maurits,33,Vacansoleil - DCM,1:27 1:27,\u25b26,2,2013
23,163,138.0,+1:40,,5.0,Howard Leigh,34,Orica GreenEDGE,1:40 1:40,\u25bc29,2,2013
24,176,150.0,+2:05,,12.0,Oliveira Nelson,35,RadioShack - Leopard,2:05 2:05,\u25bc23,2,2013
24,45,159.0,+2:28,,33.0,Canola Marco,36,Bardiani Valvole - CSF Inox,2:28 2:28,\u25bc3,2,2013
24,95,161.0,+2:31,,36.0,Minguez Miguel,37,Euskaltel - Euskadi,2:31 2:31,\u25bc1,2,2013
