Age,BIB,Pnt,Prev,Rider,Rnk,Team,\u25bc\u25b2,stage,year
26,199,53.0,,Viviani Elia,1,Team Sky,,2,2015
30,15,40.0,,Frapporti Marco,2,Androni Giocattoli - Sidermec,,2,2015
23,184,35.0,,Hofland Moreno,3,Team LottoNL-Jumbo,,2,2015
32,104,25.0,,Greipel Andr\xe9,4,Lotto Soudal,,2,2015
25,186,20.0,,Lindeman Bert-Jan,5,Team LottoNL-Jumbo,,2,2015
25,149,20.0,,Zhupa Eugert,6,Southeast,,2,2015
26,161,18.0,,Mezgec Luka,7,Team Giant - Alpecin,,2,2015
26,211,17.0,,Nizzolo Giacomo,8,Trek Factory Racing,,2,2015
41,148,14.0,,Petacchi Alessandro,9,Southeast,,2,2015
24,131,10.0,,Matthews Michael,10,Orica GreenEDGE,,2,2015
23,122,10.0,,Berlato Giacomo,11,Nippo - Vini Fantini,,2,2015
25,56,10.0,,Owsian Lukasz,12,CCC Sprandi Polkowice,,2,2015
25,12,8.0,,Appollonio Davide,13,Androni Giocattoli - Sidermec,,2,2015
33,124,7.0,,Colli Daniele,14,Nippo - Vini Fantini,,2,2015
37,28,6.0,,Tiralongo Paolo,15,Astana Pro Team,,2,2015
29,52,5.0,,Bole Grega,16,CCC Sprandi Polkowice,,2,2015
24,21,4.0,,Aru Fabio,17,Astana Pro Team,,2,2015
29,205,3.0,,Kreuziger Roman,18,Tinkoff - Saxo,,2,2015
30,54,2.0,,Matysiak Bart\u0142omiej,19,CCC Sprandi Polkowice,,2,2015
29,176,1.0,,Porsev Alexander,20,Team Katusha,,2,2015
26,199,53.0,1.0,Viviani Elia,1,Team Sky,-,3,2015
30,15,40.0,2.0,Frapporti Marco,2,Androni Giocattoli - Sidermec,-,3,2015
23,184,35.0,3.0,Hofland Moreno,3,Team LottoNL-Jumbo,-,3,2015
32,41,26.0,,Gilbert Philippe,4,BMC Racing Team,-,3,2015
32,104,25.0,4.0,Greipel Andr\xe9,5,Lotto Soudal,\u25bc1,3,2015
24,131,25.0,10.0,Matthews Michael,6,Orica GreenEDGE,\u25b24,3,2015
25,149,20.0,6.0,Zhupa Eugert,7,Southeast,\u25bc1,3,2015
25,186,20.0,5.0,Lindeman Bert-Jan,8,Team LottoNL-Jumbo,\u25bc3,3,2015
26,161,18.0,7.0,Mezgec Luka,9,Team Giant - Alpecin,\u25bc2,3,2015
26,211,17.0,8.0,Nizzolo Giacomo,10,Trek Factory Racing,\u25bc2,3,2015
41,148,14.0,9.0,Petacchi Alessandro,11,Southeast,\u25bc2,3,2015
25,215,12.0,,Felline Fabio,12,Trek Factory Racing,-,3,2015
37,28,12.0,15.0,Tiralongo Paolo,13,Astana Pro Team,\u25b22,3,2015
23,122,10.0,11.0,Berlato Giacomo,14,Nippo - Vini Fantini,\u25bc3,3,2015
25,56,10.0,12.0,Owsian Lukasz,15,CCC Sprandi Polkowice,\u25bc3,3,2015
25,12,8.0,13.0,Appollonio Davide,16,Androni Giocattoli - Sidermec,\u25bc3,3,2015
28,134,8.0,,Clarke Simon,17,Orica GreenEDGE,-,3,2015
33,124,7.0,14.0,Colli Daniele,18,Nippo - Vini Fantini,\u25bc4,3,2015
34,175,7.0,,Lagutin Sergey,19,Team Katusha,-,3,2015
38,171,5.0,,Paolini Luca,20,Team Katusha,-,3,2015
29,52,5.0,16.0,Bole Grega,21,CCC Sprandi Polkowice,\u25bc5,3,2015
24,21,4.0,17.0,Aru Fabio,22,Astana Pro Team,\u25bc5,3,2015
30,146,4.0,,Gavazzi Francesco,23,Southeast,-,3,2015
25,33,3.0,,Battaglin Enrico,24,Bardiani - CSF Pro Team,-,3,2015
29,205,3.0,18.0,Kreuziger Roman,25,Tinkoff - Saxo,\u25bc7,3,2015
27,217,2.0,,van Poppel Boy,26,Trek Factory Racing,-,3,2015
31,27,2.0,,Sanchez Luis Leon,27,Astana Pro Team,-,3,2015
30,54,2.0,19.0,Matysiak Bart\u0142omiej,28,CCC Sprandi Polkowice,\u25bc9,3,2015
24,46,2.0,,Dillier Silvan,29,BMC Racing Team,-,3,2015
25,147,1.0,,Monsalve Yonathan,30,Southeast,-,3,2015
26,214,1.0,,Coledan Marco,31,Trek Factory Racing,-,3,2015
29,176,1.0,20.0,Porsev Alexander,32,Team Katusha,\u25bc12,3,2015
26,199,53.0,1.0,Viviani Elia,1,Team Sky,-,4,2015
30,15,40.0,2.0,Frapporti Marco,2,Androni Giocattoli - Sidermec,-,4,2015
23,184,35.0,3.0,Hofland Moreno,3,Team LottoNL-Jumbo,-,4,2015
22,156,26.0,,Formolo Davide,4,Team Cannondale - Garmin,-,4,2015
32,41,26.0,4.0,Gilbert Philippe,5,BMC Racing Team,\u25bc1,4,2015
28,134,26.0,17.0,Clarke Simon,6,Orica GreenEDGE,\u25b211,4,2015
24,131,25.0,6.0,Matthews Michael,7,Orica GreenEDGE,\u25bc1,4,2015
32,104,25.0,5.0,Greipel Andr\xe9,8,Lotto Soudal,\u25bc3,4,2015
25,149,20.0,7.0,Zhupa Eugert,9,Southeast,\u25bc2,4,2015
25,186,20.0,8.0,Lindeman Bert-Jan,10,Team LottoNL-Jumbo,\u25bc2,4,2015
26,161,18.0,9.0,Mezgec Luka,11,Team Giant - Alpecin,\u25bc2,4,2015
33,48,17.0,,Moinard Ama\xebl,12,BMC Racing Team,-,4,2015
26,211,17.0,10.0,Nizzolo Giacomo,13,Trek Factory Racing,\u25bc3,4,2015
25,147,16.0,30.0,Monsalve Yonathan,14,Southeast,\u25b216,4,2015
32,119,14.0,,Visconti Giovanni,15,Movistar Team,-,4,2015
41,148,14.0,11.0,Petacchi Alessandro,16,Southeast,\u25bc5,4,2015
37,28,12.0,13.0,Tiralongo Paolo,17,Astana Pro Team,\u25bc4,4,2015
25,215,12.0,12.0,Felline Fabio,18,Trek Factory Racing,\u25bc6,4,2015
24,36,10.0,,Colbrelli Sonny,19,Bardiani - CSF Pro Team,-,4,2015
25,56,10.0,15.0,Owsian Lukasz,20,CCC Sprandi Polkowice,\u25bc5,4,2015
