Rnk,BIB,Rider,Age,Team,Pnt,year,stage
1,61,Sella Emanuele,27,CSF Group - Navigare,136,2008,21
2,212,Kiryienka Vasil,26,Tinkoff Credit Systems,63,2008,21
3,62,Baliani Fortunato,33,CSF Group - Navigare,48,2008,21
4,65,Perez Cuapio Julio Alberto,30,CSF Group - Navigare,20,2008,21
5,162,Bertolini Alessandro,36,Serramenti PVC Diquigiovanni-Androni Giocattoli,20,2008,21
6,24,Colom Antonio,30,Astana,20,2008,21
7,132,Efimkin Alexander,26,Quickstep - Innergetic,20,2008,21
8,3,Bosisio Gabriele,27,Team LPR Brakes,19,2008,21
9,33,Rafael Cardenas F\xe9lix,35,Barloworld,19,2008,21
10,48,Rujano Jos\xe9 Humberto,26,Caisse d'Epargne,18,2008,21
11,127,Pellizotti Franco,30,Liquigas,17,2008,21
12,1,Di Luca Danilo,32,Team LPR Brakes,17,2008,21
13,47,Rodr\xedguez Joaquim,29,Caisse d'Epargne,17,2008,21
14,151,Ricco Riccardo,24,Saunier Duval,13,2008,21
15,44,Lastras Pablo,32,Caisse d'Epargne,12,2008,21
16,161,Simoni Gilberto,36,Serramenti PVC Diquigiovanni-Androni Giocattoli,11,2008,21
17,69,Pozzovivo Domenico,25,CSF Group - Navigare,10,2008,21
18,43,Karpets Vladimir,27,Caisse d'Epargne,9,2008,21
19,34,Cummings Stephen,27,Barloworld,8,2008,21
20,68,Dall'Antonia Tiziano,24,CSF Group - Navigare,6,2008,21
21,9,Spezialetti Alessandro,33,Team LPR Brakes,5,2008,21
22,22,Contador Alberto,25,Astana,5,2008,21
23,89,Veikkanen Jussi,27,Fran\xe7aise des Jeux,5,2008,21
24,7,Pietropolli Daniele,27,Team LPR Brakes,5,2008,21
25,211,Petrov Evgeni,30,Tinkoff Credit Systems,4,2008,21
26,198,S\xf8rensen Nicki,33,CSC ProTeam,4,2008,21
27,5,Ermeti Giairo,27,Team LPR Brakes,4,2008,21
28,149,Ardila Mauricio Alberto,29,Rabobank ProTeam,3,2008,21
29,64,Laverde Luis Felipe,28,CSF Group - Navigare,3,2008,21
30,114,Loosli David,28,Lampre,3,2008,21
31,119,Gavazzi Francesco,23,Lampre,3,2008,21
32,19,Krivtsov Yuriy,29,AG2R La Mondiale,3,2008,21
33,131,Bettini Paolo,34,Quickstep - Innergetic,3,2008,21
34,196,Voigt Jens,36,CSC ProTeam,3,2008,21
35,14,Mangel Laurent,27,AG2R La Mondiale,3,2008,21
36,45,Perez Francisco,29,Caisse d'Epargne,2,2008,21
37,129,Wegelius Charles,30,Liquigas,2,2008,21
38,87,Roy J\xe9r\xe9my,24,Fran\xe7aise des Jeux,2,2008,21
39,51,Buffaz Mickael,29,Cofidis,2,2008,21
40,215,Ignatyev Mikhail,23,Tinkoff Credit Systems,2,2008,21
41,6,Gol\u010der Jure,30,Team LPR Brakes,1,2008,21
42,167,Nardello Daniele,35,Serramenti PVC Diquigiovanni-Androni Giocattoli,1,2008,21
43,93,Fr\xf6hlinger Johannes,22,Gerolsteiner,1,2008,21
44,15,Nocentini Rinaldo,30,AG2R La Mondiale,1,2008,21
45,137,Seeldraeyers Kevin,21,Quickstep - Innergetic,1,2008,21
46,56,Huguet Yann,24,Cofidis,1,2008,21
