Rnk,BIB,Rider,Age,Team,year,stage
1,139,Rabottini Matteo,24,Farnese Vini-Neri-Sottoli,2012,20
2,3,Pirazzi Stefano,25,Colnago CSF Bardiani,2012,20
3,83,Amador Andrey,25,Movistar Team,2012,20
4,59,Go\u0142a\u015b Micha\u0142,28,Omega Pharma - Quick-Step,2012,20
5,7,Pozzovivo Domenico,29,Colnago CSF Bardiani,2012,20
6,15,B\xe1rta Jan,27,Team Netapp,2012,20
7,151,Rubiano Miguel Angel,27,Androni Giocattoli - Venezuela,2012,20
8,214,Hesjedal Ryder,31,Team Garmin - Barracuda,2012,20
9,36,Rodr\xedguez Joaquim,33,Team Katusha,2012,20
10,48,De Gendt Thomas,25,Vacansoleil - DCM,2012,20
11,199,Casar Sandy,33,FDJ - BigMat,2012,20
12,207,Rohregger Thomas,29,RadioShack - Nissan,2012,20
13,61,Cunego Damiano,30,Lampre - ISD,2012,20
14,77,Kreuziger Roman,26,Astana Pro Team,2012,20
15,201,Zaugg Oliver,31,RadioShack - Nissan,2012,20
16,159,De Marchi Alessandro,26,Androni Giocattoli - Venezuela,2012,20
17,66,Scarponi Michele,32,Lampre - ISD,2012,20
18,133,Failli Francesco,28,Farnese Vini-Neri-Sottoli,2012,20
19,72,Seeldraeyers Kevin,25,Astana Pro Team,2012,20
20,79,Tiralongo Paolo,34,Astana Pro Team,2012,20
21,173,Nieve Mikel,28,Euskaltel - Euskadi,2012,20
22,175,Txurruka Amets,29,Euskaltel - Euskadi,2012,20
23,152,Sella Emanuele,31,Androni Giocattoli - Venezuela,2012,20
24,126,Basso Ivan,34,Liquigas - Cannondale,2012,20
25,206,Bakelants Jan,26,RadioShack - Nissan,2012,20
26,157,Serpa Jose Rodolfo,33,Androni Giocattoli - Venezuela,2012,20
27,118,Bonnafond Guillaume,24,AG2R La Mondiale,2012,20
28,127,Caruso Damiano,24,Liquigas - Cannondale,2012,20
29,162,Kaisen Olivier,29,Lotto Belisol Team,2012,20
30,33,Losada Alberto,30,Team Katusha,2012,20
31,189,Clement Stef,29,Rabobank Cycling Team,2012,20
32,119,Montaguti Matteo,28,AG2R La Mondiale,2012,20
33,12,Benedetti Cesare,24,Team Netapp,2012,20
34,148,Pinotti Marco,36,BMC Racing Team,2012,20
35,144,Santaromita Ivan,28,BMC Racing Team,2012,20
36,134,De Negri Pier Paolo,25,Farnese Vini-Neri-Sottoli,2012,20
37,22,Beppu Fumiyuki,29,Orica GreenEDGE,2012,20
38,217,Vande Velde Christian,36,Team Garmin - Barracuda,2012,20
39,187,Slagter Tom-Jelte,22,Rabobank Cycling Team,2012,20
40,129,Capecchi Eros,25,Liquigas - Cannondale,2012,20
41,85,Intxausti Be\xf1at,26,Movistar Team,2012,20
42,87,Samoilau Branislau,27,Movistar Team,2012,20
43,54,Pauwels Serge,28,Omega Pharma - Quick-Step,2012,20
44,156,Rodriguez Jackson,27,Androni Giocattoli - Venezuela,2012,20
45,183,Garate Juan Manuel,36,Rabobank Cycling Team,2012,20
46,49,Keizer Martijn,24,Vacansoleil - DCM,2012,20
47,105,Uran Rigoberto,25,Sky Procycling,2012,20
48,123,Szmyd Sylwester,34,Liquigas - Cannondale,2012,20
49,196,Delage Micka\xebl,26,FDJ - BigMat,2012,20
50,178,Minguez Miguel,23,Euskaltel - Euskadi,2012,20
51,102,Henao Sergio Luis,24,Sky Procycling,2012,20
52,103,Flecha Juan Antonio,34,Sky Procycling,2012,20
53,69,Malori Adriano,24,Lampre - ISD,2012,20
54,17,Huzarski Bartosz,31,Team Netapp,2012,20
55,169,Bak Lars Ytting,32,Lotto Belisol Team,2012,20
56,45,Denifl Stefan,24,Vacansoleil - DCM,2012,20
57,42,Carrara Matteo,33,Vacansoleil - DCM,2012,20
58,167,Bulgac Brian,24,Lotto Belisol Team,2012,20
59,131,Gatto Oscar,27,Farnese Vini-Neri-Sottoli,2012,20
60,219,Navardauskas Ramunas,24,Team Garmin - Barracuda,2012,20
61,112,Gadret John,33,AG2R La Mondiale,2012,20
62,86,Bruseghin Marzio,37,Movistar Team,2012,20
63,128,Agnoli Valerio,27,Liquigas - Cannondale,2012,20
64,39,Vicioso \xc1ngel,35,Team Katusha,2012,20
65,145,Frank Mathias,25,BMC Racing Team,2012,20
66,64,Bono Matteo,28,Lampre - ISD,2012,20
67,111,B\xe9rard Julien,24,AG2R La Mondiale,2012,20
68,213,Bauer Jack,27,Team Garmin - Barracuda,2012,20
69,44,Selvaggi Mirko,27,Vacansoleil - DCM,2012,20
70,171,Saez De Arregi Adrian,26,Euskaltel - Euskadi,2012,20
