Age,BIB,Pnt,Prev,Rider,Rnk,Team,\u25bc\u25b2,stage,year
25,186,3,,Lindeman Bert-Jan,1,Team LottoNL-Jumbo,,2,2015
25,56,2,,Owsian Lukasz,2,CCC Sprandi Polkowice,,2,2015
23,122,1,,Berlato Giacomo,3,Nippo - Vini Fantini,,2,2015
29,174,15,,Kochetkov Pavel,1,Team Katusha,-,3,2015
25,91,12,,Ulissi Diego,2,Lampre - Merida,-,3,2015
25,39,7,,Zardini Edoardo,3,Bardiani - CSF Pro Team,-,3,2015
25,133,6,,Chaves Johan Esteban,4,Orica GreenEDGE,-,3,2015
24,115,6,,Herrada Jes\xfas,4,Movistar Team,-,3,2015
25,186,3,1.0,Lindeman Bert-Jan,6,Team LottoNL-Jumbo,\u25bc5,3,2015
32,41,2,,Gilbert Philippe,7,BMC Racing Team,-,3,2015
25,56,2,2.0,Owsian Lukasz,7,CCC Sprandi Polkowice,\u25bc5,3,2015
34,105,1,,Hansen Adam,9,Lotto Soudal,-,3,2015
23,122,1,3.0,Berlato Giacomo,9,Nippo - Vini Fantini,\u25bc6,3,2015
30,146,1,,Gavazzi Francesco,9,Southeast,-,3,2015
29,174,15,1.0,Kochetkov Pavel,1,Team Katusha,-,4,2015
22,156,14,,Formolo Davide,2,Team Cannondale - Garmin,-,4,2015
25,39,14,3.0,Zardini Edoardo,3,Bardiani - CSF Pro Team,-,4,2015
25,91,12,2.0,Ulissi Diego,4,Lampre - Merida,\u25bc2,4,2015
25,133,6,4.0,Chaves Johan Esteban,5,Orica GreenEDGE,\u25bc1,4,2015
32,119,6,,Visconti Giovanni,6,Movistar Team,-,4,2015
24,115,6,4.0,Herrada Jes\xfas,7,Movistar Team,\u25bc3,4,2015
28,112,5,,Amador Andrey,8,Movistar Team,-,4,2015
37,11,4,,Pellizotti Franco,9,Androni Giocattoli - Sidermec,-,4,2015
25,186,3,6.0,Lindeman Bert-Jan,10,Team LottoNL-Jumbo,\u25bc4,4,2015
33,48,2,,Moinard Ama\xebl,11,BMC Racing Team,-,4,2015
32,41,2,7.0,Gilbert Philippe,12,BMC Racing Team,\u25bc5,4,2015
25,197,2,,Puccio Salvatore,13,Team Sky,-,4,2015
25,56,2,7.0,Owsian Lukasz,14,CCC Sprandi Polkowice,\u25bc7,4,2015
30,22,1,,Cataldo Dario,15,Astana Pro Team,-,4,2015
28,29,1,,Zeits Andrey,16,Astana Pro Team,-,4,2015
30,146,1,9.0,Gavazzi Francesco,17,Southeast,\u25bc8,4,2015
34,105,1,9.0,Hansen Adam,18,Lotto Soudal,\u25bc9,4,2015
23,122,1,9.0,Berlato Giacomo,19,Nippo - Vini Fantini,\u25bc10,4,2015
34,139,1,,Weening Pieter,20,Orica GreenEDGE,-,4,2015
23,97,15,,Polanc Jan,1,Lampre - Merida,-,5,2015
29,174,15,1.0,Kochetkov Pavel,2,Team Katusha,\u25bc1,5,2015
22,156,14,2.0,Formolo Davide,3,Team Cannondale - Garmin,\u25bc1,5,2015
25,39,14,3.0,Zardini Edoardo,4,Bardiani - CSF Pro Team,\u25bc1,5,2015
25,91,12,4.0,Ulissi Diego,5,Lampre - Merida,\u25bc1,5,2015
35,81,10,,Chavanel Sylvain,6,IAM Cycling,-,5,2015
24,4,7,,Domont Axel,7,AG2R La Mondiale,-,5,2015
24,21,6,,Aru Fabio,8,Astana Pro Team,-,5,2015
25,133,6,5.0,Chaves Johan Esteban,9,Orica GreenEDGE,\u25bc4,5,2015
32,119,6,6.0,Visconti Giovanni,10,Movistar Team,\u25bc4,5,2015
24,115,6,7.0,Herrada Jes\xfas,11,Movistar Team,\u25bc4,5,2015
28,112,5,8.0,Amador Andrey,12,Movistar Team,\u25bc4,5,2015
32,201,4,,Contador Alberto,13,Tinkoff - Saxo,-,5,2015
24,46,4,,Dillier Silvan,14,BMC Racing Team,-,5,2015
37,11,4,9.0,Pellizotti Franco,15,Androni Giocattoli - Sidermec,\u25bc6,5,2015
25,186,3,10.0,Lindeman Bert-Jan,16,Team LottoNL-Jumbo,\u25bc6,5,2015
30,191,2,,Porte Richie,17,Team Sky,-,5,2015
33,48,2,11.0,Moinard Ama\xebl,18,BMC Racing Team,\u25bc7,5,2015
32,41,2,12.0,Gilbert Philippe,19,BMC Racing Team,\u25bc7,5,2015
25,56,2,14.0,Owsian Lukasz,20,CCC Sprandi Polkowice,\u25bc6,5,2015
25,197,2,13.0,Puccio Salvatore,21,Team Sky,\u25bc8,5,2015
30,22,1,15.0,Cataldo Dario,22,Astana Pro Team,\u25bc7,5,2015
25,24,1,,Landa Mikel,23,Astana Pro Team,-,5,2015
28,29,1,16.0,Zeits Andrey,24,Astana Pro Team,\u25bc8,5,2015
30,146,1,17.0,Gavazzi Francesco,25,Southeast,\u25bc8,5,2015
34,105,1,18.0,Hansen Adam,26,Lotto Soudal,\u25bc8,5,2015
23,122,1,19.0,Berlato Giacomo,27,Nippo - Vini Fantini,\u25bc8,5,2015
23,97,15,1.0,Polanc Jan,1,Lampre - Merida,-,6,2015
29,174,15,2.0,Kochetkov Pavel,2,Team Katusha,-,6,2015
22,156,14,3.0,Formolo Davide,3,Team Cannondale - Garmin,-,6,2015
25,39,14,4.0,Zardini Edoardo,4,Bardiani - CSF Pro Team,-,6,2015
25,91,12,5.0,Ulissi Diego,5,Lampre - Merida,-,6,2015
35,81,10,6.0,Chavanel Sylvain,6,IAM Cycling,-,6,2015
24,4,7,7.0,Domont Axel,7,AG2R La Mondiale,-,6,2015
24,21,6,8.0,Aru Fabio,8,Astana Pro Team,-,6,2015
25,133,6,9.0,Chaves Johan Esteban,9,Orica GreenEDGE,-,6,2015
32,119,6,10.0,Visconti Giovanni,10,Movistar Team,-,6,2015
24,115,6,11.0,Herrada Jes\xfas,11,Movistar Team,-,6,2015
28,112,5,12.0,Amador Andrey,12,Movistar Team,-,6,2015
32,201,4,13.0,Contador Alberto,13,Tinkoff - Saxo,-,6,2015
37,11,4,15.0,Pellizotti Franco,14,Androni Giocattoli - Sidermec,\u25b21,6,2015
24,46,4,14.0,Dillier Silvan,15,BMC Racing Team,\u25bc1,6,2015
25,186,3,16.0,Lindeman Bert-Jan,16,Team LottoNL-Jumbo,-,6,2015
27,128,3,,Malaguti Alessandro,17,Nippo - Vini Fantini,-,6,2015
30,191,2,17.0,Porte Richie,18,Team Sky,\u25bc1,6,2015
33,48,2,18.0,Moinard Ama\xebl,19,BMC Racing Team,\u25bc1,6,2015
32,41,2,19.0,Gilbert Philippe,20,BMC Racing Team,\u25bc1,6,2015
25,197,2,21.0,Puccio Salvatore,21,Team Sky,-,6,2015
25,56,2,20.0,Owsian Lukasz,22,CCC Sprandi Polkowice,\u25bc2,6,2015
30,13,2,,Bandiera Marco,23,Androni Giocattoli - Sidermec,-,6,2015
30,22,1,22.0,Cataldo Dario,24,Astana Pro Team,\u25bc2,6,2015
25,24,1,23.0,Landa Mikel,25,Astana Pro Team,\u25bc2,6,2015
