Age,BIB,Pnt,Prev,Rider,Rnk,Team,UCI,\u25bc\u25b2,stage,year
29,52,9.0,,Benedetti Cesare,1,BORA - hansgrohe,,,1,2017
27,219,4.0,,Zhupa Eugert,2,Wilier Triestina - Selle Italia,,,1,2017
28,148,3.0,,Teklehaimanot Daniel,3,Team Dimension Data,,,1,2017
35,92,1.0,,Brutt Pavel,4,Gazprom-RusVelo,,,1,2017
33,72,1.0,,Bialoblocki Marcin,5,CCC Sprandi Polkowice,,,1,2017
28,148,20.0,3.0,Teklehaimanot Daniel,1,Team Dimension Data,,\u25b22,2,2017
29,52,9.0,1.0,Benedetti Cesare,2,BORA - hansgrohe,,\u25bc1,2,2017
26,144,8.0,,Fraile Omar,3,Team Dimension Data,,-,2,2017
23,33,7.0,,Andreetta Simone,4,Bardiani - CSF,,-,2,2017
30,61,6.0,,Rolland Pierre,5,Cannondale-Drapac Pro Cycling Team,,-,2,2017
25,58,4.0,,P\xf6stlberger Lukas,6,BORA - hansgrohe,,-,2,2017
27,219,4.0,2.0,Zhupa Eugert,7,Wilier Triestina - Selle Italia,,\u25bc5,2,2017
25,98,4.0,,Shalunov Evgeny,8,Gazprom-RusVelo,,-,2,2017
33,19,2.0,,Montaguti Matteo,9,AG2R La Mondiale,,-,2,2017
35,92,1.0,4.0,Brutt Pavel,10,Gazprom-RusVelo,,\u25bc6,2,2017
30,3,1.0,,Boaro Manuele,11,Bahrain Merida Pro Cycling Team,,-,2,2017
26,215,1.0,,Koshevoy Ilia,12,Wilier Triestina - Selle Italia,,-,2,2017
33,72,1.0,5.0,Bialoblocki Marcin,13,CCC Sprandi Polkowice,,\u25bc8,2,2017
28,148,20.0,1.0,Teklehaimanot Daniel,1,Team Dimension Data,,-,3,2017
29,52,9.0,2.0,Benedetti Cesare,2,BORA - hansgrohe,,-,3,2017
26,144,8.0,3.0,Fraile Omar,3,Team Dimension Data,,-,3,2017
23,33,7.0,4.0,Andreetta Simone,4,Bardiani - CSF,,-,3,2017
27,219,6.0,7.0,Zhupa Eugert,5,Wilier Triestina - Selle Italia,,\u25b22,3,2017
