Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,stage,year
29.0,53.053000000000004,78.0,1.0,+0:00,80.0,Z\xfclle Alex,1,Festina - Lotus,7:55 7:55,0,1998
27.0,52.941,54.0,,+0:00,50.0,Honchar Serhiy,2,Cantina Tollo - Alexia Alluminio,0:01 0:01,0,1998
31.0,51.958999999999996,65.0,,+0:00,35.0,Kasputis Arturas,3,Casino - AG2R,0:10 0:10,0,1998
24.0,51.638999999999996,108.0,,+0:00,25.0,Velo Marco,4,Mercatone Uno,0:13 0:13,0,1998
24.0,51.534,128.0,,+0:00,18.0,Tauler Toni,5,Ros Mary - Amica Chips,0:14 0:14,0,1998
36.0,51.324,105.0,,+0:00,15.0,Podenzana Massimo,6,Mercatone Uno,0:16 0:16,0,1998
33.0,51.22,106.0,,+0:00,12.0,Fontanelli Fabiano,7,Mercatone Uno,0:17 0:17,0,1998
27.0,51.22,172.0,,+0:00,10.0,Dominguez Juan Carlos,8,Vitalicio Seguros,",, 0:17",0,1998
29.0,51.11600000000001,33.0,,+0:00,8.0,Finco Carlo,9,,0:18 0:18,0,1998
26.0,51.11600000000001,32.0,,+0:00,6.0,Colombo Gabriele,10,,",, 0:18",0,1998
23.0,51.11600000000001,88.0,,+0:00,5.0,Gutierrez Jose Enrique,11,Kelme - Costa Blanca,",, 0:18",0,1998
31.0,51.012,2.0,,+0:00,4.0,Cipollini Mario,12,Saeco Macchine da Caffe' - Cannondale,0:19 0:19,0,1998
27.0,51.012,107.0,,+0:00,3.0,Forconi Riccardo,13,Mercatone Uno,",, 0:19",0,1998
27.0,50.909,21.0,,+0:00,2.0,Bartoli Michele,14,Asics - CGA,0:20 0:20,0,1998
28.0,50.909,73.0,,+0:00,1.0,Boscardin Bruno,15,Festina - Lotus,",, 0:20",0,1998
26.0,50.806000000000004,64.0,,+0:00,,Streel Marc,16,Casino - AG2R,0:21 0:21,0,1998
23.0,50.806000000000004,166.0,,+0:00,,Sironi Gianluca,17,Vini Caldirola - Sidermec,",, 0:21",0,1998
26.0,50.806000000000004,94.0,,+0:00,,Camenzind Oscar,18,Mapei - Bricobi,",, 0:21",0,1998
30.0,50.70399999999999,41.0,,+0:00,,Zaina Enrico,19,Brescialat,0:22 0:22,0,1998
34.0,50.602,92.0,,+0:00,,Bugno Gianni,20,Mapei - Bricobi,0:23 0:23,0,1998
29.0,50.602,91.0,,+0:00,,Tonkov Pavel,21,Mapei - Bricobi,",, 0:23",0,1998
25.0,50.501000000000005,8.0,,+0:00,,Savoldelli Paolo,22,Saeco Macchine da Caffe' - Cannondale,0:24 0:24,0,1998
28.0,50.501000000000005,141.0,,+0:00,,Guerini Giuseppe,23,Polti,",, 0:24",0,1998
25.0,50.501000000000005,81.0,,+0:00,,Rubiera Jos\xe9 Luis,24,Kelme - Costa Blanca,",, 0:24",0,1998
26.0,50.4,142.0,,+0:00,,Cassani Enrico,25,Polti,0:25 0:25,0,1998
27.0,50.299,71.0,,+0:00,,Belli Wladimir,26,Festina - Lotus,0:26 0:26,0,1998
32.0,50.299,62.0,,+0:00,,Jaermann Rolf,27,Casino - AG2R,",, 0:26",0,1998
28.0,50.299,55.0,,+0:00,,Hvastija Martin,28,Cantina Tollo - Alexia Alluminio,",, 0:26",0,1998
29.0,50.299,161.0,,+0:00,,Faustini Stefano,29,Vini Caldirola - Sidermec,",, 0:26",0,1998
33.0,50.299,109.0,,+0:00,,Siboni Marcello,30,Mercatone Uno,",, 0:26",0,1998
24.0,50.199,16.0,,+0:00,,White Matthew,31,Amore & Vita,0:27 0:27,0,1998
38.0,50.099,84.0,,+0:00,,Gonzalez Arsenio,32,Kelme - Costa Blanca,0:28 0:28,0,1998
29.0,50.099,144.0,,+0:00,,Gualdi Mirko,33,Polti,",, 0:28",0,1998
28.0,50.099,76.0,,+0:00,,Meier Armin,34,Festina - Lotus,",, 0:28",0,1998
29.0,50.0,35.0,,+0:00,,Leoni Endrio,35,,0:29 0:29,0,1998
25.0,50.0,44.0,,+0:00,,Serpellini Marco,36,Brescialat,",, 0:29",0,1998
26.0,50.0,149.0,,+0:00,,Salvato Cristian,37,Polti,",, 0:29",0,1998
25.0,50.0,12.0,,+0:00,,Andriotto Dario,38,Amore & Vita,",, 0:29",0,1998
32.0,50.0,96.0,,+0:00,,Faresin Gianni,39,Mapei - Bricobi,",, 0:29",0,1998
