Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,Time won/lost,stage,year
31,,188,,,,Vande Velde Christian,1,,,+0:00,1,2008
24,,151,,+0:00,80.0,Ricco Riccardo,1,Saunier Duval,5:48:35 5:48:35,,2,2008
32,,1,,+0:00,50.0,Di Luca Danilo,2,Team LPR Brakes,",, ,,",,2,2008
36,,98,,+0:00,35.0,Rebellin Davide,3,Gerolsteiner,",, ,,",,2,2008
30,,127,1.0,+0:00,25.0,Pellizotti Franco,4,Liquigas,",, ,,",,2,2008
35,,8,,+0:00,18.0,Savoldelli Paolo,5,Team LPR Brakes,",, ,,",,2,2008
28,,47,,+0:00,15.0,Rodr\xedguez Joaquim,6,Caisse d'Epargne,",, ,,",,2,2008
27,,89,,+0:00,12.0,Veikkanen Jussi,7,Fran\xe7aise des Jeux,0:04 0:04,,2,2008
23,,125,,+0:00,10.0,Nibali Vincenzo,8,Liquigas,0:08 0:08,,2,2008
36,,159,,+0:00,8.0,Piepoli Leonardo,9,Saunier Duval,",, 0:08",,2,2008
32,,28,,+0:00,6.0,Kl\xf6den Andr\xe9as,10,Astana,",, 0:08",,2,2008
32,,135,,+0:00,5.0,Garate Juan Manuel,11,Quickstep - Innergetic,0:10 0:10,,2,2008
23,,193,,+0:00,4.0,S\xf8rensen Chris Anker,12,CSC ProTeam,",, 0:10",,2,2008
23,,106,,+0:00,3.0,Possoni Morris,13,Team Highroad,",, 0:10",,2,2008
33,,111,,+0:00,2.0,Bruseghin Marzio,14,Lampre,",, 0:10",,2,2008
24,,176,,+0:00,1.0,Lloyd Matthew,15,Silence - Lotto,",, 0:10",,2,2008
25,,178,,+0:00,,Van den Broeck Jurgen,16,Silence - Lotto,",, 0:10",,2,2008
30,,141,,+0:00,,Menchov Denis,17,Rabobank ProTeam,",, 0:10",,2,2008
25,,22,,+0:00,,Contador Alberto,18,Astana,",, 0:10",,2,2008
31,,188,,+0:00,,Vande Velde Christian,19,,",, 0:10",,2,2008
34,,213,,+0:00,,Mazzanti Luca,20,Tinkoff Credit Systems,0:20 0:20,,2,2008
39,,126,,+0:00,,Noe Andrea,21,Liquigas,",, 0:20",,2,2008
26,,35,,+0:00,,Gasparotto Enrico,22,Barloworld,",, 0:20",,2,2008
27,,61,,+0:00,,Sella Emanuele,23,CSF Group - Navigare,",, 0:20",,2,2008
32,,198,,+0:00,,S\xf8rensen Nicki,24,CSC ProTeam,",, 0:20",,2,2008
27,,3,,+0:00,,Bosisio Gabriele,25,Team LPR Brakes,",, 0:20",,2,2008
32,,192,,+0:00,,McGee Bradley,26,CSC ProTeam,",, 0:20",,2,2008
25,,108,,+0:00,,Siutsou Kanstantsin,27,Team Highroad,",, 0:20",,2,2008
21,,154,,+0:00,,Capecchi Eros,28,Saunier Duval,",, 0:20",,2,2008
26,,48,,+0:00,,Rujano Jos\xe9 Humberto,29,Caisse d'Epargne,",, 0:20",,2,2008
28,,36,,+0:00,,Pfannberger Christian,30,Barloworld,",, 0:20",,2,2008
34,,21,,+0:00,,Leipheimer Levi,31,Astana,",, 0:20",,2,2008
27,,7,,+0:00,,Pietropolli Daniele,32,Team LPR Brakes,",, 0:20",,2,2008
24,,174,,+0:00,,Devenyns Dries,33,Silence - Lotto,",, 0:20",,2,2008
36,,138,,+0:00,,Tonti Andrea,34,Quickstep - Innergetic,",, 0:20",,2,2008
28,,31,,+0:00,,Bellotti Francesco,35,Barloworld,",, 0:20",,2,2008
