Age,Avg,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
37,,92,,+0:00,80.0,,Petacchi Alessandro,1,Lampre - ISD,5:45:40 5:45:40,,16.0,,1,2011
25,,71,1.0,+0:00,50.0,,Cavendish Mark,2,HTC - High Road,",, ,,",,8.0,,1,2011
25,,42,,+0:00,35.0,,Belletti Manuel,3,Colnago - CSF Inox,",, ,,",,4.0,,1,2011
28,,26,,+0:00,25.0,,Ferrari Roberto,4,Androni Giocattoli - Serramenti PVC Diquigiovanni,",, ,,",,2.0,,1,2011
30,,222,,+0:00,18.0,,Bozic Borut,5,Vacansoleil - DCM,",, ,,",,1.0,,1,2011
21,,196,,+0:00,15.0,,Appollonio Davide,6,Sky Procycling,",, ,,",,,,1,2011
26,,201,,+0:00,12.0,,Farrar Tyler,7,Team Garmin - Cerv\xe9lo,",, ,,",,,,1,2011
38,,213,,+0:00,10.0,,McEwen Robbie,8,RadioShack,",, ,,",,,,1,2011
26,,108,,+0:00,8.0,,Weylandt Wouter,9,Leopard Trek,",, ,,",,,,1,2011
27,,19,,+0:00,6.0,,Montaguti Matteo,10,AG2R La Mondiale,",, ,,",,,,1,2011
23,,35,,+0:00,5.0,,Kristoff Alexander,11,BMC Racing Team,",, ,,",,,,1,2011
25,,9,,+0:00,4.0,,Taborre Fabio,12,Acqua & Sapone,",, ,,",,,,1,2011
26,,116,,+0:00,3.0,,Sabatini Fabio,13,Liquigas - Cannondale,",, ,,",,,,1,2011
29,,129,,+0:00,2.0,,Ventoso Francisco,14,Movistar Team,",, ,,",,,,1,2011
23,,178,,+0:00,1.0,,van Winden Dennis,15,Rabobank Cycling Team,",, ,,",,,,1,2011
30,,161,,+0:00,,,Chicchi Francesco,16,Quickstep Cycling Team,",, ,,",,,,1,2011
31,,91,,+0:00,,,Scarponi Michele,17,Lampre - ISD,",, ,,",,,,1,2011
30,,205,,+0:00,,,Le M\xe9vel Christophe,18,Team Garmin - Cerv\xe9lo,",, ,,",,,,1,2011
29,,109,,+0:00,,,Zaugg Oliver,19,Leopard Trek,",, ,,",,,,1,2011
26,,153,,+0:00,,,Gatto Oscar,20,Farnese Vini-Neri-Sottoli,",, ,,",,,,1,2011
