Rnk,BIB,Rider,Age,Team,UCI,Pnt,Avg,GC,GC-Time,Time,year,stage
1,148,Pinotti Marco,36,BMC Racing Team,16.0,80.0,51.118,41,+1:34:37,33:06 33:06,2012,20
2,109,Thomas Geraint,26,Sky Procycling,8.0,50.0,50.133,80,+2:59:32,0:39 0:39,2012,20
3,209,Sergent Jesse,23,RadioShack - Nissan,4.0,35.0,49.788999999999994,139,+4:28:16,0:53 0:53,2012,20
4,211,Rasmussen Alex,27,Team Garmin - Barracuda,2.0,25.0,49.619,150,+4:55:53,1:00 1:00,2012,20
5,48,De Gendt Thomas,25,Vacansoleil - DCM,1.0,18.0,49.595,3,+1:39,1:01 1:01,2012,20
6,214,Hesjedal Ryder,31,Team Garmin - Barracuda,,15.0,49.401,1,+0:00,1:09 1:09,2012,20
7,47,Larsson Gustav,31,Vacansoleil - DCM,,12.0,49.282,35,+1:24:31,1:14 1:14,2012,20
8,124,Bodnar Maciej,27,Liquigas - Cannondale,,10.0,49.258,117,+4:00:23,1:15 1:15,2012,20
9,24,Tuft Svein,35,Orica GreenEDGE,,8.0,49.091,148,+4:52:35,1:22 1:22,2012,20
10,57,Vermote Julien,22,Omega Pharma - Quick-Step,,6.0,49.067,89,+3:10:33,1:23 1:23,2012,20
11,104,Stannard Ian,25,Sky Procycling,,5.0,49.043,132,+4:20:11,1:24 1:24,2012,20
12,55,Kwiatkowski Michal,21,Omega Pharma - Quick-Step,,4.0,49.043,136,+4:23:49,",, 1:24",2012,20
13,56,Cataldo Dario,27,Omega Pharma - Quick-Step,,3.0,49.02,12,+11:59,1:25 1:25,2012,20
14,69,Malori Adriano,24,Lampre - ISD,,2.0,48.949,68,+2:37:43,1:28 1:28,2012,20
15,204,Oliveira Nelson,23,RadioShack - Nissan,,1.0,48.902,64,+2:34:10,1:30 1:30,2012,20
16,149,Phinney Taylor,21,BMC Racing Team,,,48.878,155,+5:12:54,1:31 1:31,2012,20
17,217,Vande Velde Christian,36,Team Garmin - Barracuda,,,48.761,22,+38:23,1:36 1:36,2012,20
18,34,Ignatyev Mikhail,27,Team Katusha,,,48.505,143,+4:39:24,1:47 1:47,2012,20
19,157,Serpa Jose Rodolfo,33,Androni Giocattoli - Venezuela,,,48.458,87,+3:09:53,1:49 1:49,2012,20
20,216,Rosseler Sebastien,30,Team Garmin - Barracuda,,,48.435,125,+4:14:55,1:50 1:50,2012,20
