Rnk,BIB,Rider,Age,Team,year,stage
1,118,Wegmann Fabian,23,Gerolsteiner,2004,20
2,3,Cunego Damiano,22,Saeco,2004,20
3,1,Simoni Gilberto,32,Saeco,2004,20
4,181,Garzelli Stefano,30,Vini Caldirola - Nobili Rubinetterie,2004,20
5,155,Moos Alexandre,31,Phonak Hearing Systems,2004,20
6,25,Miholjevic Vladimir,30,Alessio - Bianchi,2004,20
7,55,Illiano Raffaele,27,Colombia - Selle Italia,2004,20
8,152,Aebersold Niki,31,Phonak Hearing Systems,2004,20
9,108,Laverde Luis Felipe,24,Formaggi Pinzolo Fiav,2004,20
10,95,McGee Bradley,28,Fdjeux.com,2004,20
11,82,Cioni Dario,29,Fassa Bortolo,2004,20
12,28,Pellizotti Franco,26,Alessio - Bianchi,2004,20
13,164,Gomis Lopez Juan,26,Saunier Duval - Prodir,2004,20
14,37,Sella Emanuele,23,Ceramica Panaria - Margres,2004,20
15,175,Mazzoleni Renzo,27,Tenax,2004,20
16,61,Honchar Serhiy,33,De Nardi,2004,20
17,159,Valjavec Tadej,27,Phonak Hearing Systems,2004,20
18,38,Baliani Fortunato,29,Ceramica Panaria - Margres,2004,20
19,23,Bertolini Alessandro,32,Alessio - Bianchi,2004,20
20,26,Moreni Cristian,31,Alessio - Bianchi,2004,20
21,188,Zampieri Steve,26,Vini Caldirola - Nobili Rubinetterie,2004,20
22,182,Tonkov Pavel,35,Vini Caldirola - Nobili Rubinetterie,2004,20
23,13,Nocentini Rinaldo,26,Acqua & Sapone - Caffe Mokambo,2004,20
24,32,Perez Cuapio Julio Alberto,26,Ceramica Panaria - Margres,2004,20
25,68,Vanotti Alessandro,23,De Nardi,2004,20
26,129,Javier Vila Francisco,28,Lampre,2004,20
27,67,Pugaci Igor,29,De Nardi,2004,20
28,135,Popovych Yaroslav,24,Landbouwkrediet - Colnago,2004,20
29,106,Di Grande Giuseppe,30,Formaggi Pinzolo Fiav,2004,20
30,36,Mazzanti Luca,30,Ceramica Panaria - Margres,2004,20
31,168,Zaugg Oliver,23,Saunier Duval - Prodir,2004,20
32,128,Righi Daniele,28,Lampre,2004,20
33,117,Strauss Marcel,27,Gerolsteiner,2004,20
34,122,Belli Wladimir,33,Lampre,2004,20
35,165,Lobato Ruben,25,Saunier Duval - Prodir,2004,20
36,107,Muraglia Giuseppe,24,Formaggi Pinzolo Fiav,2004,20
37,136,Sijmens Nico,26,Landbouwkrediet - Colnago,2004,20
38,178,Pozzi Oscar,32,Tenax,2004,20
39,142,Brandt Christophe,27,Lotto - Domo,2004,20
40,11,Marzoli Ruggero,28,Acqua & Sapone - Caffe Mokambo,2004,20
41,17,Pospyeyev Kyrylo,28,Acqua & Sapone - Caffe Mokambo,2004,20
42,81,Bruseghin Marzio,29,Fassa Bortolo,2004,20
43,127,Piccoli Mariano,33,Lampre,2004,20
