Rnk,BIB,Rider,Age,Team,GC,GC-Time,Time,year,stage
1,183,Schleck Andy,21,CSC ProTeam,2,+1:55,93:01:34 93:01:34,2007,21
2,29,Ricco Riccardo,23,Saunier Duval,6,+7:00,5:05 5:05,2007,21
3,85,Pozzovivo Domenico,24,Ceramica Panaria - Navigare,17,+23:55,22:00 22:00,2007,21
4,154,Nibali Vincenzo,22,Liquigas,19,+31:42,29:47 29:47,2007,21
5,49,Samoilau Branislau,22,Acqua & Sapone - Caff\xe8 Mokambo,22,+34:19,32:24 32:24,2007,21
6,3,Facci Mauro,25,Quickstep - Innergetic,34,+1:08:55,1:07:00 1:07:00,2007,21
7,61,Bonnaire Olivier,24,Bouygues Telecom,45,+1:26:41,1:24:46 1:24:46,2007,21
8,97,Moinard Ama\xebl,25,Cofidis,46,+1:26:47,1:24:52 1:24:52,2007,21
9,57,Naibo Carl,24,AG2R Pr\xe9voyance,53,+1:35:06,1:33:11 1:33:11,2007,21
10,148,Russ Matthias,23,Gerolsteiner,54,+1:36:51,1:34:56 1:34:56,2007,21
11,5,Schwab Hubert,25,Quickstep - Innergetic,56,+1:40:49,1:38:54 1:38:54,2007,21
12,178,Walker William,21,Rabobank ProTeam,57,+1:42:56,1:41:01 1:41:01,2007,21
13,75,Losada Alberto,25,Caisse d'Epargne,60,+1:50:33,1:48:38 1:48:38,2007,21
14,164,Lloyd Matthew,24,Predictor - Lotto,61,+1:51:34,1:49:39 1:49:39,2007,21
15,166,Van den Broeck Jurgen,24,Predictor - Lotto,74,+2:09:24,2:07:29 2:07:29,2007,21
16,9,Visconti Giovanni,24,Quickstep - Innergetic,77,+2:10:29,2:08:34 2:08:34,2007,21
17,218,Rabon Frantisek,23,T-Mobile Team,79,+2:13:05,2:11:10 2:11:10,2007,21
18,18,Morabito Steve,24,Astana,83,+2:17:08,2:15:13 2:15:13,2007,21
19,46,Kunitski Andrei,22,Acqua & Sapone - Caff\xe8 Mokambo,85,+2:18:56,2:17:01 2:17:01,2007,21
20,207,Brutt Pavel,25,Tinkoff Credit Systems,87,+2:23:41,2:21:46 2:21:46,2007,21
21,79,Perget Mathieu,22,Caisse d'Epargne,91,+2:27:39,2:25:44 2:25:44,2007,21
22,89,Richeze Ariel Maximiliano,24,Ceramica Panaria - Navigare,92,+2:28:21,2:26:26 2:26:26,2007,21
23,84,Pagoto Andrea,21,Ceramica Panaria - Navigare,95,+2:30:15,2:28:20 2:28:20,2007,21
24,152,Gasparotto Enrico,25,Liquigas,97,+2:35:31,2:33:36 2:33:36,2007,21
25,176,Kozonchuk Dmitry,23,Rabobank ProTeam,100,+2:40:04,2:38:09 2:38:09,2007,21
26,56,Mondory Lloyd,25,AG2R Pr\xe9voyance,107,+2:49:53,2:47:58 2:47:58,2007,21
27,187,Breschel Matti,22,CSC ProTeam,119,+3:04:07,3:02:12 3:02:12,2007,21
28,143,Fothen Thomas,24,Gerolsteiner,121,+3:07:57,3:06:02 3:06:02,2007,21
29,109,Roche Nicolas,22,Cr\xe9dit Agricole,122,+3:08:17,3:06:22 3:06:22,2007,21
30,132,Gerard Arnaud,22,Fran\xe7aise des Jeux,123,+3:09:18,3:07:23 3:07:23,2007,21
31,67,Pichot Alexandre,24,Bouygues Telecom,124,+3:09:35,3:07:40 3:07:40,2007,21
32,206,Ignatyev Mikhail,22,Tinkoff Credit Systems,127,+3:15:57,3:14:02 3:14:02,2007,21
33,63,Drancourt Pierre,25,Bouygues Telecom,128,+3:16:54,3:14:59 3:14:59,2007,21
34,138,Patanchon Fabien,23,Fran\xe7aise des Jeux,130,+3:19:57,3:18:02 3:18:02,2007,21
35,98,Valentin Tristan,25,Cofidis,131,+3:20:46,3:18:51 3:18:51,2007,21
36,209,Trusov Nikolay,21,Tinkoff Credit Systems,132,+3:20:50,3:18:55 3:18:55,2007,21
37,146,Krauss Sven,24,Gerolsteiner,134,+3:29:27,3:27:32 3:27:32,2007,21
38,32,Bono Matteo,23,Lampre-Fondital,138,+3:33:37,3:31:42 3:31:42,2007,21
39,144,Gatto Oscar,22,Gerolsteiner,140,+3:41:39,3:39:44 3:39:44,2007,21
