Age,BIB,GC,GC-Time,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
24,131,1,+0:00,1.0,Matthews Michael,1,Orica GreenEDGE,4:32:44 4:32:44,-,2,2015
25,133,4,+0:00,3.0,Chaves Johan Esteban,2,Orica GreenEDGE,",, ,,",\u25b21,2,2015
24,21,11,+0:13,4.0,Aru Fabio,3,Astana Pro Team,0:13 0:13,\u25b21,2,2015
23,73,34,+0:26,11.0,Elissonde Kenny,4,FDJ,0:26 0:26,\u25b27,2,2015
21,193,45,+0:27,12.0,Henao Sebasti\xe1n,5,Team Sky,0:27 0:27,\u25b27,2,2015
25,215,50,+0:29,14.0,Felline Fabio,6,Trek Factory Racing,0:29 0:29,\u25b28,2,2015
23,184,51,+0:30,17.0,Hofland Moreno,7,Team LottoNL-Jumbo,0:30 0:30,\u25b210,2,2015
24,38,54,+0:37,19.0,Ruffoni Nicola,8,Bardiani - CSF Pro Team,0:37 0:37,\u25b211,2,2015
24,31,55,+0:37,22.0,Bongiorno Francesco Manuel,9,Bardiani - CSF Pro Team,",, 0:37",\u25b213,2,2015
25,103,65,+0:50,16.0,Broeckx Stig,10,Lotto Soudal,0:50 0:50,\u25b26,2,2015
22,156,71,+0:53,31.0,Formolo Davide,11,Team Cannondale - Garmin,0:53 0:53,\u25b220,2,2015
25,216,74,+0:56,15.0,Silvestre F\xe1bio,12,Trek Factory Racing,0:56 0:56,\u25b23,2,2015
24,168,84,+1:16,27.0,Ludvigsson Tobias,13,Team Giant - Alpecin,1:16 1:16,\u25b214,2,2015
25,19,87,+1:26,38.0,Zilioli Gianfranco,14,Androni Giocattoli - Sidermec,1:26 1:26,\u25b224,2,2015
23,162,89,+1:28,28.0,Arndt Nikias,15,Team Giant - Alpecin,1:28 1:28,\u25b213,2,2015
24,115,90,+1:30,6.0,Herrada Jes\xfas,16,Movistar Team,1:30 1:30,\u25bc10,2,2015
24,114,91,+1:30,7.0,Fern\xe1ndez Rub\xe9n,17,Movistar Team,",, 1:30",\u25bc10,2,2015
