Age,GC,GC-Time,Prev,Rider,Rnk,Team,Time,Time won/lost,\u25bc\u25b2,stage,year
21,1,+0:00,,Ventoso Francisco,1,Saunier Duval - Prodir,3:14:30 3:14:30,+0:00,,1,2004
20,2,+0:04,,Chavanel S\xe9bastien,2,Brioches La Boulang\xe8re,0:04 0:04,+0:04,,1,2004
26,3,+0:06,,Hunter Robert,3,Rabobank ProTeam,0:06 0:06,+0:06,,1,2004
26,4,+0:07,,Usov Alexandre,4,Phonak Hearing Systems,0:07 0:07,+0:07,,1,2004
31,5,+0:07,,H\xf8j Frank,5,CSC ProTeam,",, 0:07",+0:07,,1,2004
31,6,+0:08,,McEwen Robbie,6,Lotto - Domo,0:08 0:08,+0:08,,1,2004
24,7,+0:08,,Laidoun Julien,7,AG2R Pr\xe9voyance,",, 0:08",+0:08,,1,2004
23,8,+0:09,,Boonen Tom,8,Quickstep - Davitamon,0:09 0:09,+0:09,,1,2004
23,9,+0:09,,Baumann Eric,9,T-Mobile Team,",, 0:09",+0:09,,1,2004
19,10,+0:10,,Jur\u010do Matej,10,De Nardi,0:10 0:10,+0:10,,1,2004
23,11,+0:10,,Chicchi Francesco,11,Fassa Bortolo,",, 0:10",+0:10,,1,2004
28,12,+0:10,,Jegou Lilian,12,Cr\xe9dit Agricole,",, 0:10",+0:10,,1,2004
30,13,+0:10,,Pollack Olaf,13,Gerolsteiner,",, 0:10",+0:10,,1,2004
30,14,+0:10,,Korff Andre,14,T-Mobile Team,",, 0:10",+0:10,,1,2004
29,15,+0:10,,Hinault S\xe9bastien,15,Cr\xe9dit Agricole,",, 0:10",+0:10,,1,2004
22,16,+0:10,,Traksel Bobbie,16,Rabobank ProTeam,",, 0:10",+0:10,,1,2004
22,17,+0:10,,van Mechelen Wouter,17,,",, 0:10",+0:10,,1,2004
23,18,+0:10,,Sentjens Roy,18,Rabobank ProTeam,",, 0:10",+0:10,,1,2004
28,19,+0:10,,Ongarato Alberto,19,Fassa Bortolo,",, 0:10",+0:10,,1,2004
23,20,+0:10,,Albasini Michael,20,Phonak Hearing Systems,",, 0:10",+0:10,,1,2004
27,21,+0:10,,Nazon Jean-Patrick,21,AG2R Pr\xe9voyance,",, 0:10",+0:10,,1,2004
27,22,+0:10,,Cadamuro Simone,22,De Nardi,",, 0:10",+0:10,,1,2004
34,23,+0:10,,Michaelsen Lars,23,CSC ProTeam,",, 0:10",+0:10,,1,2004
28,24,+0:10,,Balducci Gabriele,24,Saeco,",, 0:10",+0:10,,1,2004
28,25,+0:10,,Glomser Gerrit,25,Saeco,",, 0:10",+0:10,,1,2004
26,26,+0:10,,F\xf6rster Robert,26,Gerolsteiner,",, 0:10",+0:10,,1,2004
25,27,+0:10,,Bonomi Giosue,27,Saeco,",, 0:10",+0:10,,1,2004
23,28,+0:10,,Vanotti Alessandro,28,De Nardi,",, 0:10",+0:10,,1,2004
31,29,+0:10,,Guidi Fabrizio,29,CSC ProTeam,",, 0:10",+0:10,,1,2004
27,30,+0:10,,Cretskens Wilfried,30,Quickstep - Davitamon,",, 0:10",+0:10,,1,2004
25,31,+0:10,,Loddo Alberto,31,Saunier Duval - Prodir,",, 0:10",+0:10,,1,2004
34,32,+0:10,,Agnolutto Christophe,32,AG2R Pr\xe9voyance,",, 0:10",+0:10,,1,2004
22,33,+0:10,,Caethoven Steven,33,,",, 0:10",+0:10,,1,2004
32,34,+0:10,,van Bon L\xe9on,34,Lotto - Domo,",, 0:10",+0:10,,1,2004
24,35,+0:10,,Rast Gregory,35,Phonak Hearing Systems,",, 0:10",+0:10,,1,2004
28,36,+0:10,,Ludewig Jorg,36,Saeco,",, 0:10",+0:10,,1,2004
25,37,+0:10,,van Speybroeck Wesley,37,,",, 0:10",+0:10,,1,2004
28,38,+0:10,,Grabsch Bert,38,Phonak Hearing Systems,",, 0:10",+0:10,,1,2004
34,39,+0:10,,Hoffman Tristan,39,CSC ProTeam,",, 0:10",+0:10,,1,2004
23,40,+0:10,,Kashechkin Andrey,40,Cr\xe9dit Agricole,",, 0:10",+0:10,,1,2004
30,41,+0:10,,Moerenhout Koos,41,Lotto - Domo,",, 0:10",+0:10,,1,2004
30,42,+0:10,,Konecny Tomas,42,T-Mobile Team,",, 0:10",+0:10,,1,2004
28,43,+0:10,,Commesso Salvatore,43,Saeco,",, 0:10",+0:10,,1,2004
29,44,+0:10,,Vandenbroucke Frank,44,Mrbookmaker.com - Palmans,",, 0:10",+0:10,,1,2004
35,45,+0:10,,Madsen Jimmi,45,CSC ProTeam,",, 0:10",+0:10,,1,2004
24,46,+0:10,,Eriksen Thomas bruun,46,CSC ProTeam,",, 0:10",+0:10,,1,2004
22,47,+0:10,,Zaugg Oliver,47,Saunier Duval - Prodir,",, 0:10",+0:10,,1,2004
24,48,+0:10,,Lang Sebastian,48,Gerolsteiner,",, 0:10",+0:10,,1,2004
23,49,+0:10,,Geslin Anthony,49,Brioches La Boulang\xe8re,",, 0:10",+0:10,,1,2004
31,50,+0:10,,Beneteau Walter,50,Brioches La Boulang\xe8re,",, 0:10",+0:10,,1,2004
23,51,+0:10,,Martias Rony,51,Brioches La Boulang\xe8re,",, 0:10",+0:10,,1,2004
25,52,+0:10,,Schoonacker Jehudi,52,,",, 0:10",+0:10,,1,2004
23,53,+0:10,,Dumoulin Samuel,53,AG2R Pr\xe9voyance,",, 0:10",+0:10,,1,2004
22,54,+0:10,,Gomez Gomez Angel,54,Saunier Duval - Prodir,",, 0:10",+0:10,,1,2004
29,55,+0:10,,Sacchi Fabio,55,Fassa Bortolo,",, 0:10",+0:10,,1,2004
33,56,+0:10,,Honchar Serhiy,56,De Nardi,",, 0:10",+0:10,,1,2004
21,57,+0:10,,De Weert Kevin,57,Rabobank ProTeam,",, 0:10",+0:10,,1,2004
24,58,+0:10,,Voeckler Thomas,58,Brioches La Boulang\xe8re,",, 0:10",+0:10,,1,2004
22,59,+0:10,,Lorenzetto Mirco,59,De Nardi,",, 0:10",+0:10,,1,2004
32,60,+0:10,,Knaven Servais,60,Quickstep - Davitamon,",, 0:10",+0:10,,1,2004
28,61,+0:10,,Ca\xf1ada David,61,Saunier Duval - Prodir,",, 0:10",+0:10,,1,2004
24,62,+0:10,,Bertogliati Rubens,62,Saunier Duval - Prodir,",, 0:10",+0:10,,1,2004
34,63,+0:10,,van Petegem Peter,63,Lotto - Domo,",, 0:10",+0:10,,1,2004
30,64,+0:10,,Schnider Daniel,64,Phonak Hearing Systems,",, 0:10",+0:10,,1,2004
29,65,+0:10,,Detilloux Christophe,65,Lotto - Domo,",, 0:10",+0:10,,1,2004
26,66,+0:10,,Giordani Leonardo,66,De Nardi,",, 0:10",+0:10,,1,2004
23,67,+0:10,,Mori Manuele,67,Saunier Duval - Prodir,",, 0:10",+0:10,,1,2004
