Rnk,Rider,Age,Team,Pnt,Time won/lost,year,stage
1,Boonen Tom,27,Quickstep - Innergetic,100.0,+0:00,2008,6
2,de Jongh Steven,34,Quickstep - Innergetic,70.0,+0:00,2008,6
3,Van Avermaet Greg,22,Silence - Lotto,50.0,+0:00,2008,6
4,Sutton Chris,23,Team Garmin - Chipotle,36.0,+0:00,2008,6
5,Roelandts Jurgen,22,Silence - Lotto,28.0,+0:00,2008,6
6,Pichot Alexandre,25,Bouygues Telecom,24.0,+0:00,2008,6
7,Tjallingii Maarten,30,Silence - Lotto,20.0,+0:00,2008,6
8,Loddo Alberto,29,Tinkoff Credit Systems,18.0,+0:00,2008,6
9,Cretskens Wilfried,31,Quickstep - Innergetic,16.0,+0:00,2008,6
10,Siedler Sebastian,30,Skil - Shimano,14.0,+0:00,2008,6
11,Furlan Angelo,30,Cr\xe9dit Agricole,12.0,+0:00,2008,6
12,Gardeyn Gorik,27,Silence - Lotto,10.0,+0:00,2008,6
13,Weylandt Wouter,23,Quickstep - Innergetic,8.0,+0:00,2008,6
14,Konovalovas Ignatas,22,Cr\xe9dit Agricole,7.0,+0:00,2008,6
15,Pagliarini Luciano Andr\xe9,29,Scott - American Beef,6.0,+0:00,2008,6
16,Bossoni Paolo,31,Lampre,5.0,+0:00,2008,6
17,Tosatto Matteo,33,Quickstep - Innergetic,4.0,+0:00,2008,6
18,Willems Frederik,28,Liquigas,3.0,+0:00,2008,6
19,Wynants Maarten,25,Quickstep - Innergetic,2.0,+0:00,2008,6
20,Chicchi Francesco,27,Liquigas,1.0,+0:00,2008,6
21,Velo Marco,33,Milram,,+0:00,2008,6
22,Gomez Gomez Angel,26,Scott - American Beef,,+0:00,2008,6
23,Hulsmans Kevin,29,Quickstep - Innergetic,,+0:00,2008,6
24,Veelers Tom,23,Skil - Shimano,,+0:00,2008,6
25,Bodnar Maciej,22,Liquigas,,+0:00,2008,6
26,Cruz Antonio,36,BMC Racing Team,,+0:00,2008,6
27,Petito Roberto,37,Liquigas,,+0:00,2008,6
