Rnk,Rider,Age,Team,Pnt,GC,GC-Time,Time,Time won/lost,year,stage
1,Boonen Tom,28,Quickstep - Innergetic,100.0,1,+0:00,12:55:25 12:55:25,+0:00,2009,6
2,Haussler Heinrich,24,Cervelo Test Team,70.0,2,+0:08,0:08 0:08,+0:08,2009,6
3,Hammond Roger,35,Cervelo Test Team,50.0,3,+0:10,0:10 0:10,+0:10,2009,6
4,Lloyd Daniel,28,Cervelo Test Team,36.0,4,+0:25,0:25 0:25,+0:25,2009,6
5,Klier Andreas,33,Cervelo Test Team,28.0,5,+0:27,0:27 0:27,+0:27,2009,6
6,Florencio Xavier,29,Cervelo Test Team,24.0,6,+0:28,0:28 0:28,+0:28,2009,6
7,Furlan Angelo,31,Lampre - NGC,20.0,7,+1:07,1:07 1:07,+1:07,2009,6
8,Rasch Gabriel,32,Cervelo Test Team,18.0,8,+1:43,1:43 1:43,+1:43,2009,6
9,Cavendish Mark,23,Team Columbia - HTC,16.0,9,+2:11,2:11 2:11,+2:11,2009,6
10,Veelers Tom,24,Skil - Shimano,14.0,10,+2:35,2:35 2:35,+2:35,2009,6
11,Reimer Martin,21,Cervelo Test Team,12.0,11,+2:35,",, 2:35",+2:35,2009,6
12,Sieberg Marcel,26,Team Columbia - HTC,10.0,12,+2:43,2:43 2:43,+2:43,2009,6
13,Pozzato Filippo,27,Team Katusha,8.0,13,+2:56,2:56 2:56,+2:56,2009,6
14,Galimzyanov Denis,21,Team Katusha,7.0,14,+3:24,3:24 3:24,+3:24,2009,6
15,Zberg Markus,34,BMC Racing Team,6.0,15,+3:26,3:26 3:26,+3:26,2009,6
16,Hunt Jeremy,34,Cervelo Test Team,5.0,16,+3:50,3:50 3:50,+3:50,2009,6
17,Cretskens Wilfried,32,Silence - Lotto,4.0,17,+3:58,3:58 3:58,+3:58,2009,6
18,Lorenzetto Mirco,27,Lampre - NGC,3.0,18,+4:06,4:06 4:06,+4:06,2009,6
19,van Hummel Kenny,26,Skil - Shimano,2.0,19,+4:47,4:47 4:47,+4:47,2009,6
20,Tjallingii Maarten,31,Rabobank ProTeam,1.0,20,+4:54,4:54 4:54,+4:54,2009,6
21,Dion Renaud,31,AG2R La Mondiale,,21,+5:00,5:00 5:00,+5:00,2009,6
