Age,GC,GC-Time,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
31,1,+0:00,,Boonen Tom,1,Omega Pharma - Quick-Step,3:11:22 3:11:22,+0:00,10.0,,1,2012
22,2,+0:04,,Blythe Adam,2,BMC Racing Team,0:04 0:04,+0:04,,,1,2012
22,3,+0:06,,Sagan Peter,3,Liquigas - Cannondale,0:06 0:06,+0:06,,,1,2012
27,4,+0:07,,Farrar Tyler,4,Team Garmin - Barracuda,0:07 0:07,+0:07,,,1,2012
30,5,+0:07,,Hansen Adam,5,Lotto Belisol Team,",, 0:07",+0:07,,,1,2012
22,6,+0:08,,Appollonio Davide,6,Sky Procycling,0:08 0:08,+0:08,,,1,2012
20,7,+0:08,,Haller Marco,7,Team Katusha,",, 0:08",+0:08,,,1,2012
29,8,+0:09,,Renshaw Mark,8,Rabobank Cycling Team,0:09 0:09,+0:09,,,1,2012
25,9,+0:09,,Maes Nikolas,9,Omega Pharma - Quick-Step,",, 0:09",+0:09,,,1,2012
25,10,+0:10,,Oss Daniel,10,Liquigas - Cannondale,0:10 0:10,+0:10,,,1,2012
24,11,+0:10,,Kristoff Alexander,11,Team Katusha,",, 0:10",+0:10,,,1,2012
25,12,+0:10,,van Genechten Jonas,12,Lotto Belisol Team,",, 0:10",+0:10,,,1,2012
28,13,+0:10,,Wagner Robert,13,RadioShack - Nissan,",, 0:10",+0:10,,,1,2012
20,14,+0:10,,D\xe9mare Arnaud,14,FDJ - BigMat,",, 0:10",+0:10,,,1,2012
23,15,+0:10,,Nizzolo Giacomo,15,RadioShack - Nissan,",, 0:10",+0:10,,,1,2012
31,16,+0:10,,Chicchi Francesco,16,Omega Pharma - Quick-Step,",, 0:10",+0:10,,,1,2012
29,17,+0:10,,Sieberg Marcel,17,Lotto Belisol Team,",, 0:10",+0:10,,,1,2012
31,18,+0:10,,Steegmans Gert,18,Omega Pharma - Quick-Step,",, 0:10",+0:10,,,1,2012
23,19,+0:10,,Degenkolb John,19,Argos - Shimano,",, 0:10",+0:10,,,1,2012
23,20,+0:10,,Soupe Geoffrey,20,FDJ - BigMat,",, 0:10",+0:10,,,1,2012
33,21,+0:10,,Cooke Baden,21,Orica GreenEDGE,",, 0:10",+0:10,,,1,2012
20,22,+0:10,,van Keirsbulck Guillaume,22,Omega Pharma - Quick-Step,",, 0:10",+0:10,,,1,2012
32,23,+0:10,,Bak Lars Ytting,23,Lotto Belisol Team,",, 0:10",+0:10,,,1,2012
34,24,+0:10,,Hushovd Thor,24,BMC Racing Team,",, 0:10",+0:10,,,1,2012
26,25,+0:10,,Sabatini Fabio,25,Liquigas - Cannondale,",, 0:10",+0:10,,,1,2012
27,26,+0:10,,Friedemann Matthias,26,Champion System Pro Cycling Team,",, 0:10",+0:10,,,1,2012
25,27,+0:10,,Isaychev Vladimir,27,Team Katusha,",, 0:10",+0:10,,,1,2012
30,28,+0:10,,Eisel Bernhard,28,Sky Procycling,",, 0:10",+0:10,,,1,2012
24,29,+0:10,,Smukulis Gatis,29,Team Katusha,",, 0:10",+0:10,,,1,2012
32,30,+0:10,,Curvers Roy,30,Argos - Shimano,",, 0:10",+0:10,,,1,2012
29,31,+0:10,,Rollin Dominique,31,FDJ - BigMat,",, 0:10",+0:10,,,1,2012
24,32,+0:10,,van Winden Dennis,32,Rabobank Cycling Team,",, 0:10",+0:10,,,1,2012
31,33,+0:10,,Boucher David,33,FDJ - BigMat,",, 0:10",+0:10,,,1,2012
24,34,+0:10,,Stannard Ian,34,Sky Procycling,",, 0:10",+0:10,,,1,2012
32,35,+0:10,,Kuchynski Aliaksandr,35,Team Katusha,",, 0:10",+0:10,,,1,2012
27,36,+0:10,,Veelers Tom,36,Argos - Shimano,",, 0:10",+0:10,,,1,2012
39,37,+0:10,,McEwen Robbie,37,Orica GreenEDGE,",, 0:10",+0:10,,,1,2012
25,38,+0:10,,Kruopis Aidis,38,Orica GreenEDGE,",, 0:10",+0:10,,,1,2012
26,39,+0:10,,Delage Micka\xebl,39,FDJ - BigMat,",, 0:10",+0:10,,,1,2012
34,40,+0:10,,Tuft Svein,40,Orica GreenEDGE,",, 0:10",+0:10,,,1,2012
21,41,+0:10,,Phinney Taylor,41,BMC Racing Team,",, 0:10",+0:10,,,1,2012
