Age,BIB,Pnt,Prev,Rider,Rnk,Team,\u25bc\u25b2,stage,year
30,11,20,,Cavendish Mark,1,Team Dimension Data,,1,2016
28,131,13,,Modolo Sacha,2,Lampre - Merida,,1,2016
28,1,9,,Kristoff Alexander,3,Team Katusha,,1,2016
26,61,9,,Guardini Andrea,4,Astana Pro Team,,1,2016
25,41,7,,Bennett Sam,5,Bora - Argon 18,,1,2016
30,31,5,,Van Avermaet Greg,6,BMC Racing Team,,1,2016
28,12,5,,Boasson Hagen Edvald,7,Team Dimension Data,,1,2016
36,35,3,,Quinziato Manuel,8,BMC Racing Team,,1,2016
26,8,2,,Kuznetsov Viacheslav,9,Team Katusha,,1,2016
31,53,2,,Gerard Arnaud,10,Fortuneo - Vital Concept,,1,2016
21,21,1,,Andersen S\xf8ren Kragh,11,Team Giant - Alpecin,,1,2016
30,11,32,1.0,Cavendish Mark,1,Team Dimension Data,-,2,2016
28,1,27,3.0,Kristoff Alexander,2,Team Katusha,\u25b21,2,2016
28,131,17,2.0,Modolo Sacha,3,Lampre - Merida,\u25bc1,2,2016
28,12,14,7.0,Boasson Hagen Edvald,4,Team Dimension Data,\u25b23,2,2016
30,31,12,6.0,Van Avermaet Greg,5,BMC Racing Team,\u25b21,2,2016
26,61,9,4.0,Guardini Andrea,6,Astana Pro Team,\u25bc2,2,2016
25,94,9,,Jans Roy,7,Wanty - Groupe Gobert,-,2,2016
25,41,7,5.0,Bennett Sam,8,Bora - Argon 18,\u25bc3,2,2016
26,178,5,,Palini Andrea,9,Skydive Dubai Pro Cycling Team - Al Ahli Club,-,2,2016
26,8,4,9.0,Kuznetsov Viacheslav,10,Team Katusha,\u25bc1,2,2016
33,71,3,,Van Hecke Preben,11,Topsport Vlaanderen - Baloise,-,2,2016
36,35,3,8.0,Quinziato Manuel,12,BMC Racing Team,\u25bc4,2,2016
20,124,3,,Looij Andre,13,Roompot - Oranje Peloton,-,2,2016
31,53,2,10.0,Gerard Arnaud,14,Fortuneo - Vital Concept,\u25bc4,2,2016
28,65,2,,Smukulis Gatis,15,Astana Pro Team,-,2,2016
38,143,2,,Kiendys Tomasz,16,CCC Sprandi Polkowice,-,2,2016
21,21,1,11.0,Andersen S\xf8ren Kragh,17,Team Giant - Alpecin,\u25bc6,2,2016
30,11,36,1.0,Cavendish Mark,1,Team Dimension Data,-,3,2016
28,12,29,4.0,Boasson Hagen Edvald,2,Team Dimension Data,\u25b22,3,2016
28,1,27,2.0,Kristoff Alexander,3,Team Katusha,\u25bc1,3,2016
30,31,19,5.0,Van Avermaet Greg,4,BMC Racing Team,\u25b21,3,2016
28,131,17,3.0,Modolo Sacha,5,Lampre - Merida,\u25bc2,3,2016
36,35,12,12.0,Quinziato Manuel,6,BMC Racing Team,\u25b26,3,2016
30,86,12,,van Emden Jos,7,Team LottoNL-Jumbo,-,3,2016
26,61,9,6.0,Guardini Andrea,8,Astana Pro Team,\u25bc2,3,2016
25,94,9,7.0,Jans Roy,9,Wanty - Groupe Gobert,\u25bc2,3,2016
25,41,7,8.0,Bennett Sam,10,Bora - Argon 18,\u25bc2,3,2016
29,63,6,,Gruzdev Dmitriy,11,Astana Pro Team,-,3,2016
26,178,5,9.0,Palini Andrea,12,Skydive Dubai Pro Cycling Team - Al Ahli Club,\u25bc3,3,2016
33,67,5,,Westra Lieuwe,13,Astana Pro Team,-,3,2016
26,8,4,10.0,Kuznetsov Viacheslav,14,Team Katusha,\u25bc4,3,2016
33,71,3,11.0,Van Hecke Preben,15,Topsport Vlaanderen - Baloise,\u25bc4,3,2016
21,21,3,17.0,Andersen S\xf8ren Kragh,16,Team Giant - Alpecin,\u25b21,3,2016
20,124,3,13.0,Looij Andre,17,Roompot - Oranje Peloton,\u25bc4,3,2016
23,103,3,,Kerby Jordan,18,Drapac Professional Cycling,-,3,2016
