Rnk,Rider,Age,Team,Pnt,year,stage
1,Boonen Tom,25,Quickstep - Innergetic,20.0,2006,1
2,Zabel Erik,35,Milram,12.0,2006,1
3,Hunter Robert,28,Phonak Hearing Systems,7.0,2006,1
4,Cancellara Fabian,24,CSC ProTeam,5.0,2006,1
5,Guidi Fabrizio,33,Phonak Hearing Systems,4.0,2006,1
6,Clerc Aur\xe9lien,26,Phonak Hearing Systems,3.0,2006,1
7,Ingels Nick,21,Davitamon - Lotto,2.0,2006,1
8,Lang Sebastian,26,Gerolsteiner,1.0,2006,1
9,Vierhouten Aart,35,Skil - Shimano,,2006,1
10,de Jongh Steven,32,Quickstep - Innergetic,,2006,1
11,Jalabert Nicolas,32,Phonak Hearing Systems,,2006,1
12,Breschel Matti,21,CSC ProTeam,,2006,1
13,Tjallingii Maarten,28,Skil - Shimano,,2006,1
14,van Hummel Kenny,23,Skil - Shimano,,2006,1
15,Trenti Guido,33,Quickstep - Innergetic,,2006,1
16,Tosatto Matteo,31,Quickstep - Innergetic,,2006,1
17,Hulsmans Kevin,27,Quickstep - Innergetic,,2006,1
18,Knaven Servais,34,Quickstep - Innergetic,,2006,1
19,Sieberg Marcel,23,Team Wiesenhof Akud,,2006,1
20,van Bon L\xe9on,34,Davitamon - Lotto,,2006,1
21,O'Grady Stuart,32,CSC ProTeam,,2006,1
22,Detilloux Christophe,31,Fran\xe7aise des Jeux,,2006,1
23,Dekker Erik,35,Rabobank ProTeam,,2006,1
24,van Mechelen Wouter,24,Chocolade Jacques / Topsport Vlaanderen,,2006,1
25,Siedler Sebastian,28,Milram,,2006,1
26,Murn Uros,30,Phonak Hearing Systems,,2006,1
27,Cretskens Wilfried,29,Quickstep - Innergetic,,2006,1
28,Cohnen Stefan,23,Naturino - Sapore Di Mare,,2006,1
29,Barbe Koen,25,Chocolade Jacques / Topsport Vlaanderen,,2006,1
30,Poitschke Enrico,36,Milram,,2006,1
31,Verbist Evert,21,Chocolade Jacques / Topsport Vlaanderen,,2006,1
32,Van Impe Kevin,24,Quickstep - Innergetic,,2006,1
33,Steegmans Gert,25,Davitamon - Lotto,,2006,1
34,Pedersen Martin,22,CSC ProTeam,,2006,1
35,Schr\xf6der Bjorn,25,Milram,,2006,1
36,Ljungqvist Marcus,31,CSC ProTeam,,2006,1
37,Roberts Luke,29,CSC ProTeam,,2006,1
38,Vastaranta Jukka,21,Rabobank ProTeam,,2006,1
39,Klostergaard Kasper,22,CSC ProTeam,,2006,1
40,Jegou Lilian,30,Fran\xe7aise des Jeux,,2006,1
41,Omloop Geert,31,Unibet.com,,2006,1
42,Boucher David,25,Unibet.com,,2006,1
43,Finot Fr\xe9d\xe9ric,28,Fran\xe7aise des Jeux,,2006,1
44,Martinez Perez Francisco Jose,22,Andaluc\xeda - Paul Vers\xe1n,,2006,1
45,Sinner Benoit,21,Agritubel,,2006,1
46,Stalder Florian,23,Phonak Hearing Systems,,2006,1
47,Heijboer Mathieu,23,Cofidis,,2006,1
48,Ascani Luca,22,Naturino - Sapore Di Mare,,2006,1
49,Scheirlinckx Staf,26,Cofidis,,2006,1
50,Patanchon Fabien,22,Fran\xe7aise des Jeux,,2006,1
51,Dymovkikh Alexandr,22,,,2006,1
52,Da Cruz Carlos,31,Fran\xe7aise des Jeux,,2006,1
53,Monnerais Cyrille,22,Fran\xe7aise des Jeux,,2006,1
54,Mori Massimiliano,32,Naturino - Sapore Di Mare,,2006,1
55,Gardeyn Gorik,25,Unibet.com,,2006,1
56,Johnson Benjamin,23,Agritubel,,2006,1
57,den Bakker Maarten,37,Milram,,2006,1
58,Knees Christian,24,Milram,,2006,1
59,M\xfcller Martin,31,Milram,,2006,1
60,Gajek Artur,20,Team Wiesenhof Akud,,2006,1
61,F\xf6rster Robert,28,Gerolsteiner,,2006,1
62,Dekkers Hans,24,Agritubel,,2006,1
63,Reinerink Rik,32,Skil - Shimano,,2006,1
64,Meschenmoser Christoph,22,Skil - Shimano,,2006,1
65,Ordowski Volker,32,Gerolsteiner,,2006,1
66,Grillo Paride,23,Ceramica Panaria - Navigare,,2006,1
67,Eisel Bernhard,24,Fran\xe7aise des Jeux,,2006,1
68,Wrolich Peter,31,Gerolsteiner,,2006,1
69,Michaelsen Lars,36,CSC ProTeam,,2006,1
70,Vitoria David,21,Phonak Hearing Systems,,2006,1
71,Aldape Moises,24,Ceramica Panaria - Navigare,,2006,1
72,de Maar Marc,21,Rabobank ProTeam,,2006,1
73,Elijzen Michiel,23,Cofidis,,2006,1
74,De Vocht Wim,23,Davitamon - Lotto,,2006,1
75,Fischer Murilo Antonio,26,Naturino - Sapore Di Mare,,2006,1
76,Dehaes Kenny,21,Chocolade Jacques / Topsport Vlaanderen,,2006,1
77,Minard S\xe9bastien,23,Cofidis,,2006,1
78,Mizurov Andrey,32,,,2006,1
79,van de Wouwer Kurt,34,Unibet.com,,2006,1
80,Veneberg Thorwald,28,Rabobank ProTeam,,2006,1
