Rnk,Rider,Age,Team,Pnt,GC,GC-Time,Time,year,stage
1,Steurs Geert,28.0,Topsport Vlaanderen - Mercator,20.0,,+0:00,3:31:00 3:31:00,2010,2
2,Mol Wouter,27.0,Vacansoleil,12.0,,+0:00,",, ,,",2010,2
3,Kluge Roger,24.0,Milram,7.0,,+0:00,1:51 1:51,2010,2
4,Haussler Heinrich,25.0,Cervelo Test Team,5.0,,+0:00,1:54 1:54,2010,2
5,Gilbert Philippe,27.0,Omega Pharma-Lotto,4.0,,+0:00,1:55 1:55,2010,2
6,Hammond Roger,36.0,Cervelo Test Team,3.0,,+0:00,",, 1:55",2010,2
7,Boonen Tom,29.0,Quickstep - Innergetic,2.0,,+0:00,",, 1:55",2010,2
8,Hunt Jeremy,35.0,Cervelo Test Team,1.0,,+0:00,",, 1:55",2010,2
9,Napolitano Danilo,29.0,Team Katusha,,,+0:00,",, 1:55",2010,2
10,Burghardt Marcus,26.0,BMC Racing Team,,,+0:00,",, 1:55",2010,2
11,Lodewyck Klaas,21.0,Topsport Vlaanderen - Mercator,,,+0:00,2:37 2:37,2010,2
12,Reimer Martin,22.0,Cervelo Test Team,,,+0:00,",, 2:37",2010,2
13,Klier Andreas,34.0,Cervelo Test Team,,,+0:00,",, 2:37",2010,2
14,Bandiera Marco,25.0,Team Katusha,,,+0:00,",, 2:37",2010,2
15,O'Grady Stuart,36.0,Saxo Bank,,,+0:00,",, 2:37",2010,2
16,Chicchi Francesco,29.0,Liquigas - Doimo,,,+0:00,",, 2:37",2010,2
17,Velo Marco,35.0,Quickstep - Innergetic,,,+0:00,",, 2:37",2010,2
18,Ballan Alessandro,30.0,BMC Racing Team,,,+0:00,",, 2:37",2010,2
19,Hulsmans Kevin,31.0,Quickstep - Innergetic,,,+0:00,2:42 2:42,2010,2
20,Lemoine Cyril,26.0,Saur - Sojasun,,,+0:00,2:43 2:43,2010,2
21,Farrar Tyler,25.0,Team Garmin - Transitions,,,+0:00,",, 2:43",2010,2
22,Schr\xf6der Bjorn,29.0,Milram,,,+0:00,",, 2:43",2010,2
23,Eisel Bernhard,28.0,Team HTC - Columbia,,,+0:00,3:33 3:33,2010,2
