Age,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
31,1.0,+0:00,30.0,,Boonen Tom,1,Omega Pharma - Quick-Step,3:11:32 3:11:32,,20.0,,1,2012
22,2.0,+0:04,18.0,,Blythe Adam,2,BMC Racing Team,",, ,,",,14.0,,1,2012
22,3.0,+0:06,12.0,,Sagan Peter,3,Liquigas - Cannondale,",, ,,",,8.0,,1,2012
27,4.0,+0:07,7.0,,Farrar Tyler,4,Team Garmin - Barracuda,",, ,,",,7.0,,1,2012
25,10.0,+0:10,4.0,,Oss Daniel,5,Liquigas - Cannondale,",, ,,",,6.0,,1,2012
29,8.0,+0:09,3.0,,Renshaw Mark,6,Rabobank Cycling Team,",, ,,",,5.0,,1,2012
24,11.0,+0:10,2.0,,Kristoff Alexander,7,Team Katusha,",, ,,",,4.0,,1,2012
22,6.0,+0:08,1.0,,Appollonio Davide,8,Sky Procycling,",, ,,",,2.0,,1,2012
25,12.0,+0:10,,,van Genechten Jonas,9,Lotto Belisol Team,",, ,,",,,,1,2012
28,13.0,+0:10,,,Wagner Robert,10,RadioShack - Nissan,",, ,,",,,,1,2012
20,14.0,+0:10,,,D\xe9mare Arnaud,11,FDJ - BigMat,",, ,,",,,,1,2012
23,15.0,+0:10,,,Nizzolo Giacomo,12,RadioShack - Nissan,",, ,,",,,,1,2012
31,16.0,+0:10,,,Chicchi Francesco,13,Omega Pharma - Quick-Step,",, ,,",,,,1,2012
29,17.0,+0:10,,,Sieberg Marcel,14,Lotto Belisol Team,",, ,,",,,,1,2012
31,18.0,+0:10,,,Steegmans Gert,15,Omega Pharma - Quick-Step,",, ,,",,,,1,2012
23,19.0,+0:10,,,Degenkolb John,16,Argos - Shimano,",, ,,",,,,1,2012
23,20.0,+0:10,,,Soupe Geoffrey,17,FDJ - BigMat,",, ,,",,,,1,2012
33,21.0,+0:10,,,Cooke Baden,18,Orica GreenEDGE,",, ,,",,,,1,2012
20,22.0,+0:10,,,van Keirsbulck Guillaume,19,Omega Pharma - Quick-Step,",, ,,",,,,1,2012
32,23.0,+0:10,,,Bak Lars Ytting,20,Lotto Belisol Team,",, ,,",,,,1,2012
34,24.0,+0:10,,,Hushovd Thor,21,BMC Racing Team,",, ,,",,,,1,2012
26,25.0,+0:10,,,Sabatini Fabio,22,Liquigas - Cannondale,",, ,,",,,,1,2012
27,26.0,+0:10,,,Friedemann Matthias,23,Champion System Pro Cycling Team,",, ,,",,,,1,2012
25,27.0,+0:10,,,Isaychev Vladimir,24,Team Katusha,",, ,,",,,,1,2012
30,28.0,+0:10,,,Eisel Bernhard,25,Sky Procycling,",, ,,",,,,1,2012
24,29.0,+0:10,,,Smukulis Gatis,26,Team Katusha,",, ,,",,,,1,2012
32,30.0,+0:10,,,Curvers Roy,27,Argos - Shimano,",, ,,",,,,1,2012
29,31.0,+0:10,,,Rollin Dominique,28,FDJ - BigMat,",, ,,",,,,1,2012
24,32.0,+0:10,,,van Winden Dennis,29,Rabobank Cycling Team,",, ,,",,,,1,2012
31,33.0,+0:10,,,Boucher David,30,FDJ - BigMat,",, ,,",,,,1,2012
24,34.0,+0:10,,,Stannard Ian,31,Sky Procycling,",, ,,",,,,1,2012
32,35.0,+0:10,,,Kuchynski Aliaksandr,32,Team Katusha,",, ,,",,,,1,2012
27,36.0,+0:10,,,Veelers Tom,33,Argos - Shimano,",, ,,",,,,1,2012
39,37.0,+0:10,,,McEwen Robbie,34,Orica GreenEDGE,",, ,,",,,,1,2012
25,38.0,+0:10,,,Kruopis Aidis,35,Orica GreenEDGE,",, ,,",,,,1,2012
26,39.0,+0:10,,,Delage Micka\xebl,36,FDJ - BigMat,",, ,,",,,,1,2012
34,40.0,+0:10,,,Tuft Svein,37,Orica GreenEDGE,",, ,,",,,,1,2012
21,41.0,+0:10,,,Phinney Taylor,38,BMC Racing Team,",, ,,",,,,1,2012
31,42.0,+0:10,,,Gardeyn Gorik,39,Champion System Pro Cycling Team,",, ,,",,,,1,2012
29,43.0,+0:10,,,Wynants Maarten,40,Rabobank Cycling Team,",, ,,",,,,1,2012
28,44.0,+0:10,,,Beppu Fumiyuki,41,Orica GreenEDGE,",, ,,",,,,1,2012
26,45.0,+0:10,,,Kluge Roger,42,Argos - Shimano,",, ,,",,,,1,2012
31,46.0,+0:10,,,Vansummeren Johan,43,Team Garmin - Barracuda,",, ,,",,,,1,2012
36,47.0,+0:10,,,Barry Michael,44,Sky Procycling,",, ,,",,,,1,2012
28,48.0,+0:10,,,Kemps Aaron,45,Champion System Pro Cycling Team,",, ,,",,,,1,2012
30,49.0,+0:10,,,Sohrabi Mehdi,46,Lotto Belisol Team,",, ,,",,,,1,2012
25,9.0,+0:09,,,Maes Nikolas,47,Omega Pharma - Quick-Step,",, ,,",,,,1,2012
35,50.0,+0:10,,,Rasch Gabriel,48,FDJ - BigMat,",, ,,",,,,1,2012
26,51.0,+0:10,,,Cavendish Mark,49,Sky Procycling,",, ,,",,,,1,2012
24,52.0,+0:10,,,Navardauskas Ramunas,50,Team Garmin - Barracuda,",, ,,",,,,1,2012
25,53.0,+0:10,,,Schar Michael,51,BMC Racing Team,",, ,,",,,,1,2012
34,54.0,+0:10,,,Flecha Juan Antonio,52,Sky Procycling,",, ,,",,,,1,2012
30,55.0,+0:10,,,Shimizu Miyataka,53,Team Bridgestone Anchor,",, ,,",,,,1,2012
20,7.0,+0:08,,,Haller Marco,54,Team Katusha,",, ,,",,,,1,2012
32,56.0,+0:10,,,Rast Gregory,55,RadioShack - Nissan,",, ,,",,,,1,2012
25,57.0,+0:10,,,Offredo Yoann,56,FDJ - BigMat,",, ,,",,,,1,2012
22,58.0,+0:10,,,Selig R\xfcdiger,57,Team Katusha,",, ,,",,,,1,2012
30,59.0,+0:10,,,Da Dalto Mauro,58,Liquigas - Cannondale,",, ,,",,,,1,2012
26,60.0,+0:10,,,Wyss Danilo,59,BMC Racing Team,",, ,,",,,,1,2012
27,61.0,+0:10,,,Marangoni Alan,60,Liquigas - Cannondale,",, ,,",,,,1,2012
32,62.0,+0:10,,,Brown Graeme,61,Rabobank Cycling Team,",, ,,",,,,1,2012
31,63.0,+0:10,,,Longo Borghini Paolo,62,Liquigas - Cannondale,",, ,,",,,,1,2012
33,64.0,+0:10,,,Hulsmans Kevin,63,Farnese Vini-Neri-Sottoli,",, ,,",,,,1,2012
29,65.0,+0:10,,,de Kort Koen,64,Argos - Shimano,",, ,,",,,,1,2012
22,66.0,+0:10,,,Sinkeldam Ramon,65,Argos - Shimano,",, ,,",,,,1,2012
38,67.0,+0:10,,,McCann David,66,RTS Racing Team,",, ,,",,,,1,2012
31,68.0,+0:10,,,Mouris Jens,67,Orica GreenEDGE,",, ,,",,,,1,2012
26,69.0,+0:10,,,Bodnar Maciej,68,Liquigas - Cannondale,",, ,,",,,,1,2012
23,70.0,+0:10,,,Gallopin Tony,69,RadioShack - Nissan,",, ,,",,,,1,2012
32,71.0,+0:10,,,Willems Frederik,70,Lotto Belisol Team,",, ,,",,,,1,2012
32,72.0,+0:10,,,Popovych Yaroslav,71,RadioShack - Nissan,",, ,,",,,,1,2012
30,73.0,+0:10,,,Ojavee Mart,72,Champion System Pro Cycling Team,",, ,,",,,,1,2012
30,74.0,+0:10,,,Cancellara Fabian,73,RadioShack - Nissan,",, ,,",,,,1,2012
20,75.0,+0:10,,,Rathe Jacob,74,Team Garmin - Barracuda,",, ,,",,,,1,2012
29,76.0,+0:10,,,Gilbert Philippe,75,BMC Racing Team,",, ,,",,,,1,2012
26,77.0,+0:10,,,Ignatyev Mikhail,76,Team Katusha,",, ,,",,,,1,2012
30,78.0,+0:10,,,Knees Christian,77,Sky Procycling,",, ,,",,,,1,2012
27,79.0,+0:10,,,Dekker Thomas,78,Team Garmin - Barracuda,",, ,,",,,,1,2012
