Rnk,BIB,Rider,Age,Team,UCI,Pnt,GC,GC-Time,Time,year,stage
1,33,Bookwalter Brent,28,BMC Racing Team,20.0,30.0,1.0,+0:00,3:28:47 3:28:47,2013,1
2,73,Elmiger Martin,34,IAM Cycling,14.0,18.0,2.0,+0:04,",, ,,",2013,1
3,26,Rast Gregory,33,RadioShack - Leopard,8.0,12.0,3.0,+0:06,",, ,,",2013,1
4,12,Eisel Bernhard,31,Sky Procycling,7.0,7.0,4.0,+0:06,",, ,,",2013,1
5,91,Viviani Elia,23,Cannondale Pro Cycling Team,6.0,4.0,8.0,+0:10,",, ,,",2013,1
6,1,Cavendish Mark,27,Omega Pharma - Quick-Step,5.0,3.0,9.0,+0:10,",, ,,",2013,1
7,52,Breschel Matti,28,Team Saxo - Tinkoff,4.0,2.0,10.0,+0:10,",, ,,",2013,1
8,31,Phinney Taylor,22,BMC Racing Team,2.0,1.0,5.0,+0:06,",, ,,",2013,1
9,71,Haussler Heinrich,28,IAM Cycling,,,11.0,+0:10,",, ,,",2013,1
10,44,Ladagnous Matthieu,28,FDJ.fr,,,12.0,+0:10,",, ,,",2013,1
11,101,Hutarovich Yauheni,29,AG2R La Mondiale,,,13.0,+0:10,",, ,,",2013,1
12,81,Degenkolb John,24,Team Argos - Shimano,,,6.0,+0:08,",, ,,",2013,1
13,111,Kruopis Aidis,26,Orica GreenEDGE,,,14.0,+0:10,",, ,,",2013,1
14,131,Kluge Roger,26,Team NetApp \u2013 Endura,,,15.0,+0:10,",, ,,",2013,1
15,141,Kristoff Alexander,25,Team Katusha,,,7.0,+0:08,",, ,,",2013,1
16,128,van Hummel Kenny,30,Vacansoleil - DCM,,,16.0,+0:10,",, ,,",2013,1
17,11,Boasson Hagen Edvald,25,Sky Procycling,,,17.0,+0:10,",, ,,",2013,1
18,32,Blythe Adam,23,BMC Racing Team,,,18.0,+0:10,",, ,,",2013,1
19,43,Fischer Murilo Antonio,33,FDJ.fr,,,19.0,+0:10,",, ,,",2013,1
20,116,Keukeleire Jens,24,Orica GreenEDGE,,,20.0,+0:10,",, ,,",2013,1
21,18,Thomas Geraint,26,Sky Procycling,,,21.0,+0:10,",, ,,",2013,1
22,13,Hayman Mathew,34,Sky Procycling,,,22.0,+0:10,",, ,,",2013,1
23,65,Guarnieri Jacopo,25,Astana Pro Team,,,23.0,+0:10,",, ,,",2013,1
24,94,Dall'Antonia Tiziano,29,Cannondale Pro Cycling Team,,,24.0,+0:10,",, ,,",2013,1
25,4,Terpstra Niki,28,Omega Pharma - Quick-Step,,,25.0,+0:10,",, ,,",2013,1
26,143,Haller Marco,21,Team Katusha,,,26.0,+0:10,",, ,,",2013,1
27,146,Porsev Alexander,26,Team Katusha,,,27.0,+0:10,",, ,,",2013,1
28,23,Gallopin Tony,24,RadioShack - Leopard,,,28.0,+0:10,",, ,,",2013,1
29,127,Ruijgh Rob,26,Vacansoleil - DCM,,,29.0,+0:10,",, ,,",2013,1
30,88,Veelers Tom,28,Team Argos - Shimano,,,30.0,+0:10,",, ,,",2013,1
31,37,Van Avermaet Greg,27,BMC Racing Team,,,31.0,+0:10,",, ,,",2013,1
32,47,Rollin Dominique,30,FDJ.fr,,,32.0,+0:10,",, ,,",2013,1
33,15,Rowe Luke,22,Sky Procycling,,,33.0,+0:10,",, ,,",2013,1
34,114,Cooke Baden,34,Orica GreenEDGE,,,34.0,+0:10,",, ,,",2013,1
35,3,Stybar Zdenek,27,Omega Pharma - Quick-Step,,,35.0,+0:10,",, ,,",2013,1
36,36,Schar Michael,26,BMC Racing Team,,,36.0,+0:10,",, ,,",2013,1
37,84,de Kort Koen,30,Team Argos - Shimano,,,37.0,+0:10,",, ,,",2013,1
38,54,Jorgensen Jonas Aaen,26,Team Saxo - Tinkoff,,,38.0,+0:10,",, ,,",2013,1
