Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,UCI,stage,year
29,,55,1.0,+0:00,30.0,Rojas Jos\xe9 Joaqu\xedn,1,Movistar Team,3:49:50 3:49:50,20.0,1,2015
34,,2,2.0,+0:04,18.0,Boonen Tom,2,Etixx - Quick Step,",, ,,",14.0,1,2015
23,,111,3.0,+0:06,12.0,D\xe9mare Arnaud,3,FDJ,",, ,,",8.0,1,2015
25,,21,6.0,+0:10,7.0,Sagan Peter,4,Tinkoff - Saxo,",, ,,",7.0,1,2015
24,,161,7.0,+0:10,4.0,Bennett Sam,5,Bora - Argon 18,",, ,,",6.0,1,2015
22,,36,8.0,+0:10,3.0,Stuyven Jasper,6,Trek Factory Racing,",, ,,",5.0,1,2015
30,,151,9.0,+0:10,2.0,Haussler Heinrich,7,IAM Cycling,",, ,,",4.0,1,2015
25,,96,10.0,+0:10,1.0,Guardini Andrea,8,Astana Pro Team,",, ,,",2.0,1,2015
27,,61,11.0,+0:10,,Kristoff Alexander,9,Team Katusha,",, ,,",,1,2015
24,,71,12.0,+0:10,,Bouhanni Nacer,10,"Cofidis, Solutions Cr\xe9dits",",, ,,",,1,2015
27,,97,13.0,+0:10,,Tleubayev Ruslan,11,Astana Pro Team,",, ,,",,1,2015
25,,84,14.0,+0:10,,Reguigui Youcef,12,MTN - Qhubeka,",, ,,",,1,2015
31,,82,15.0,+0:10,,Bos Theo,13,MTN - Qhubeka,",, ,,",,1,2015
31,,144,5.0,+0:09,,Ferrari Roberto,14,Lampre - Merida,",, ,,",,1,2015
28,,44,16.0,+0:10,,Drucker Jean-Pierre,15,BMC Racing Team,",, ,,",,1,2015
30,,18,17.0,+0:10,,Veelers Tom,16,Team Giant - Alpecin,",, ,,",,1,2015
30,,1,4.0,+0:08,,Terpstra Niki,17,Etixx - Quick Step,",, ,,",,1,2015
31,,94,18.0,+0:10,,Grivko Andrei,18,Astana Pro Team,",, ,,",,1,2015
33,,31,19.0,+0:10,,Cancellara Fabian,19,Trek Factory Racing,",, ,,",,1,2015
36,,133,20.0,+0:10,,Hayman Mathew,20,Orica GreenEDGE,",, ,,",,1,2015
29,,114,21.0,+0:10,,Delage Micka\xebl,21,FDJ,",, ,,",,1,2015
25,,123,22.0,+0:10,,Declercq Tim,22,Topsport Vlaanderen - Baloise,",, ,,",,1,2015
25,,134,23.0,+0:10,,Howard Leigh,23,Orica GreenEDGE,",, ,,",,1,2015
29,,22,24.0,+0:10,,Bodnar Maciej,24,Tinkoff - Saxo,",, ,,",,1,2015
