BIB,GC,GC-Time,Prev,Rnk,Team,Time,\u25bc\u25b2,stage,year
,,+ -3:28:37,,1,BMC Racing Team,10:26:21 10:26:21,,1,2013
,,+ -3:28:37,,2,Sky Procycling,",, ,,",,1,2013
,,+ -3:28:37,,3,FDJ.fr,",, ,,",,1,2013
,,+ -3:28:37,,4,Omega Pharma - Quick-Step,",, ,,",,1,2013
,,+ -3:28:37,,5,Orica GreenEDGE,",, ,,",,1,2013
,,+ -3:28:37,,6,Team Katusha,",, ,,",,1,2013
,,+ -3:28:37,,7,Team Argos - Shimano,",, ,,",,1,2013
,,+ -3:28:37,,8,Vacansoleil - DCM,",, ,,",,1,2013
,,+ -3:28:37,,9,IAM Cycling,0:11 0:11,,1,2013
,,+ -3:28:37,,10,Team NetApp \u2013 Endura,",, 0:11",,1,2013
,,+ -3:28:37,,11,RadioShack - Leopard,0:21 0:21,,1,2013
,,+ -3:28:37,,12,Team Saxo - Tinkoff,",, 0:21",,1,2013
,,+ -3:28:37,,13,AG2R La Mondiale,0:30 0:30,,1,2013
,,+ -3:28:37,,14,Astana Pro Team,0:32 0:32,,1,2013
,,+ -3:28:37,,15,Cannondale Pro Cycling Team,16:02 16:02,,1,2013
,,+ -3:28:37,,16,Champion System Pro Cycling Team,32:15 32:15,,1,2013
,,+ -3:28:37,,17,Bardiani Valvole - CSF Inox,48:06 48:06,,1,2013
,,+ -3:28:37,,18,Japan,",, 48:06",,1,2013
,,+ -6:49:58,1.0,1,BMC Racing Team,19:58:10 19:58:10,-,3,2013
,,+ -6:49:58,2.0,2,Sky Procycling,0:05 0:05,-,3,2013
,,+ -6:49:58,3.0,3,Omega Pharma - Quick-Step,0:10 0:10,-,3,2013
,,+ -6:49:58,4.0,4,Team Katusha,0:15 0:15,-,3,2013
,,+ -6:49:58,5.0,5,FDJ.fr,0:23 0:23,-,3,2013
,,+ -6:49:58,6.0,6,Orica GreenEDGE,",, 0:23",-,3,2013
