Age,BIB,GC,GC-Time,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
21,21,11,+0:15,,Andersen S\xf8ren Kragh,1,Team Giant - Alpecin,3:28:46 3:28:46,,1,2016
24,2,14,+0:15,,Bystr\xf8m Sven Erik,2,Team Katusha,",, ,,",,1,2016
24,81,18,+1:58,,Hofland Moreno,3,Team LottoNL-Jumbo,1:43 1:43,,1,2016
25,173,19,+1:58,,Haddi Soufiane,4,Skydive Dubai Pro Cycling Team - Al Ahli Club,",, 1:43",,1,2016
24,14,20,+1:58,,Debesay Mekseb,5,Team Dimension Data,",, 1:43",,1,2016
21,177,38,+1:58,,Kamberaj Giuliano,6,Skydive Dubai Pro Cycling Team - Al Ahli Club,",, 1:43",,1,2016
24,92,41,+1:58,,Antonini Simone,7,Wanty - Groupe Gobert,",, 1:43",,1,2016
22,154,44,+1:58,,Eaton Daniel,8,UnitedHealthcare Pro Cycling Team,",, 1:43",,1,2016
21,7,48,+1:58,,Politt Nils,9,Team Katusha,",, 1:43",,1,2016
24,45,53,+2:21,,P\xf6stlberger Lukas,10,Bora - Argon 18,2:06 2:06,,1,2016
23,84,61,+8:07,,Teunissen Mike,11,Team LottoNL-Jumbo,7:52 7:52,,1,2016
23,83,63,+8:07,,Roosen Timo,12,Team LottoNL-Jumbo,",, 7:52",,1,2016
22,58,65,+8:07,,Vall\xe9e Boris,13,Fortuneo - Vital Concept,",, 7:52",,1,2016
24,76,66,+8:07,,Van Meirhaeghe Jef,14,Topsport Vlaanderen - Baloise,",, 7:52",,1,2016
24,25,68,+9:33,,Waeytens Zico,15,Team Giant - Alpecin,9:18 9:18,,1,2016
22,77,69,+10:43,,Van Rooy Kenneth,16,Topsport Vlaanderen - Baloise,10:28 10:28,,1,2016
22,123,70,+12:08,,Kerkhof Tim,17,Roompot - Oranje Peloton,11:53 11:53,,1,2016
22,38,73,+12:08,,Zabel Rick,18,BMC Racing Team,",, 11:53",,1,2016
24,68,75,+12:08,,Zakharov Artyom,19,Astana Pro Team,",, 11:53",,1,2016
24,127,76,+12:08,,van Goethem Brian,20,Roompot - Oranje Peloton,",, 11:53",,1,2016
24,73,77,+12:08,,De Tier Floris,21,Topsport Vlaanderen - Baloise,",, 11:53",,1,2016
21,168,80,+12:08,,Carbel Michael,22,St\xf6lting Service Group,",, 11:53",,1,2016
24,102,81,+12:08,,Jones Brenton,23,Drapac Professional Cycling,",, 11:53",,1,2016
24,125,82,+12:08,,Markus Barry,24,Roompot - Oranje Peloton,",, 11:53",,1,2016
22,72,88,+12:08,,Capiot Amaury,25,Topsport Vlaanderen - Baloise,",, 11:53",,1,2016
22,126,89,+12:08,,Slik Ivar,26,Roompot - Oranje Peloton,",, 11:53",,1,2016
20,124,99,+12:08,,Looij Andre,27,Roompot - Oranje Peloton,",, 11:53",,1,2016
22,137,107,+12:08,,Pibernik Luka,28,Lampre - Merida,",, 11:53",,1,2016
21,105,114,+12:08,,Lowndes Jason,29,Drapac Professional Cycling,",, 11:53",,1,2016
24,156,117,+12:08,,Keough Luke,30,UnitedHealthcare Pro Cycling Team,",, 11:53",,1,2016
23,163,119,+12:08,,Kirsch Alex,31,St\xf6lting Service Group,",, 11:53",,1,2016
24,4,122,+12:08,,Haller Marco,32,Team Katusha,",, 11:53",,1,2016
20,166,123,+12:08,,Pedersen Mads,33,St\xf6lting Service Group,",, 11:53",,1,2016
22,162,124,+12:08,,Kamp Alexander,34,St\xf6lting Service Group,",, 11:53",,1,2016
23,165,127,+12:49,,Mager Christian,35,St\xf6lting Service Group,12:34 12:34,,1,2016
24,56,130,+19:30,,McLay Daniel,36,Fortuneo - Vital Concept,19:15 19:15,,1,2016
21,138,132,+19:30,,Zurlo Federico,37,Lampre - Merida,",, 19:15",,1,2016
23,103,133,+19:30,,Kerby Jordan,38,Drapac Professional Cycling,",, 19:15",,1,2016
23,107,134,+19:30,,Spokes Samuel,39,Drapac Professional Cycling,",, 19:15",,1,2016
22,172,135,+19:30,,Alhammadi Sultan Hassan,40,Skydive Dubai Pro Cycling Team - Al Ahli Club,",, 19:15",,1,2016
20,175,136,+19:33,,Ibrahim Khalid,41,Skydive Dubai Pro Cycling Team - Al Ahli Club,19:18 19:18,,1,2016
24,2,9,+0:21,2.0,Bystr\xf8m Sven Erik,1,Team Katusha,6:40:12 6:40:12,\u25b21,2,2016
21,21,14,+0:21,1.0,Andersen S\xf8ren Kragh,2,Team Giant - Alpecin,",, ,,",\u25bc1,2,2016
25,173,21,+2:04,4.0,Haddi Soufiane,3,Skydive Dubai Pro Cycling Team - Al Ahli Club,1:43 1:43,\u25b21,2,2016
24,14,22,+2:04,5.0,Debesay Mekseb,4,Team Dimension Data,",, 1:43",\u25b21,2,2016
24,81,24,+2:04,3.0,Hofland Moreno,5,Team LottoNL-Jumbo,",, 1:43",\u25bc2,2,2016
24,92,26,+2:04,7.0,Antonini Simone,6,Wanty - Groupe Gobert,",, 1:43",\u25b21,2,2016
21,177,31,+2:04,6.0,Kamberaj Giuliano,7,Skydive Dubai Pro Cycling Team - Al Ahli Club,",, 1:43",\u25bc1,2,2016
21,7,44,+2:04,9.0,Politt Nils,8,Team Katusha,",, 1:43",\u25b21,2,2016
22,154,45,+2:04,8.0,Eaton Daniel,9,UnitedHealthcare Pro Cycling Team,",, 1:43",\u25bc1,2,2016
24,45,53,+7:15,10.0,P\xf6stlberger Lukas,10,Bora - Argon 18,6:54 6:54,-,2,2016
24,76,59,+8:13,14.0,Van Meirhaeghe Jef,11,Topsport Vlaanderen - Baloise,7:52 7:52,\u25b23,2,2016
23,83,63,+8:13,12.0,Roosen Timo,12,Team LottoNL-Jumbo,",, 7:52",-,2,2016
23,84,65,+8:13,11.0,Teunissen Mike,13,Team LottoNL-Jumbo,",, 7:52",\u25bc2,2,2016
24,25,67,+9:39,15.0,Waeytens Zico,14,Team Giant - Alpecin,9:18 9:18,\u25b21,2,2016
22,58,68,+9:49,13.0,Vall\xe9e Boris,15,Fortuneo - Vital Concept,9:28 9:28,\u25bc2,2,2016
22,77,69,+10:49,16.0,Van Rooy Kenneth,16,Topsport Vlaanderen - Baloise,10:28 10:28,-,2,2016
20,124,70,+12:14,27.0,Looij Andre,17,Roompot - Oranje Peloton,11:53 11:53,\u25b210,2,2016
21,168,71,+12:14,22.0,Carbel Michael,18,St\xf6lting Service Group,",, 11:53",\u25b24,2,2016
22,137,72,+12:14,28.0,Pibernik Luka,19,Lampre - Merida,",, 11:53",\u25b29,2,2016
24,68,74,+12:14,19.0,Zakharov Artyom,20,Astana Pro Team,",, 11:53",\u25bc1,2,2016
23,163,75,+12:14,31.0,Kirsch Alex,21,St\xf6lting Service Group,",, 11:53",\u25b210,2,2016
22,123,77,+12:14,17.0,Kerkhof Tim,22,Roompot - Oranje Peloton,",, 11:53",\u25bc5,2,2016
24,127,78,+12:14,20.0,van Goethem Brian,23,Roompot - Oranje Peloton,",, 11:53",\u25bc3,2,2016
22,38,79,+12:14,18.0,Zabel Rick,24,BMC Racing Team,",, 11:53",\u25bc6,2,2016
24,73,85,+12:14,21.0,De Tier Floris,25,Topsport Vlaanderen - Baloise,",, 11:53",\u25bc4,2,2016
22,126,86,+12:14,26.0,Slik Ivar,26,Roompot - Oranje Peloton,",, 11:53",-,2,2016
20,166,105,+12:14,33.0,Pedersen Mads,27,St\xf6lting Service Group,",, 11:53",\u25b26,2,2016
24,102,106,+12:14,23.0,Jones Brenton,28,Drapac Professional Cycling,",, 11:53",\u25bc5,2,2016
21,105,110,+12:14,29.0,Lowndes Jason,29,Drapac Professional Cycling,",, 11:53",-,2,2016
24,125,111,+12:14,24.0,Markus Barry,30,Roompot - Oranje Peloton,",, 11:53",\u25bc6,2,2016
24,4,112,+12:14,32.0,Haller Marco,31,Team Katusha,",, 11:53",\u25b21,2,2016
22,72,116,+13:42,25.0,Capiot Amaury,32,Topsport Vlaanderen - Baloise,13:21 13:21,\u25bc7,2,2016
21,138,122,+19:36,37.0,Zurlo Federico,33,Lampre - Merida,19:15 19:15,\u25b24,2,2016
24,56,123,+19:36,36.0,McLay Daniel,34,Fortuneo - Vital Concept,",, 19:15",\u25b22,2,2016
24,156,126,+19:48,30.0,Keough Luke,35,UnitedHealthcare Pro Cycling Team,19:27 19:27,\u25bc5,2,2016
23,165,130,+20:29,35.0,Mager Christian,36,St\xf6lting Service Group,20:08 20:08,\u25bc1,2,2016
