Rnk,Rider,Age,Team,Pnt,GC,GC-Time,Time,Time won/lost,year,stage
1,Garzelli Stefano,24,Mercatone Uno,250,1,+0:00,37:06:26 37:06:26,+0:00,1998,9
2,Zberg Beat,27,Rabobank ProTeam,190,2,+0:53,0:53 0:53,+0:53,1998,9
3,Belli Wladimir,27,Festina - Lotus,160,3,+1:51,1:51 1:51,+1:51,1998,9
4,Piepoli Leonardo,26,Saeco Macchine da Caffe' - Cannondale,140,4,+2:24,2:24 2:24,+2:24,1998,9
5,Casagrande Francesco,27,Cofidis,120,5,+2:41,2:41 2:41,+2:41,1998,9
6,Meier Roland,30,Cofidis,110,6,+3:25,3:25 3:25,+3:25,1998,9
7,Shefer Alexandre,26,Asics - CGA,100,7,+3:35,3:35 3:35,+3:35,1998,9
8,Rebellin Davide,26,Polti,90,8,+3:43,3:43 3:43,+3:43,1998,9
9,Luttenberger Peter,25,Rabobank ProTeam,80,9,+4:04,4:04 4:04,+4:04,1998,9
10,Ullrich Jan,24,Team Telekom - ARD,70,10,+4:57,4:57 4:57,+4:57,1998,9
11,Riis Bjarne,34,Team Telekom - ARD,60,11,+5:02,5:02 5:02,+5:02,1998,9
12,Garc\xeda Felix Manuel,29,,55,12,+5:02,",, 5:02",+5:02,1998,9
13,Buschor Philipp,27,Saeco Macchine da Caffe' - Cannondale,50,13,+5:45,5:45 5:45,+5:45,1998,9
14,Puttini Felice,30,Ros Mary - Amica Chips,45,14,+9:57,9:57 9:57,+9:57,1998,9
15,Heulot Stephane,27,La Fran\xe7aise des Jeux,40,15,+12:37,12:37 12:37,+12:37,1998,9
16,Cattai Stefano,30,Ballan,36,16,+16:14,16:14 16:14,+16:14,1998,9
17,Ugrumov Piotr,37,Ballan,32,17,+16:51,16:51 16:51,+16:51,1998,9
18,Hotz Franz,30,,28,18,+18:42,18:42 18:42,+18:42,1998,9
19,Tronca Amilcare,26,Ballan,24,19,+18:55,18:55 18:55,+18:55,1998,9
20,Belluomini Luca,21,Scrigno - Gaerne,20,20,+20:57,20:57 20:57,+20:57,1998,9
21,Atienza Daniel,23,Polti,18,21,+21:12,21:12 21:12,+21:12,1998,9
22,Jalabert Laurent,29,O.N.C.E.,16,22,+21:24,21:24 21:24,+21:24,1998,9
23,Dotti Fausto,30,Ros Mary - Amica Chips,14,23,+21:48,21:48 21:48,+21:48,1998,9
24,Aebersold Niki,25,Rabobank ProTeam,12,24,+21:50,21:50 21:50,+21:50,1998,9
25,Faresin Gianni,32,Mapei - Bricobi,10,25,+24:01,24:01 24:01,+24:01,1998,9
26,Duma Vladimir,26,Scrigno - Gaerne,9,26,+25:15,25:15 25:15,+25:15,1998,9
27,Jones Timothy,22,,8,27,+28:03,28:03 28:03,+28:03,1998,9
28,Jaksche Jorg,21,Polti,7,28,+28:25,28:25 28:25,+28:25,1998,9
29,Bessy Fr\xe9d\xe9ric,26,Casino - AG2R,6,29,+29:49,29:49 29:49,+29:49,1998,9
30,Huser Rolf,27,,5,30,+31:53,31:53 31:53,+31:53,1998,9
