Age,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,\u25bc\u25b2,stage,year
24,1,+0:00,,,Eisel Bernhard,1,Fran\xe7aise des Jeux,3:59:57 3:59:57,+0:00,,1,2005
24,2,+0:04,,,Boonen Tom,2,Quickstep - Innergetic,0:04 0:04,+0:04,,1,2005
31,3,+0:06,,,Wrolich Peter,3,Gerolsteiner,0:06 0:06,+0:06,,1,2005
31,4,+0:10,,,Bettini Paolo,4,Quickstep - Innergetic,0:10 0:10,+0:10,,1,2005
24,5,+0:12,,,Albasini Michael,5,Liquigas,0:12 0:12,+0:12,,1,2005
29,6,+0:13,,,McGee Bradley,6,Fran\xe7aise des Jeux,0:13 0:13,+0:13,,1,2005
26,7,+0:13,,,Cooke Baden,7,Fran\xe7aise des Jeux,",, 0:13",+0:13,,1,2005
23,8,+0:14,,,Colli Daniele,8,Liquigas,0:14 0:14,+0:14,,1,2005
29,9,+0:14,,,Joachim Benoit,9,Discovery Channel,",, 0:14",+0:14,,1,2005
33,10,+0:15,,,Arrieta Jose Luis,10,Illes Balears - Caisse d'Epargne,0:15 0:15,+0:15,,1,2005
31,1,+0:00,,,Ullrich Jan,1,T-Mobile Team,4:44:19 4:44:19,+0:00,-,2,2005
29,2,+0:12,,6.0,McGee Bradley,2,Fran\xe7aise des Jeux,0:12 0:12,+-240:02,\u25b24,2,2005
25,3,+0:18,,,Rogers Michael,3,Quickstep - Innergetic,0:18 0:18,+0:18,-,2,2005
24,4,+0:39,,,Cancellara Fabian,4,Fassa Bortolo,0:39 0:39,+0:39,-,2,2005
34,5,+0:40,,,Honchar Serhiy,5,Domina Vacanze,0:40 0:40,+0:40,-,2,2005
22,6,+0:46,,,Gusev Vladimir,6,CSC ProTeam,0:46 0:46,+0:46,-,2,2005
33,7,+0:58,,,Voigt Jens,7,CSC ProTeam,0:58 0:58,+0:58,-,2,2005
33,8,+1:02,,,Julich Bobby,8,CSC ProTeam,1:02 1:02,+1:02,-,2,2005
31,9,+1:08,,,Frigo Dario,9,Fassa Bortolo,1:08 1:08,+1:08,-,2,2005
34,10,+1:14,,,Zberg Beat,10,Gerolsteiner,1:14 1:14,+1:14,-,2,2005
28,11,+1:20,,,Bodrogi Laszlo,11,Cr\xe9dit Agricole,1:20 1:20,+1:20,-,2,2005
31,1,+0:00,,1.0,Ullrich Jan,1,T-Mobile Team,8:31:10 8:31:10,+0:00,-,3,2005
29,2,+0:02,,2.0,McGee Bradley,2,Fran\xe7aise des Jeux,0:02 0:02,+-1:50,-,3,2005
25,3,+0:18,,3.0,Rogers Michael,3,Quickstep - Innergetic,0:18 0:18,+0:00,-,3,2005
31,4,+1:12,,9.0,Frigo Dario,4,Fassa Bortolo,1:12 1:12,+0:04,\u25b25,3,2005
34,5,+1:14,,10.0,Zberg Beat,5,Gerolsteiner,1:14 1:14,+0:00,\u25b25,3,2005
36,6,+1:25,,,Jeker Fabian,6,Saunier Duval - Prodir,1:25 1:25,+285:44,-,3,2005
34,7,+1:31,,,Totschnig Georg,7,Gerolsteiner,1:31 1:31,+285:50,-,3,2005
25,8,+1:41,,,Schleck Fr\xe4nk,8,CSC ProTeam,1:41 1:41,+286:00,-,3,2005
24,9,+1:47,,,Sinkewitz Patrik,9,Quickstep - Innergetic,1:47 1:47,+286:06,-,3,2005
30,10,+1:52,,,Gonzalez Jimenez Aitor,10,Euskaltel - Euskadi,1:52 1:52,+286:11,-,3,2005
28,11,+1:53,,,Valjavec Tadej,11,Phonak Hearing Systems,1:53 1:53,+286:12,-,3,2005
27,12,+1:56,,,Gil Fernandez Koldo,12,,1:56 1:56,+286:15,-,3,2005
34,13,+2:02,,5.0,Honchar Serhiy,13,Domina Vacanze,2:02 2:02,+1:22,\u25bc8,3,2005
28,14,+2:02,,,Evans Cadel,14,Davitamon - Lotto,",, 2:02",+286:21,-,3,2005
26,15,+2:08,,,Kirchen Kim,15,Fassa Bortolo,2:08 2:08,+286:27,-,3,2005
31,16,+2:17,,,Schnider Daniel,16,Phonak Hearing Systems,2:17 2:17,+286:36,-,3,2005
31,1,+0:00,,1.0,Ullrich Jan,1,T-Mobile Team,13:13:50 13:13:50,+0:00,-,4,2005
29,2,+0:02,,2.0,McGee Bradley,2,Fran\xe7aise des Jeux,0:02 0:02,+0:00,-,4,2005
25,3,+0:18,,3.0,Rogers Michael,3,Quickstep - Innergetic,0:18 0:18,+0:00,-,4,2005
31,4,+1:12,,4.0,Frigo Dario,4,Fassa Bortolo,1:12 1:12,+0:00,-,4,2005
34,5,+1:14,,5.0,Zberg Beat,5,Gerolsteiner,1:14 1:14,+0:00,-,4,2005
36,6,+1:25,,6.0,Jeker Fabian,6,Saunier Duval - Prodir,1:25 1:25,+0:00,-,4,2005
34,7,+1:31,,7.0,Totschnig Georg,7,Gerolsteiner,1:31 1:31,+0:00,-,4,2005
25,8,+1:41,,8.0,Schleck Fr\xe4nk,8,CSC ProTeam,1:41 1:41,+0:00,-,4,2005
24,9,+1:47,,9.0,Sinkewitz Patrik,9,Quickstep - Innergetic,1:47 1:47,+0:00,-,4,2005
30,10,+1:52,,10.0,Gonzalez Jimenez Aitor,10,Euskaltel - Euskadi,1:52 1:52,+0:00,-,4,2005
28,11,+1:53,,11.0,Valjavec Tadej,11,Phonak Hearing Systems,1:53 1:53,+0:00,-,4,2005
27,12,+1:56,,12.0,Gil Fernandez Koldo,12,,1:56 1:56,+0:00,-,4,2005
28,13,+2:02,,14.0,Evans Cadel,13,Davitamon - Lotto,2:02 2:02,+0:00,\u25b21,4,2005
26,14,+2:08,,15.0,Kirchen Kim,14,Fassa Bortolo,2:08 2:08,+0:00,\u25b21,4,2005
31,15,+2:17,,16.0,Schnider Daniel,15,Phonak Hearing Systems,2:17 2:17,+0:00,\u25b21,4,2005
31,1,+0:00,,1.0,Ullrich Jan,1,T-Mobile Team,17:02:29 17:02:29,+0:00,-,5,2005
29,2,+0:02,,2.0,McGee Bradley,2,Fran\xe7aise des Jeux,0:02 0:02,+0:00,-,5,2005
25,3,+0:18,,3.0,Rogers Michael,3,Quickstep - Innergetic,0:18 0:18,+0:00,-,5,2005
31,4,+1:12,,4.0,Frigo Dario,4,Fassa Bortolo,1:12 1:12,+0:00,-,5,2005
34,5,+1:14,,5.0,Zberg Beat,5,Gerolsteiner,1:14 1:14,+0:00,-,5,2005
36,6,+1:25,,6.0,Jeker Fabian,6,Saunier Duval - Prodir,1:25 1:25,+0:00,-,5,2005
34,7,+1:31,,7.0,Totschnig Georg,7,Gerolsteiner,1:31 1:31,+0:00,-,5,2005
25,8,+1:41,,8.0,Schleck Fr\xe4nk,8,CSC ProTeam,1:41 1:41,+0:00,-,5,2005
24,9,+1:47,,9.0,Sinkewitz Patrik,9,Quickstep - Innergetic,1:47 1:47,+0:00,-,5,2005
30,10,+1:52,,10.0,Gonzalez Jimenez Aitor,10,Euskaltel - Euskadi,1:52 1:52,+0:00,-,5,2005
28,11,+1:53,,11.0,Valjavec Tadej,11,Phonak Hearing Systems,1:53 1:53,+0:00,-,5,2005
25,1,+0:00,,3.0,Rogers Michael,1,Quickstep - Innergetic,21:28:40 21:28:40,+0:00,\u25b22,6,2005
